Sample	City	(<i>Z</i>)-butanethiol-<i>S</i>-oxide biosynthesis	(R)- and (S)-3-hydroxybutyrate biosynthesis	1,5-anhydrofructose degradation	2-aminoethylphosphonate degradation I	2-aminoethylphosphonate degradation II	2-aminoethylphosphonate degradation III	3-methylbutanol biosynthesis	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	<i>all-trans</i>-farnesol biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	AEROBIC-RESPIRATION	AMINE-DEG	ANAEROBIC-RESPIRATION	AROMATIC-COMPOUNDS-BIOSYN	AROMATIC-COMPOUNDS-DEGRADATION	Acetoin-Biosynthesis	Acetyl-CoA-Biosynthesis	Acetyl-CoA-Butyrate	Acid-Resistance	Activation	Alcohol-Degradation	Aldehyde-Degradation	Amino-Acid-Biosynthesis	Amino-Acid-Degradation	Aminoacyl-tRNAs-Charging	Antibiotic-Resistance	Arsenate-Detoxification	Butanediol-Biosynthesis	C1-COMPOUNDS	C4 photosynthetic carbon assimilation cycle, NAD-ME type	C4 photosynthetic carbon assimilation cycle, NADP-ME type	C4 photosynthetic carbon assimilation cycle, PEPCK type	CARBOXYLATES-DEG	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	CHLORINATED-COMPOUNDS-DEG	Carbohydrates-Biosynthesis	Carbohydrates-Degradation	Cell-Structure-Biosynthesis	Cofactor-Biosynthesis	Cyanide-Detoxification	Electron-Transfer	Entner-Duodoroff-Pathways	Fatty-Acid-and-Lipid-Degradation	GLYCOLYSIS-VARIANTS	HORMONE-DEG	HORMONE-SYN	Hydrogen-Production	Interconversion	Lipid-Biosynthesis	METHANOGENESIS	Mercury-Detoxification	Metabolic-Regulators	NADH repair	NUCLEO-DEG	Noncarbon-Nutrients	Nucleotide-Biosynthesis	OTHER-ENERGY	Other-Degradation	Other-biosynthesis	Pentose-Phosphate-Cycle	Polyamine-Biosynthesis	Polymer-Degradation	Protein-Degradation	Protein-Modification	Pyruvate-Degradation	Rubisco shunt	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-DEGRADATION	Siderophores-Biosynthesis	Steroids-Degradation	TCA-VARIANTS	anaerobic energy metabolism (invertebrates, cytosol)	anaerobic energy metabolism (invertebrates, mitochondrial)	ascorbate glutathione cycle	benzoate fermentation (to acetate and cyclohexane carboxylate)	bisabolene biosynthesis	chitin degradation to ethanol	citrulline biosynthesis	crotonate fermentation (to acetate and cyclohexane carboxylate)	detoxification of reactive carbonyls in chloroplasts	ethylene biosynthesis IV	ethylene glycol biosynthesis	ethylmalonyl pathway	farnesylcysteine salvage pathway	fluoroacetate degradation	glutathione-mediated detoxification II	glyoxylate cycle	heterolactic fermentation	isopropanol biosynthesis	lactate biosynthesis (archaea)	long chain fatty acid ester synthesis for microdiesel production	methyl ketone biosynthesis	methylaspartate cycle	mixed acid fermentation	mycothiol-mediated detoxification	oxidized GTP and dGTP detoxification	photorespiration	photosynthesis light reactions	photosynthetic 3-hydroxybutyrate biosynthesis	pyruvate fermentation to hexanol	sedoheptulose bisphosphate bypass	succinate fermentation to butyrate	superoxide radicals degradation	superpathway of C28 brassinosteroid biosynthesis	superpathway of glycolysis and Entner-Doudoroff	superpathway of glyoxylate cycle and fatty acid degradation
CAMDA23_MetaSUB_gCSD16_AKL_6	AKL	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	5.0	26.0	6.0	11.0	92.0	3.0	1.0	1.0	1.0	2.0	10.0	4.0	70.0	67.0	1.0	2.0	2.0	2.0	16.0	1.0	1.0	1.0	25.0	2.0	5.0	72.0	37.0	23.0	111.0	1.0	2.0	3.0	23.0	8.0	5.0	15.0	1.0	1.0	53.0	2.0	0.0	1.0	0.0	22.0	48.0	38.0	3.0	14.0	14.0	4.0	21.0	17.0	2.0	0.0	11.0	1.0	223.0	47.0	6.0	5.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_AKL_7	AKL	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	5.0	21.0	5.0	10.0	62.0	3.0	1.0	1.0	1.0	2.0	10.0	5.0	70.0	61.0	1.0	3.0	2.0	2.0	14.0	1.0	1.0	1.0	19.0	1.0	5.0	62.0	45.0	21.0	107.0	0.0	1.0	2.0	23.0	8.0	5.0	16.0	0.0	1.0	68.0	1.0	1.0	1.0	0.0	19.0	41.0	39.0	3.0	8.0	15.0	4.0	20.0	19.0	2.0	0.0	10.0	1.0	211.0	46.0	6.0	4.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_AKL_8	AKL	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	5.0	21.0	5.0	10.0	60.0	3.0	1.0	1.0	1.0	2.0	10.0	5.0	73.0	62.0	1.0	3.0	2.0	2.0	14.0	1.0	1.0	1.0	20.0	1.0	5.0	64.0	45.0	22.0	111.0	0.0	1.0	2.0	23.0	8.0	5.0	16.0	0.0	1.0	69.0	1.0	1.0	1.0	0.0	18.0	43.0	39.0	3.0	9.0	15.0	4.0	20.0	20.0	2.0	0.0	10.0	1.0	212.0	47.0	7.0	4.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_AKL_9	AKL	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	5.0	23.0	6.0	9.0	45.0	3.0	1.0	1.0	1.0	2.0	12.0	5.0	75.0	64.0	1.0	3.0	2.0	2.0	14.0	1.0	1.0	1.0	23.0	1.0	3.0	71.0	44.0	23.0	115.0	0.0	1.0	3.0	21.0	8.0	5.0	15.0	0.0	1.0	66.0	2.0	1.0	1.0	0.0	22.0	43.0	40.0	2.0	11.0	18.0	4.0	20.0	21.0	2.0	0.0	10.0	1.0	203.0	48.0	7.0	4.0	8.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_1	BER	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	5.0	16.0	4.0	4.0	24.0	3.0	1.0	1.0	0.0	2.0	8.0	4.0	54.0	41.0	1.0	0.0	3.0	2.0	14.0	1.0	1.0	1.0	10.0	1.0	3.0	37.0	22.0	20.0	79.0	0.0	2.0	2.0	13.0	8.0	5.0	10.0	1.0	1.0	39.0	1.0	1.0	1.0	0.0	16.0	27.0	24.0	2.0	6.0	5.0	4.0	11.0	10.0	2.0	0.0	8.0	1.0	185.0	32.0	0.0	2.0	8.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_10	BER	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	5.0	33.0	7.0	10.0	93.0	4.0	1.0	1.0	2.0	2.0	13.0	5.0	76.0	79.0	1.0	3.0	3.0	3.0	18.0	1.0	1.0	1.0	27.0	2.0	5.0	76.0	52.0	23.0	132.0	1.0	2.0	3.0	26.0	8.0	6.0	17.0	2.0	1.0	71.0	2.0	1.0	1.0	0.0	23.0	55.0	42.0	3.0	13.0	16.0	4.0	22.0	19.0	2.0	0.0	17.0	1.0	228.0	50.0	7.0	4.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_11	BER	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	5.0	32.0	6.0	10.0	67.0	3.0	1.0	1.0	1.0	2.0	12.0	5.0	71.0	68.0	1.0	1.0	3.0	3.0	13.0	1.0	1.0	1.0	21.0	3.0	5.0	68.0	42.0	23.0	120.0	1.0	2.0	3.0	24.0	8.0	5.0	18.0	3.0	1.0	65.0	1.0	1.0	1.0	1.0	23.0	43.0	40.0	3.0	11.0	17.0	4.0	21.0	15.0	2.0	0.0	12.0	1.0	213.0	42.0	7.0	4.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_12	BER	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	31.0	7.0	10.0	78.0	3.0	1.0	1.0	1.0	2.0	13.0	5.0	76.0	77.0	1.0	3.0	3.0	3.0	22.0	1.0	1.0	1.0	26.0	2.0	5.0	77.0	49.0	25.0	131.0	1.0	2.0	1.0	23.0	8.0	5.0	17.0	2.0	1.0	74.0	2.0	1.0	1.0	0.0	24.0	55.0	41.0	3.0	14.0	17.0	4.0	22.0	17.0	2.0	1.0	16.0	1.0	228.0	53.0	7.0	4.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_13	BER	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	5.0	30.0	5.0	10.0	75.0	3.0	1.0	1.0	2.0	2.0	12.0	5.0	76.0	74.0	1.0	3.0	3.0	3.0	17.0	1.0	1.0	1.0	24.0	3.0	4.0	73.0	48.0	25.0	126.0	1.0	2.0	3.0	26.0	8.0	6.0	16.0	4.0	1.0	68.0	2.0	1.0	1.0	1.0	22.0	50.0	40.0	3.0	14.0	19.0	4.0	21.0	16.0	2.0	1.0	17.0	1.0	217.0	46.0	6.0	5.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_14	BER	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	5.0	31.0	7.0	10.0	71.0	4.0	1.0	1.0	2.0	2.0	13.0	5.0	76.0	74.0	1.0	1.0	3.0	3.0	19.0	1.0	1.0	1.0	24.0	3.0	4.0	76.0	48.0	24.0	125.0	1.0	2.0	3.0	28.0	8.0	5.0	17.0	3.0	1.0	72.0	2.0	1.0	2.0	1.0	23.0	51.0	41.0	3.0	10.0	16.0	4.0	21.0	15.0	2.0	1.0	17.0	1.0	218.0	48.0	4.0	5.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_15	BER	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	31.0	6.0	11.0	100.0	3.0	1.0	1.0	2.0	2.0	12.0	5.0	78.0	82.0	1.0	3.0	3.0	2.0	20.0	1.0	1.0	1.0	28.0	3.0	5.0	81.0	52.0	26.0	135.0	1.0	2.0	3.0	24.0	8.0	6.0	17.0	4.0	1.0	74.0	2.0	1.0	1.0	1.0	23.0	56.0	42.0	3.0	13.0	19.0	4.0	22.0	22.0	2.0	0.0	16.0	1.0	228.0	54.0	8.0	5.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_2	BER	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	5.0	12.0	4.0	5.0	16.0	3.0	1.0	1.0	0.0	2.0	7.0	1.0	44.0	36.0	1.0	0.0	2.0	2.0	12.0	1.0	1.0	1.0	9.0	1.0	2.0	40.0	20.0	15.0	78.0	0.0	2.0	0.0	7.0	8.0	3.0	8.0	1.0	1.0	40.0	0.0	0.0	0.0	0.0	7.0	22.0	33.0	2.0	4.0	6.0	4.0	9.0	8.0	2.0	0.0	7.0	1.0	164.0	26.0	0.0	3.0	8.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_BER_3	BER	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	1.0	2.0	5.0	3.0	0.0	0.0	0.0	2.0	6.0	1.0	30.0	14.0	1.0	0.0	1.0	2.0	2.0	0.0	1.0	0.0	5.0	0.0	2.0	27.0	8.0	10.0	51.0	0.0	0.0	0.0	8.0	6.0	1.0	6.0	1.0	1.0	35.0	0.0	1.0	0.0	0.0	3.0	21.0	23.0	2.0	1.0	4.0	2.0	5.0	4.0	2.0	0.0	6.0	0.0	118.0	13.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
