accession,Collection_date,city,species,included
GCF_003861035.1,2017,Baltimore,Klebsiella pneumoniae,yes
GCF_003861085.1,2017,Baltimore,Klebsiella pneumoniae,yes
GCF_003861135.1,2017,Baltimore,Klebsiella pneumoniae,yes
GCF_003861255.1,2017,Baltimore,Klebsiella pneumoniae,yes
GCF_003861365.1,2017,Baltimore,Klebsiella pneumoniae,yes
GCF_003861425.1,2017,Baltimore,Klebsiella pneumoniae,yes
GCF_003861435.1,2017,Baltimore,Klebsiella pneumoniae,yes
GCF_003861475.1,2017,Baltimore,Klebsiella pneumoniae,yes
GCF_003861575.1,2017,Baltimore,Klebsiella pneumoniae,yes
GCF_019927725.1,2018,San Antonio,Klebsiella pneumoniae,yes
GCF_019927885.1,2018,San Antonio,Klebsiella pneumoniae,yes
GCF_019927925.1,2017,San Antonio,Klebsiella pneumoniae,yes
GCF_019928325.1,2016,San Antonio,Klebsiella pneumoniae,yes
GCF_027584255.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584275.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584375.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584385.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584415.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584435.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584455.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584485.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584495.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584535.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584585.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027584695.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027585065.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027585115.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027585155.1,2015,New York,Klebsiella pneumoniae,yes
GCF_027585165.1,2015,New York,Klebsiella pneumoniae,yes
