PWY0-1465	1.1.1.83	D-malate dehydrogenase (decarboxylating)
PWY-6693	2.7.1.4	manno(fructo)kinase
PWY-621	2.7.1.4	manno(fructo)kinase
PWY-3801	2.7.1.4	manno(fructo)kinase
SUCROSEUTIL2-PWY	2.7.1.4	manno(fructo)kinase
PWY-4101	2.7.1.4	manno(fructo)kinase
PWY-6531	2.7.1.4	manno(fructo)kinase
SUCUTIL-PWY	2.7.1.4	manno(fructo)kinase
P122-PWY	2.7.1.4	manno(fructo)kinase
PWY-5384	2.7.1.4	manno(fructo)kinase
PWY-6981	2.4.1.16	chitin synthase
PWY-6423	3.4.23.38	hemoglobin aspartic proteinase
PWY-7376	2.1.1.130	precorrin-2 (<i>C</i><sup>20</sup>)-methyltransferase
PWY-7425	1.1.5.-	D-lactate dehydrogenase
PWY-5386	1.1.5.-	D-lactate dehydrogenase
PWY-901	1.1.5.-	D-lactate dehydrogenase
PWY-6447	2.5.1.28	neryl diphosphate synthase
PWY-46	4.1.1.17	ornithine decarboxylase
PWY-6305	4.1.1.17	ornithine decarboxylase
ORNDEG-PWY	4.1.1.17	ornithine decarboxylase
PWY-7394	3.5.2.17	hydroxyisourate hydrolase
PWY-5691	3.5.2.17	hydroxyisourate hydrolase
PWY66-3	1.1.1.270	5&alpha;-cholesta-8-en-3-one reductase
FAO-PWY	1.3.8.-	acyl-CoA dehydrogenase
PWY490-4	6.3.5.6	anspartyl-tRNA(Asn) amidotransferase
PWY-6610	3.5.4.2	adenine deaminase
PWY-7380	2.8.1.6	biotin synthase
PWY0-1507	2.8.1.6	biotin synthase
PWY-5531	6.6.1.1	magnesium chelatase
PWY-7159	6.6.1.1	magnesium chelatase
CHLOROPHYLL-SYN	6.6.1.1	magnesium chelatase
PWY-7222	1.17.4.1	2'-deoxyguanosine 5'-diphosphate:oxidized NrdH glutaredoxin-like protein oxidoreductase
PWY0-301	3.1.1.-	L-ascorbate 6-phosphate lactonase
TRNA-CHARGING-PWY	6.1.1.10	methionyl-tRNA synthetase
KDO-NAGLIPASYN-PWY	2.3.1.-	palmitoleoyl acyltransferase
PWY-7335	5.1.3.14	UDP-<i>N</i>-acetylglucosamine 2-epimerase
TEICHOICACID-PWY	5.1.3.14	UDP-<i>N</i>-acetylglucosamine 2-epimerase
PWY-5526	1.3.1.-	3-hydroxyethylchlorophyllide <i>a</i> reductase
SERSYN-PWY	2.6.1.52	3-phosphoserine aminotransferase
PWY-882	3.1.3.93	L-galactose-1-phosphate phosphatase
PWY-1501	5.1.2.2	mandelate racemase
PWY-7470	2.3.1.23	lysophosphatidylcholine acyltransferase
PWY-6803	2.3.1.23	lysophosphatidylcholine acyltransferase
PWY-5188	1.2.1.70	glutamyl-tRNA reductase
PWY-5097	1.2.1.11	aspartate semialdehyde dehydrogenase
PWY-2942	1.2.1.11	aspartate semialdehyde dehydrogenase
PWY-2941	1.2.1.11	aspartate semialdehyde dehydrogenase
DAPLYSINESYN-PWY	1.2.1.11	aspartate semialdehyde dehydrogenase
PWY-7153	1.2.1.11	aspartate semialdehyde dehydrogenase
PWY-6562	1.2.1.11	aspartate semialdehyde dehydrogenase
PWY-6559	1.2.1.11	aspartate semialdehyde dehydrogenase
HOMOSERSYN-PWY	1.2.1.11	aspartate semialdehyde dehydrogenase
P101-PWY	1.2.1.11	aspartate semialdehyde dehydrogenase
PWY-7307	5.3.3.-	&Delta;3-&Delta;2-enoyl-CoA isomerase
PWY-7307	1.3.1.34	2,4-dienoyl-CoA reductase
PWY-7307	5.3.3.-	&Delta;3,5-&Delta;2,4-dienoyl-CoA isomerase
PWY-7234	6.3.4.18	<i>N</i><sup>5</sup>-carboxyaminoimidazole ribonucleotide synthetase
PWY-6123	6.3.4.18	<i>N</i><sup>5</sup>-carboxyaminoimidazole ribonucleotide synthetase
PWY-2421	1.14.13.-	indole-3-acetate monooxygenase
PWYG-321	1.1.-.-	3-oxo-C78-&alpha;-mycolate-[pks13] reductase
PWY-7234	5.4.99.18	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase
PWY-6123	5.4.99.18	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase
PWY-7104	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-7440	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-7315	2.7.7.24	dTDP-glucose pyrophosphorylase
DTDPRHAMSYN-PWY	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-6942	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-6976	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-7413	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-7414	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-7318	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-7316	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-7312	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-7301	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-6973	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-6974	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-3221	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-6953	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-6808	2.7.7.24	dTDP-glucose pyrophosphorylase
PWY-7220	1.17.4.2	ATP reductase
HOMOSER-METSYN-PWY	2.3.1.46	homoserine <i>O</i>-succinyltransferase
PWY-7220	1.17.4.1	2'-deoxyadenosine 5'-diphosphate:oxidized NrdH glutaredoxin-like protein oxidoreductase
PWY-6357	3.1.3.2	acid phosphatase / phosphotransferase
PWY-6348	3.1.3.2	acid phosphatase / phosphotransferase
P163-PWY	5.4.3.2	L-lysine 2,3-aminomutase
PWY-7204	3.1.3.74	pyridoxal phosphatase
PWY-7374	3.2.2.26	futalosine hydrolase
PWY-6892	2.7.7.73	ThiS adenylyltransferase
PWY-6891	2.7.7.73	ThiS adenylyltransferase
GLYCOLYSIS	2.7.9.2	phosphoenolpyruvate synthetase
PWY-5484	2.7.9.2	phosphoenolpyruvate synthetase
P23-PWY	2.7.9.2	phosphoenolpyruvate synthetase
GLUCONEO-PWY	2.7.9.2	phosphoenolpyruvate synthetase
PWY-7247	5.3.1.12	D-glucuronate isomerase
HCAMHPDEG-PWY	1.3.1.87	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase
PWY-7376	1.3.1.54	precorrin-6A reductase
PWY-6806	1.13.12.-	lycopene cleavage oxygenase
PWY-5305	1.13.12.-	lycopene cleavage oxygenase
PWY-5971	1.3.1.9	octanoyl-[acyl-carrier-protein] reductase
PWY-5971	1.3.1.9	hexanoyl-[acyl-carrier-protein] reductase
PWY-5971	1.3.1.9	crotonyl-[acyl-carrier-protein] reductase
PWY-6767	1.3.8.-	4,4'-diapophytofluene desaturase
PWY-5875	1.3.8.-	4,4'-diapophytofluene desaturase
PWY-5994	2.3.1.86	3-hydroxydecanoyl-[acp] dehydrase
PWY0-862	2.3.1.86	3-hydroxydecanoyl-[acp] dehydrase
PWY-5971	2.3.1.86	3-hydroxydecanoyl-[acp] dehydrase
PWY-5994	2.3.1.86	beta-keto-acyl synthase homolog
PWY-5994	2.3.1.86	beta-keto-acyl synthase homolog
PWY-5994	2.3.1.86	beta-keto-acyl synthase homolog
PWY-5994	2.3.1.86	beta-keto-acyl synthase homolog
PWY-5994	2.3.1.86	beta-keto-acyl synthase homolog
PWY-7233	2.1.1.201	2-hexaprenyl-6-methoxy-1,4-benzoquinol methyltransferase
PWY-7230	2.1.1.201	2-hexaprenyl-6-methoxy-1,4-benzoquinol methyltransferase
PWY3O-19	2.1.1.201	2-hexaprenyl-6-methoxy-1,4-benzoquinol methyltransferase
PWY-5307	2.3.1.-	caffeoyl-CoA:3-<i>O</i>-glucosyl-5-<i>O</i>-(caffeoylglucoside-3'-<i>O</i>-glucoside) 3'-<i>O</i>-hydroxycinnamoyltransferase
PWY-2582	1.3.1.-	22&alpha;-hydroxy-campest-4-en-3-one,NADPH:steroid 5&alpha;-reductase
PWYG-321	2.3.1.41	beta-keto-acyl synthase homolog
PWYG-321	4.2.1.59	3-cis,cis-delta19,31-3-hydroxyC50:2-[acyl-carrier protein] dehydratase
PWY-5307	2.3.1.153	caffeoyl-CoA:delphinidin-3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase
PWY-6091	1.14.12.-	1,2,4-trichlorobenzene dioxygenase
PWY-6387	6.3.2.10	D-alanyl-D-alanine-adding enzyme
PWY-6099	1.14.12.-	1,2,4,5-tetrachlorobenzene dioxygenase
PWY0-321	2.3.1.174	&beta;-ketoadipyl-CoA thiolase
PWY-1361	2.3.1.174	&beta;-ketoadipyl-CoA thiolase
PWY-2361	2.3.1.174	&beta;-ketoadipyl-CoA thiolase
PWY-6088	1.3.1.-	3-chloro-3,5-cyclohexadiene-l,2-diol-1-carboxylate:NAD+ oxidoreductase (decarboxylating)
PWY-6088	1.14.12.-	3-chlorobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)
PWY-6088	1.14.12.-	3-chlorobenzoate hydroxylase
PWY-6090	1.14.12.-	1,2-dichlorobenzene dioxygenase
HEXPPSYN-PWY	2.5.1.83	hexaprenyl-diphosphate synthase
PWY-6105	1.3.1.97	C30 botryococcene synthase
PWY-7035	6.2.1.3	acyl-CoA synthetase
PWY-7036	2.3.1.199	3-oxo-lignoceronyl-CoA synthase
PWY-7036	2.3.1.199	3-oxo-cerotoyl-CoA synthase
PWY-7036	2.3.1.199	3-oxo-behenoyl-CoA synthase
PWY-7036	2.3.1.199	3-oxo-arachidoyl-CoA synthase
PWY-7036	1.1.1.330	3-oxo-behenoyl-CoA reductase
PWY-7036	1.1.1.330	3-oxo-arachidoyl-CoA reductase
PWY-1881	1.2.1.2	formate dehydrogenase
PWY-5497	1.2.1.2	formate dehydrogenase
P164-PWY	1.2.1.2	formate dehydrogenase
PWY-6696	1.2.1.2	formate dehydrogenase
PWY-6955	1.13.11.30	L-dopa 2,3-dioxygenase
PWY-1901	1.21.3.6	2'4'6'34-pentahydroxychalcone:oxygen oxidoreductase
P241-PWY	4.2.1.114	<I>cis</I>-(homo)<SUB>2</SUB>aconitate hydratase
PWY-6455	5.1.1.18	serine racemase
PWY-6196	5.1.1.18	serine racemase
PWY66-221	1.14.14.1	cotinine hydroxylase
PWY-5514	2.7.7.23	N-acetylglucosamine-1-phosphate uridyltransferase
PWY0-1261	2.7.7.23	N-acetylglucosamine-1-phosphate uridyltransferase
UDPNAGSYN-PWY	2.7.7.23	N-acetylglucosamine-1-phosphate uridyltransferase
UDPNACETYLGALSYN-PWY	2.7.7.23	N-acetylglucosamine-1-phosphate uridyltransferase
PWY-102	1.14.11.-	GA4 2&beta;-hydroxylase
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	1.13.11.3	protocatechuate 3,4-dioxygenase
PWY66-221	1.14.14.1	cotinine,NADPH:oxygen oxidoreductase
PWY66-221	1.14.14.1	5'-hydroxycotinine synthetase
TREHALOSESYN-PWY	2.4.1.36	GDP-glucose:D-glucose-6-phosphate 1-&alpha;-D-glucosyltransferase
PWYG-321	1.3.1.9	trans-delta2-cis,cis-delta5,23-C42:3-[acp]:NADH+ oxidoreductase
PWY-5074	4.1.3.4	hydroxymethylglutaryl-CoA lyase
LEU-DEG2-PWY	4.1.3.4	hydroxymethylglutaryl-CoA lyase
PWY66-367	4.1.3.4	hydroxymethylglutaryl-CoA lyase
2OXOBUTYRATECAT-PWY	3.1.2.18	acyl-CoA  hydrolase (short chain)
PWY-7425	1.3.1.103	2-chloroacrylate reductase
PWYG-321	1.1.1.100	cis-delta9-3-oxo-C28:1-[acp] reductase
PWY-5107	2.7.1.182	phytol kinase
PWY-5509	2.5.1.17	cob(I)yrinic acid a,c-diamide adenosyltransferase
PWY-5508	2.5.1.17	cob(I)yrinic acid a,c-diamide adenosyltransferase
PWY0-1338	2.6.1.87	"UDP-L-Ara4O C-4"" transaminase"
PWY-5060	1.14.11.22	naringenin 2-oxoglutarate oxygen oxidoreductase
PWY-6787	1.14.11.22	naringenin 2-oxoglutarate oxygen oxidoreductase
PWY-2083	1.14.11.22	naringenin 2-oxoglutarate oxygen oxidoreductase
PWY-5060	1.14.11.22	eriodictyol: 2-oxoglutarate oxygen oxidoreductase
PWY-6787	1.14.11.22	eriodictyol: 2-oxoglutarate oxygen oxidoreductase
PWY-5154	3.5.1.16	acetylcitrulline deacetylase
PWY-2541	1.1.1.-	cycloeucalenone reductase
PWY-2541	1.1.1.-	3&beta;-hydroxysteroid dehydrogenase/C4-decarboxylase
DISSULFRED-PWY	1.8.99.1	dissimilatory sulfite reductase
PWY-2541	1.14.13.-	4&alpha;-formyl,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-ergost-24(24<sup>1</sup>)-en-3&beta;-ol-4&alpha;-methyl oxidase
PWY-2541	1.14.13.-	24-methylenecycloartanol 4&alpha;-methyl oxidase
PWY-2541	1.14.13.-	4&alpha;-hydroxymethyl,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-ergost-24(24<sup>1</sup>)-en-3&beta;-ol-4&alpha;-methyl oxidase
PWY-7312	1.1.1.266	dTDP-4-dehydro-6-deoxyglucose reductase
PWY-5350	2.8.1.1	thiosulfate sulfurtransferase
PWY0-1338	2.1.2.13	UDP-L-Ara4N formyltransferase
PWY-6142	1.2.7.6	glyceraldehyde-3-phosphate ferredoxin oxidoreductase
P341-PWY	1.2.7.6	glyceraldehyde-3-phosphate ferredoxin oxidoreductase
PWY-7094	4.2.1.17	trans-&Delta;<sup>2</sup>-decenoyl-CoA hydratase
PWY-7094	1.3.8.7	medium-chain acyl-CoA dehydrogenase
PWY-7094	6.2.1.3	decanoate--CoA ligase
PWY-7094	2.3.1.207	&beta;-ketodecanoyl-[acyl-carrier-protein] synthase
PWY-5140	4.4.1.26	olivetolic acid cyclase
FASYN-ELONG-PWY	2.3.1.86	3-oxoacyl-[ACP] reductase
PWY-4302	1.-.-.-	ferroprotein oxidase
PWY-4302	1.-.-.-	ubiquinol:oxidized ferroprotein (Fe III) oxidoreductase
PWY-181	1.1.1.29	hydroxypyruvate reductase
PWY-7149	2.4.1.-	3,6,7,2',4'-pentamethylquercetagetin 3'-<i>O</i>-glucosyltransferase
PWY-7151	2.4.1.-	3,6,7,2',4'-pentamethylquercetagetin 3'-<i>O</i>-glucosyltransferase
PWY-7149	2.4.1.-	2'-hydroxy 3,7,3',4'-tetramethylquercetin 2'-<i>O</i>-glucosyltransferase
PWY-7150	2.4.1.-	2'-hydroxy 3,7,3',4'-tetramethylquercetin 2'-<i>O</i>-glucosyltransferase
PWY-7149	2.4.1.-	3,6,7,4'-tetramethylquercetagetin 3'-<i>O</i>-glucosyltransferase
PWY-7151	2.4.1.-	3,6,7,4'-tetramethylquercetagetin 3'-<i>O</i>-glucosyltransferase
PWY-7149	2.4.1.-	3,7,4'-trimethylquercetagetin 3'-<i>O</i>-glucosyltransferase
PWY-7151	2.4.1.-	3,7,4'-trimethylquercetagetin 3'-<i>O</i>-glucosyltransferase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.142	chitobiosyldiphosphodolichol &beta;-mannosyltransferase
PWY-4421	2.4.1.-	UDP-glucose:curcumin monoglucoside glucosyltransferase
PWY-7153	2.3.1.5	3-acetylamino-4-hydroxybenzaldehyde synthase
PWY-7153	2.3.1.5	3-acetylamino-4-hydroxybenzoate synthase
PWY-5825	3.2.1.161	7-<i>O</i>-&beta;-D-apiofuranosyl-(1-6)-&beta;-D-glucopyranosidase
PWY-7431	1.2.1.53	4-hydroxyphenylacetaldehyde dehydrogenase
PWY-4021	2.1.1.-	S-adenosyl-L-methionine:N,N-dimethyl-&beta;-alanine N-methyltransferase
PWY-6486	1.1.1.203	D-galacturonate dehydrogenase
PWY-7469	1.13.11.4	gentisate 1,2-dioxygenase
PWY-6640	1.13.11.4	gentisate 1,2-dioxygenase
PWY-6223	1.13.11.4	gentisate 1,2-dioxygenase
PWY-6368	3.1.3.78	phosphatidylinositol 4,5-bisphosphate 4-phosphatase
PWY-6367	3.1.3.78	phosphatidylinositol 4,5-bisphosphate 4-phosphatase
PWY-6829	2.1.1.225	cytidine<sup>4</sup> in tRNA<sup>Pro</sup> 2'-<i>O</i>-methyltransferase
PWY-6823	2.8.1.11	molybdopterin synthase sulfurtransferase
PWY-7058	2.1.1.-	esculetin-<i>O</i>-methyltransferase
PWY-7186	2.1.1.-	esculetin-<i>O</i>-methyltransferase
PWY-7058	2.4.1.-	esculetin 3-<i>O</i>-glucosyltransferase
PWY-7058	2.4.1.126	esculetin 4-<i>O</i>-&beta;-glucosyltransferase
PWY-7058	2.4.1.-	esculin &beta;-glucosidase
PWY-7186	2.4.1.-	esculin &beta;-glucosidase
PWY-6829	2.1.1.225	cytidine<sup>4</sup> in tRNA<sup>Gly</sup>(GCC) 2'-<i>O</i>-methyltransferase
PWY-6829	2.1.1.225	adenosine<sup>4</sup> in tRNA<sup>His</sup> 2'-<i>O</i>-methyltransferase
PWY-7058	2.1.1.-	isoscopoletin-<i>O</i>-methyltransferase
PWY-7058	2.1.1.-	esculetin-<i>O</i>-methyltransferase
LACTOSECAT-PWY	5.3.1.26	D-galactose-6-phosphate isomerase
ALADEG-PWY	1.4.5.-	D-alanine:quinone oxidoreductase (deaminating)
ARGDEG-V-PWY	3.5.1.4	guanidinobutyramidase
PWY-6011	3.2.1.117	amygdalin hydrolase
PWY-6607	3.5.4.15	guanosine deaminase
PWY-5466	1.23.1.4	(+)-pinoresinol/(-)-lariciresinol reductase
PWY-6824	1.23.1.4	(+)-pinoresinol/(-)-lariciresinol reductase
PWY66-162	1.11.1.6	alcohol peroxidase
PWY-5941	3.2.1.33	amylo-alpha-1,6-glucosidase
PWY-6842	2.5.1.18	Maleylacetoacetate isomerase
PWY-4061	2.5.1.18	Maleylacetoacetate isomerase
PWY-7328	5.4.99.9	UDP-galactopyranose mutase
PWY-6397	5.4.99.9	UDP-galactopyranose mutase
OANTIGEN-PWY	5.4.99.9	UDP-galactopyranose mutase
PWY-6030	1.14.16.4	tryptophan 5-hydroxylase
PWY-7435	2.4.1.41	polypeptide <em>N</em>-acetylgalactosaminyltransferase
PWY-7433	2.4.1.41	polypeptide <em>N</em>-acetylgalactosaminyltransferase
PWY-7481	1.14.13.143	<i>ent</i>-isokaurene-C2-hydroxylase
PWY-7161	2.1.1.-	quercetin 7-<i>O</i>-methyltransferase
PWY-7157	2.1.1.-	quercetin 7-<i>O</i>-methyltransferase
P224-PWY	1.8.99.3	dissimilatory sulfite reductase
PWY-7455	1.3.1.22	progesterone 5&alpha;-reductase
PWY-6032	1.3.1.22	progesterone 5&alpha;-reductase
PWY-7046	1.3.7.9	4-hydroxybenzoyl-CoA reductase
PWY-6080	1.3.7.9	4-hydroxybenzoyl-CoA reductase
PHENOLDEG-PWY	1.3.7.9	4-hydroxybenzoyl-CoA reductase
TEICHOICACID-PWY	2.7.7.39	glycerol-3-phosphate cytidylyltransferase
PWY-5514	5.1.3.7	UDP-<i>N</i>-acetylglucosamine 4'-epimerase
PWY-7336	5.1.3.7	UDP-<i>N</i>-acetylglucosamine 4'-epimerase
PWY-5512	5.1.3.7	UDP-<i>N</i>-acetylglucosamine 4'-epimerase
PWY-5094	2.4.1.-	UDP-L-rhamnose:naringenin 7-O-glucoside 22''-O-alpha-L-rhamnosyltransferase
PWY-7204	1.4.3.5	pyridoxamine 5'-phosphate oxidase
PLPSAL-PWY	1.4.3.5	pyridoxamine 5'-phosphate oxidase
PWY-7367	2.7.8.2	CDP-choline:1,2-diacylglycerol cholinephosphotransferase
PWY-6804	2.7.8.2	CDP-choline:1,2-diacylglycerol cholinephosphotransferase
PWY4FS-2	2.7.8.2	CDP-choline:1,2-diacylglycerol cholinephosphotransferase
PWY3O-450	2.7.8.2	CDP-choline:1,2-diacylglycerol cholinephosphotransferase
PWY-3561	2.7.8.2	CDP-choline:1,2-diacylglycerol cholinephosphotransferase
GLUCONEO-PWY	1.1.1.40	malate dehydrogenase
PWY-241	1.1.1.40	malate dehydrogenase
PWY-7375	3.1.3.33	mRNA triphosphatase
PWY-6100	1.14.11.1	&gamma;-butyrobetaine dioxygenase
PWY-3621	1.14.11.1	&gamma;-butyrobetaine dioxygenase
PWY-5331	1.8.1.3	hypotaurine dehydrogenase
PWY-181	2.6.1.45	serine:glyoxylate aminotransferase
PWY-1622	2.6.1.45	serine:glyoxylate aminotransferase
PWY-5307	2.4.1.298	delphinidin 5-<i>O</i>-glucosyltrtansferase
PWY-5437	2.3.1.222	phosphate propionyltransferase
PWY-7013	2.3.1.222	phosphate propionyltransferase
PWY-7219	3.6.3.14	ATPSYN-RXN
PWY-5497	3.5.99.10	2-iminopropanoate deaminase
LCYSDEG-PWY	3.5.99.10	2-iminopropanoate deaminase
PWY-3661	3.5.99.10	2-iminopropanoate deaminase
SERDEG-PWY	3.5.99.10	2-iminopropanoate deaminase
PWY-7485	1.14.13.-	tetracenomycin A2 C4,C4A,C12A hydroxylase
PWY-2981	1.14.13.144	9&beta;-stemod-13(17)-ene oxidase
PWY-7485	2.1.1.-	tetracenomycin E C-9 O-methyltransferase
HOMOCYSDEGR-PWY	3.5.99.-	2-iminobutanoate deaminase
PWY-701	3.5.99.-	2-iminobutanoate deaminase
PWY-5826	3.5.99.-	2-iminobutanoate deaminase
PWY-5437	3.5.99.-	2-iminobutanoate deaminase
ILEUSYN-PWY	3.5.99.-	2-iminobutanoate deaminase
PWY-7482	1.14.13.-	cyclooctat-9-en-5,7-diol C18-monooxygenase
PWY-7484	1.14.13.-	3&beta;-hydroxy-12,15-cassadiene-11-one 2-hydroxylase
PWY-6945	|6.2.1.f|	3-oxocholest-4-en-26-oate--CoA ligase
PWY-6946	|6.2.1.f|	3-oxocholest-4-en-26-oate--CoA ligase
PWY-6945	1.3.99.-	3-oxocholest-4-en-26-oyl-CoA dehydrogenase
PWY-6946	1.3.99.-	3-oxocholest-4-en-26-oyl-CoA dehydrogenase
PWY-6945	2.3.1.176	3,24-dioxocholest-4-en-27-oyl-CoA:coenzyme A propanoyl-transferase
PWY-6946	2.3.1.176	3,24-dioxocholest-4-en-27-oyl-CoA:coenzyme A propanoyl-transferase
PWY-6948	2.3.1.176	3,24-dioxocholest-4-en-27-oyl-CoA:coenzyme A propanoyl-transferase
PWY-6945	1.3.99.-	3-oxochol-4-en-24-oyl-CoA dehydrogenase
PWY-6946	1.3.99.-	3-oxochol-4-en-24-oyl-CoA dehydrogenase
PWY-6948	1.3.99.-	3-oxochol-4-en-24-oyl-CoA dehydrogenase
PWY-6945	4.2.1.-	3-oxocholest-4,24-dien-26-oyl-CoA hydratase
PWY-6946	4.2.1.-	3-oxocholest-4,24-dien-26-oyl-CoA hydratase
PWY-7072	4.2.1.129	squalene-hopanol cyclase
PWY-6098	4.2.1.129	squalene-hopanol cyclase
PWY-6636	4.1.1.91	salicylate decarboxylase
PWY-6643	2.6.1.1	cysteate aminotransferase
PWY-6638	2.6.1.1	cysteate aminotransferase
PWY-6642	2.6.1.1	cysteate aminotransferase
PWY-5159	1.4.99.-	D-hydroxyproline dehydrogenase
PWY-5160	2.4.1.-	UDP-D-glucose:cyanidin 5-O-&beta;-D-glucosyltransferase
PWY-7092	4.1.2.46	(2R)-2-hydroxy-2-methylbutanenitrile lyase (cyanide forming)
PWY-6002	4.1.2.46	(2R)-2-hydroxy-2-methylbutanenitrile lyase (cyanide forming)
PWY-7044	3.5.99.8	5-nitroanthranilate aminohydrolase
PWY-5160	2.4.1.-	cyanidin 5,3-O-glycosyltransferase
PWY-5161	1.14.13.-	chalcone 3-hydroxylase
PWY-1901	1.21.3.6	sulfuretin synthase
PWY-6638	1.1.1.-	sulfolactate dehydrogenase
PWY-6637	1.1.1.-	sulfolactate dehydrogenase
P343-PWY	1.3.1.32	maleylacetate reductase
PWY-5488	1.3.1.32	maleylacetate reductase
PWY-7081	1.3.1.32	maleylacetate reductase
PWY-7002	1.3.1.32	maleylacetate reductase
PWY-6200	1.3.1.32	maleylacetate reductase
PCPDEG-PWY	1.3.1.32	maleylacetate reductase
PWY-6193	1.3.1.32	maleylacetate reductase
