	aro	BAL_En	BAL_Es	BAL_Kl	DEN_En	DEN_Es	DEN_Kl	MIN_En	MIN_Es	MIN_Kl	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAC_Es	SAC_Kl	SAN_En	SAN_Es	SAN_Kl
facT	3001313	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	13.0	1.0	5.0	0.0	0.0	1.0	1.0	0.0	0.0
vanS gene in vanG cluster	3002937	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(36)	3000197	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
farB	3003962	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0
Escherichia coli UhpT with mutation conferring resistance to fosfomycin	3003890	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
APH(6)-Id	3002660	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
sul1	3000410	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0
qacEdelta1	3005010	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
aadA15	3002615	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MuxA	3004073	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
MexW	3003031	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APH(3'')-Ib	3002639	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
gadW	3003838	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	4.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0
aadA3	3002603	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APH(3')-Ia	3002641	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sul2	3000412	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
evgA	3000832	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	39.0	8.0	13.0	0.0	0.0	0.0	0.0	2.0	0.0
EC-5	3006880	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NmcR	3003665	0.0	0.0	4.0	0.0	0.0	27.0	0.0	0.0	0.0	82.0	7.0	34.0	0.0	0.0	1.0	0.0	1.0	0.0
oqxA	3003922	0.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	13.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
TxR	3005008	0.0	0.0	3.0	3.0	0.0	25.0	0.0	0.0	1.0	45.0	13.0	35.0	0.0	0.0	1.0	0.0	6.0	0.0
mdtB	3000793	0.0	0.0	3.0	1.0	0.0	6.0	0.0	0.0	0.0	29.0	3.0	14.0	0.0	0.0	0.0	0.0	2.0	0.0
Acinetobacter baumannii AbaQ	3004574	0.0	0.0	3.0	0.0	0.0	24.0	0.0	0.0	1.0	49.0	6.0	31.0	2.0	0.0	0.0	0.0	0.0	0.0
kdpD	3004047	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	11.0	2.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0
MexK	3003693	0.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	17.0	0.0	16.0	1.0	0.0	0.0	0.0	0.0	0.0
oqxB	3003923	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	35.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
MexB	3000378	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0
evgS	3000833	0.0	0.0	2.0	0.0	0.0	8.0	0.0	0.0	0.0	61.0	14.0	29.0	2.0	0.0	0.0	0.0	3.0	0.0
Clostridioides difficile gyrB conferring resistance to fluoroquinolones	3004562	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	15.0	2.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0
almE	3007433	0.0	0.0	2.0	0.0	0.0	9.0	0.0	0.0	0.0	29.0	2.0	8.0	0.0	0.0	0.0	0.0	1.0	0.0
tet(X1)	3005166	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FosA8	3007371	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
vanH gene in vanB cluster	3002943	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
YajC	3005040	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	19.0	1.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
mecA	3000617	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
vanR gene in vanF cluster	3002925	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
leuO	3003843	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0	38.0	5.0	30.0	0.0	0.0	0.0	0.0	2.0	0.0
oleC	3003748	0.0	0.0	1.0	0.0	0.0	14.0	0.0	1.0	0.0	31.0	6.0	14.0	1.0	0.0	1.0	0.0	1.0	0.0
MexI	3000808	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
marA	3000263	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	14.0	1.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0
SST-1	3006999	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
nalC	3000818	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0
Staphylococcus aureus fusE with mutation conferring resistance to fusidic acid	3003737	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Helicobacter pylori rpoB mutation conferring resistance to rifampicin	3007051	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
Helicobacter pylori pbp1 mutants conferring resistance to amoxicillin	3007060	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	14.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus faecalis cls with mutation conferring resistance to daptomycin	3003760	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
MexJ	3003692	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Erm(41)	3000603	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
YojI	3003952	0.0	0.0	1.0	0.0	1.0	9.0	0.0	0.0	1.0	21.0	4.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
vanT gene in vanG cluster	3002972	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
OmpA	3005044	0.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	35.0	1.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
ErmX	3000596	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
baeR	3000828	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	14.0	2.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0
vatA	3002840	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MexD	3000801	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
mdtC	3000794	0.0	0.0	1.0	1.0	0.0	8.0	0.0	0.0	2.0	31.0	1.0	13.0	2.0	0.0	0.0	0.0	3.0	0.0
tet(55)	3004591	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAC(6')-Ib8	3002579	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PmrF	3003578	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	15.0	5.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella pneumoniae OmpK37	3004122	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	44.0	8.0	14.0	0.0	0.0	1.0	0.0	2.0	0.0
LlmA 23S ribosomal RNA methyltransferase	3003982	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
OprZ	3004142	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
cprR	3005063	0.0	0.0	1.0	0.0	1.0	4.0	0.0	0.0	0.0	11.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0
vanH gene in vanM cluster	3002947	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lfrA	3003967	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
vanR gene in vanA cluster	3002919	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vanN	3002912	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TEM-229	3005260	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mdtF	3000796	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin	3003283	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	5.0	0.0	1.0	0.0	0.0	1.0	0.0
qacA	3003046	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
vanH gene in vanP cluster	3007188	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
mepA	3000026	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtrD	3000811	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
emrR	3000516	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	8.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
vanH gene in vanD cluster	3002944	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
tcr3	3002893	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
TriA	3003679	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
OpmB	3004072	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
mdtO	3003549	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0
OprM	3000379	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	12.0	2.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0
rpoB2	3000501	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	26.0	1.0	5.0	0.0	0.0	0.0	0.0	1.0	1.0
catB8	3002680	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
OprJ	3000802	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
chrB	3001302	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
arlS	3000839	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Helicobacter pylori pbp3 conferring resistance to amoxicillin	3007057	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vanT gene in vanE cluster	3002971	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ceoB	3003010	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
golS	3000504	0.0	0.0	1.0	1.0	0.0	5.0	0.0	0.0	0.0	16.0	6.0	11.0	0.0	0.0	1.0	0.0	3.0	0.0
MexS	3000813	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	29.0	2.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
MexV	3003030	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	6.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0
Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime	3003807	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	12.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
mdtG	3001329	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	16.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
qacJ	3007014	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
iri	3002884	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
smeE	3003056	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0
rosA	3003048	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	12.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0
mexN	3003705	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
smeR	3003066	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	13.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
AcrS	3000656	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	9.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(C)	3000167	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus aureus cls conferring resistance to daptomycin	3003074	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pp-flo	3002812	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mphE	3003741	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
mdtA	3000792	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	13.0	3.0	8.0	0.0	0.0	0.0	0.0	1.0	0.0
aadA17	3002617	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
