	aro	GCF_002214205.1	GCF_002833425.1	GCF_002833445.1	GCF_002833465.1	GCF_002855815.1	GCF_002855825.1	GCF_002855915.1	GCF_002855955.1	GCF_002855985.1	GCF_002856015.1	GCF_002856025.1	GCF_002856075.1	GCF_002856155.1	GCF_002856185.1	GCF_002856235.1	GCF_002856315.1	GCF_002856325.1	GCF_002856385.1	GCF_002856395.1	GCF_002856415.1	GCF_002856455.1	GCF_002856535.1	GCF_002856565.1	GCF_002856575.1	GCF_002856615.1	GCF_002856635.1	GCF_002856675.1	GCF_002856705.1	GCF_002856765.1	GCF_002856885.1	GCF_002856905.1	GCF_002856915.1	GCF_002856945.1	GCF_002856995.1	GCF_002857005.1	GCF_002857035.1	GCF_002857065.1	GCF_002857085.1	GCF_002857115.1	GCF_002857125.1	GCF_002857135.1	GCF_002857205.1	GCF_002857235.1	GCF_002857315.1	GCF_002857345.1	GCF_003334885.1	GCF_003334895.1	GCF_003334925.1	GCF_003334945.1	GCF_003334955.1	GCF_003334965.1	GCF_003335005.1	GCF_003335025.1	GCF_003335065.1	GCF_003345685.1	GCF_003345715.1	GCF_003345765.1	GCF_003860845.1	GCF_003860885.1	GCF_003860895.1	GCF_003860985.1	GCF_003860995.1	GCF_003861035.1	GCF_003861085.1	GCF_003861135.1	GCF_003861255.1	GCF_003861365.1	GCF_003861425.1	GCF_003861435.1	GCF_003861475.1	GCF_003861575.1	GCF_013423565.1	GCF_013423645.1	GCF_019927725.1	GCF_019927885.1	GCF_019927925.1	GCF_019928325.1	GCF_020783935.1	GCF_022569415.1	GCF_022812305.1	GCF_022812315.1	GCF_027584255.1	GCF_027584275.1	GCF_027584315.1	GCF_027584335.1	GCF_027584375.1	GCF_027584385.1	GCF_027584415.1	GCF_027584435.1	GCF_027584455.1	GCF_027584485.1	GCF_027584495.1	GCF_027584535.1	GCF_027584585.1	GCF_027584695.1	GCF_027585065.1	GCF_027585115.1	GCF_027585155.1	GCF_027585165.1	GCF_029069505.1	GCF_029069575.1	GCF_029069675.1	GCF_029069745.1	GCF_029069825.1	GCF_029070195.1	GCF_029075245.1
smeE	3003056	16.0	14.0	14.0	14.0	12.0	14.0	12.0	13.0	11.0	13.0	11.0	11.0	13.0	14.0	13.0	13.0	11.0	11.0	12.0	15.0	10.0	12.0	12.0	16.0	11.0	13.0	12.0	13.0	15.0	15.0	12.0	13.0	14.0	12.0	11.0	12.0	11.0	14.0	14.0	13.0	11.0	11.0	19.0	12.0	12.0	14.0	14.0	14.0	14.0	16.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	11.0	17.0	11.0	11.0	19.0	15.0	14.0	15.0	11.0	12.0	12.0	17.0	16.0	11.0	15.0	15.0	13.0	11.0	12.0	13.0	10.0	17.0	11.0	12.0	14.0	16.0	16.0	14.0	12.0	14.0	15.0	13.0	11.0	14.0	16.0	15.0	14.0	14.0	15.0	14.0	15.0	14.0	7.0	10.0	10.0	9.0	10.0	8.0	11.0
AcrF	3000502	16.0	8.0	8.0	8.0	11.0	8.0	12.0	11.0	8.0	16.0	9.0	10.0	9.0	10.0	9.0	12.0	11.0	13.0	9.0	7.0	8.0	9.0	11.0	10.0	9.0	11.0	13.0	12.0	14.0	6.0	10.0	14.0	8.0	12.0	8.0	10.0	10.0	8.0	13.0	11.0	9.0	10.0	13.0	10.0	10.0	10.0	8.0	9.0	8.0	8.0	8.0	9.0	9.0	9.0	9.0	8.0	8.0	10.0	10.0	7.0	9.0	11.0	10.0	7.0	10.0	8.0	11.0	9.0	12.0	7.0	10.0	12.0	13.0	9.0	8.0	8.0	9.0	7.0	15.0	17.0	17.0	9.0	11.0	16.0	19.0	9.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	8.0	10.0	10.0	10.0	10.0	10.0	4.0	7.0	7.0	5.0	7.0	8.0	6.0
evgA	3000832	15.0	15.0	15.0	15.0	17.0	16.0	16.0	16.0	15.0	19.0	15.0	16.0	16.0	16.0	16.0	16.0	17.0	16.0	16.0	17.0	15.0	16.0	17.0	15.0	16.0	14.0	21.0	13.0	17.0	15.0	16.0	18.0	16.0	16.0	16.0	17.0	17.0	16.0	15.0	15.0	13.0	14.0	13.0	21.0	15.0	17.0	18.0	17.0	19.0	18.0	17.0	15.0	17.0	17.0	17.0	17.0	17.0	19.0	15.0	18.0	16.0	15.0	16.0	15.0	18.0	16.0	18.0	15.0	16.0	16.0	14.0	15.0	15.0	14.0	17.0	15.0	16.0	17.0	16.0	16.0	16.0	15.0	15.0	14.0	16.0	16.0	15.0	16.0	15.0	14.0	16.0	16.0	16.0	15.0	17.0	14.0	15.0	15.0	15.0	18.0	17.0	17.0	17.0	17.0	18.0	18.0
AxyY	3004144	15.0	7.0	7.0	7.0	6.0	6.0	4.0	7.0	5.0	8.0	6.0	6.0	4.0	11.0	6.0	7.0	5.0	8.0	11.0	7.0	6.0	11.0	6.0	7.0	5.0	8.0	5.0	8.0	6.0	9.0	7.0	7.0	8.0	11.0	7.0	9.0	6.0	9.0	7.0	9.0	8.0	8.0	10.0	7.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	6.0	6.0	7.0	7.0	4.0	7.0	3.0	8.0	8.0	7.0	7.0	6.0	6.0	6.0	4.0	8.0	7.0	5.0	9.0	9.0	7.0	5.0	6.0	5.0	11.0	14.0	13.0	13.0	5.0	7.0	12.0	16.0	4.0	6.0	8.0	6.0	6.0	4.0	8.0	8.0	8.0	6.0	5.0	4.0	5.0	4.0	7.0	9.0	9.0	9.0	9.0	7.0	10.0
TriC	3003681	15.0	11.0	11.0	11.0	12.0	13.0	16.0	13.0	11.0	17.0	9.0	12.0	9.0	12.0	11.0	11.0	10.0	12.0	14.0	13.0	10.0	11.0	15.0	10.0	8.0	11.0	11.0	10.0	18.0	12.0	10.0	9.0	13.0	14.0	12.0	13.0	10.0	13.0	9.0	13.0	13.0	10.0	15.0	13.0	9.0	9.0	14.0	9.0	11.0	11.0	12.0	9.0	9.0	12.0	9.0	11.0	11.0	13.0	13.0	10.0	12.0	13.0	14.0	16.0	12.0	10.0	9.0	10.0	10.0	16.0	12.0	10.0	10.0	12.0	10.0	12.0	10.0	12.0	8.0	14.0	15.0	12.0	13.0	12.0	10.0	12.0	13.0	14.0	14.0	13.0	13.0	15.0	14.0	15.0	12.0	12.0	9.0	10.0	9.0	11.0	12.0	12.0	13.0	12.0	15.0	10.0
Acinetobacter baumannii AbaQ	3004574	14.0	22.0	22.0	22.0	24.0	22.0	23.0	23.0	24.0	27.0	23.0	21.0	23.0	24.0	23.0	23.0	23.0	30.0	27.0	24.0	19.0	20.0	25.0	23.0	22.0	24.0	22.0	24.0	28.0	26.0	22.0	22.0	23.0	25.0	24.0	20.0	26.0	24.0	25.0	25.0	26.0	23.0	32.0	22.0	21.0	21.0	22.0	21.0	22.0	22.0	22.0	21.0	21.0	22.0	21.0	22.0	22.0	25.0	22.0	20.0	25.0	22.0	22.0	20.0	23.0	23.0	24.0	21.0	22.0	23.0	18.0	15.0	16.0	20.0	24.0	20.0	21.0	12.0	12.0	11.0	11.0	22.0	23.0	12.0	11.0	22.0	21.0	23.0	22.0	19.0	22.0	23.0	23.0	20.0	22.0	20.0	21.0	21.0	21.0	12.0	11.0	11.0	12.0	11.0	11.0	12.0
abcA	3003942	14.0	20.0	20.0	20.0	18.0	17.0	23.0	20.0	16.0	22.0	20.0	19.0	17.0	21.0	17.0	21.0	19.0	20.0	18.0	24.0	14.0	17.0	20.0	15.0	20.0	19.0	21.0	18.0	28.0	25.0	23.0	22.0	17.0	25.0	17.0	17.0	19.0	19.0	20.0	21.0	22.0	19.0	19.0	22.0	19.0	17.0	15.0	19.0	15.0	16.0	15.0	17.0	17.0	15.0	15.0	15.0	15.0	22.0	17.0	14.0	18.0	20.0	19.0	20.0	18.0	16.0	17.0	21.0	17.0	16.0	19.0	12.0	14.0	16.0	17.0	18.0	19.0	12.0	13.0	9.0	9.0	16.0	17.0	13.0	13.0	16.0	22.0	16.0	19.0	17.0	18.0	17.0	16.0	21.0	16.0	16.0	16.0	16.0	16.0	13.0	9.0	9.0	18.0	9.0	12.0	15.0
leuO	3003843	14.0	21.0	21.0	21.0	20.0	21.0	22.0	22.0	21.0	22.0	19.0	20.0	21.0	24.0	19.0	22.0	20.0	20.0	24.0	20.0	21.0	22.0	19.0	23.0	20.0	20.0	20.0	21.0	18.0	22.0	21.0	22.0	20.0	21.0	24.0	20.0	20.0	21.0	23.0	18.0	22.0	19.0	20.0	22.0	22.0	20.0	22.0	20.0	21.0	21.0	21.0	20.0	20.0	22.0	20.0	23.0	23.0	20.0	20.0	21.0	20.0	22.0	20.0	20.0	21.0	21.0	20.0	20.0	20.0	20.0	19.0	14.0	14.0	19.0	21.0	20.0	20.0	16.0	13.0	15.0	15.0	20.0	20.0	15.0	13.0	21.0	21.0	20.0	20.0	19.0	20.0	20.0	20.0	20.0	20.0	21.0	21.0	21.0	21.0	16.0	15.0	15.0	22.0	15.0	15.0	18.0
HelR	3007208	14.0	6.0	6.0	6.0	6.0	7.0	6.0	9.0	5.0	11.0	5.0	5.0	7.0	8.0	7.0	8.0	6.0	10.0	6.0	9.0	8.0	7.0	8.0	8.0	6.0	6.0	10.0	8.0	8.0	6.0	6.0	10.0	7.0	8.0	7.0	6.0	5.0	7.0	6.0	7.0	7.0	5.0	11.0	4.0	7.0	7.0	5.0	7.0	4.0	5.0	6.0	8.0	8.0	6.0	7.0	5.0	4.0	6.0	8.0	7.0	6.0	10.0	9.0	6.0	10.0	6.0	7.0	11.0	11.0	8.0	6.0	11.0	11.0	7.0	6.0	6.0	6.0	9.0	11.0	10.0	10.0	7.0	8.0	11.0	17.0	7.0	7.0	8.0	6.0	6.0	8.0	8.0	8.0	8.0	7.0	7.0	7.0	7.0	7.0	10.0	15.0	15.0	10.0	15.0	13.0	15.0
msbA	3003950	14.0	17.0	17.0	17.0	20.0	15.0	21.0	16.0	16.0	15.0	16.0	17.0	13.0	14.0	15.0	13.0	19.0	16.0	15.0	16.0	15.0	17.0	16.0	16.0	17.0	18.0	15.0	16.0	22.0	19.0	17.0	19.0	15.0	18.0	17.0	17.0	16.0	16.0	15.0	16.0	16.0	17.0	18.0	17.0	15.0	14.0	19.0	14.0	18.0	18.0	18.0	14.0	14.0	18.0	14.0	18.0	18.0	15.0	13.0	12.0	15.0	17.0	13.0	14.0	14.0	13.0	15.0	15.0	14.0	11.0	17.0	15.0	14.0	16.0	18.0	16.0	19.0	13.0	14.0	13.0	13.0	12.0	15.0	16.0	17.0	17.0	14.0	13.0	13.0	15.0	14.0	14.0	13.0	13.0	12.0	17.0	16.0	16.0	16.0	13.0	13.0	13.0	13.0	13.0	12.0	15.0
mtrD	3000811	13.0	12.0	12.0	12.0	8.0	8.0	7.0	6.0	9.0	11.0	6.0	7.0	7.0	7.0	6.0	9.0	7.0	9.0	8.0	10.0	6.0	8.0	9.0	6.0	6.0	6.0	9.0	6.0	15.0	8.0	7.0	9.0	8.0	10.0	7.0	7.0	9.0	9.0	9.0	7.0	8.0	8.0	7.0	8.0	7.0	8.0	7.0	8.0	7.0	7.0	7.0	8.0	8.0	7.0	8.0	7.0	7.0	14.0	8.0	7.0	10.0	10.0	8.0	13.0	11.0	8.0	5.0	8.0	10.0	10.0	9.0	10.0	10.0	10.0	6.0	8.0	10.0	4.0	8.0	8.0	9.0	7.0	9.0	11.0	7.0	8.0	9.0	10.0	8.0	9.0	9.0	10.0	10.0	9.0	8.0	6.0	6.0	6.0	6.0	6.0	7.0	7.0	6.0	7.0	5.0	9.0
TaeA	3003986	13.0	10.0	10.0	10.0	9.0	11.0	10.0	18.0	11.0	14.0	8.0	10.0	9.0	11.0	9.0	9.0	15.0	11.0	11.0	12.0	12.0	7.0	13.0	9.0	10.0	8.0	12.0	11.0	16.0	18.0	7.0	8.0	11.0	11.0	12.0	9.0	8.0	10.0	13.0	12.0	12.0	11.0	11.0	9.0	6.0	6.0	8.0	6.0	8.0	8.0	8.0	6.0	6.0	8.0	7.0	8.0	8.0	11.0	7.0	7.0	7.0	9.0	9.0	10.0	13.0	7.0	10.0	9.0	8.0	9.0	9.0	12.0	13.0	8.0	9.0	7.0	8.0	11.0	11.0	12.0	12.0	7.0	8.0	11.0	10.0	10.0	8.0	9.0	11.0	8.0	8.0	9.0	9.0	10.0	8.0	8.0	7.0	8.0	7.0	5.0	10.0	10.0	7.0	10.0	6.0	6.0
adeJ	3000781	13.0	7.0	7.0	7.0	6.0	7.0	9.0	8.0	9.0	8.0	7.0	7.0	10.0	7.0	9.0	7.0	7.0	8.0	10.0	8.0	7.0	9.0	7.0	11.0	6.0	5.0	6.0	7.0	9.0	7.0	6.0	10.0	7.0	9.0	10.0	9.0	6.0	7.0	7.0	6.0	7.0	6.0	11.0	8.0	6.0	9.0	9.0	9.0	9.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	7.0	9.0	9.0	7.0	8.0	8.0	7.0	6.0	8.0	8.0	7.0	10.0	5.0	14.0	14.0	6.0	6.0	6.0	7.0	10.0	11.0	13.0	12.0	6.0	7.0	13.0	8.0	9.0	8.0	8.0	5.0	5.0	7.0	8.0	8.0	6.0	7.0	8.0	8.0	8.0	8.0	8.0	7.0	7.0	10.0	7.0	7.0	10.0
mexQ	3003699	13.0	11.0	11.0	11.0	10.0	11.0	11.0	13.0	11.0	10.0	10.0	11.0	9.0	10.0	10.0	15.0	10.0	10.0	10.0	12.0	11.0	11.0	10.0	11.0	11.0	9.0	9.0	10.0	12.0	13.0	11.0	10.0	12.0	10.0	10.0	11.0	10.0	11.0	11.0	13.0	11.0	13.0	14.0	14.0	9.0	14.0	11.0	13.0	11.0	11.0	11.0	13.0	13.0	11.0	13.0	11.0	11.0	9.0	12.0	8.0	10.0	10.0	11.0	10.0	10.0	11.0	12.0	11.0	11.0	12.0	11.0	8.0	8.0	11.0	12.0	10.0	10.0	13.0	10.0	9.0	9.0	11.0	11.0	11.0	16.0	11.0	11.0	9.0	12.0	11.0	9.0	9.0	9.0	12.0	10.0	12.0	12.0	12.0	12.0	9.0	14.0	14.0	13.0	14.0	13.0	11.0
baeS	3000829	12.0	11.0	12.0	12.0	11.0	10.0	12.0	10.0	10.0	12.0	10.0	11.0	12.0	9.0	10.0	13.0	11.0	10.0	10.0	13.0	9.0	11.0	11.0	11.0	9.0	11.0	9.0	14.0	9.0	10.0	11.0	11.0	10.0	14.0	11.0	12.0	11.0	10.0	14.0	11.0	11.0	9.0	10.0	10.0	9.0	11.0	14.0	11.0	11.0	11.0	11.0	12.0	11.0	11.0	11.0	10.0	10.0	10.0	7.0	10.0	11.0	10.0	9.0	13.0	10.0	11.0	10.0	9.0	9.0	13.0	11.0	15.0	15.0	12.0	9.0	11.0	9.0	13.0	14.0	14.0	14.0	8.0	10.0	11.0	13.0	9.0	11.0	10.0	9.0	9.0	10.0	10.0	10.0	12.0	8.0	10.0	10.0	10.0	10.0	16.0	16.0	16.0	17.0	16.0	15.0	16.0
Brucella suis mprF	3003772	12.0	12.0	12.0	12.0	13.0	15.0	14.0	15.0	14.0	16.0	12.0	13.0	16.0	15.0	12.0	16.0	13.0	11.0	19.0	18.0	12.0	15.0	13.0	13.0	13.0	15.0	13.0	14.0	17.0	14.0	13.0	14.0	15.0	19.0	16.0	14.0	13.0	14.0	14.0	12.0	11.0	15.0	13.0	13.0	13.0	14.0	14.0	15.0	14.0	14.0	16.0	14.0	14.0	17.0	14.0	14.0	14.0	14.0	19.0	14.0	12.0	18.0	18.0	14.0	17.0	12.0	12.0	15.0	18.0	13.0	13.0	12.0	12.0	13.0	15.0	13.0	13.0	9.0	13.0	13.0	13.0	16.0	17.0	11.0	15.0	12.0	14.0	16.0	13.0	12.0	16.0	16.0	16.0	14.0	16.0	13.0	13.0	13.0	13.0	9.0	8.0	8.0	12.0	8.0	10.0	11.0
rpoB2	3000501	12.0	8.0	8.0	9.0	8.0	8.0	10.0	13.0	9.0	15.0	7.0	13.0	5.0	10.0	8.0	10.0	9.0	15.0	10.0	10.0	8.0	9.0	5.0	6.0	7.0	9.0	8.0	12.0	9.0	9.0	12.0	5.0	8.0	12.0	9.0	10.0	9.0	8.0	10.0	10.0	9.0	7.0	14.0	8.0	6.0	4.0	7.0	4.0	7.0	7.0	7.0	4.0	4.0	7.0	4.0	7.0	7.0	7.0	6.0	7.0	8.0	9.0	6.0	8.0	10.0	7.0	5.0	5.0	6.0	11.0	7.0	8.0	9.0	6.0	7.0	6.0	9.0	13.0	12.0	10.0	11.0	5.0	7.0	12.0	13.0	9.0	9.0	7.0	10.0	7.0	6.0	7.0	7.0	5.0	7.0	7.0	7.0	7.0	7.0	7.0	8.0	8.0	12.0	8.0	9.0	7.0
