	City	Taxon	1	2	3	4	5	6	7
NYC_Kl_2015_GCF_027584255	NYC	Kl	216.0	276.0	202.0	111.0	66.0	62.0	21.0
NYC_Kl_2015_GCF_027584275	NYC	Kl	217.0	286.0	214.0	113.0	68.0	62.0	25.0
NYC_Kl_2015_GCF_027584375	NYC	Kl	218.0	288.0	211.0	117.0	68.0	63.0	23.0
NYC_Kl_2015_GCF_027584385	NYC	Kl	216.0	280.0	208.0	110.0	65.0	66.0	25.0
NYC_Kl_2015_GCF_027584415	NYC	Kl	216.0	278.0	208.0	111.0	67.0	62.0	25.0
NYC_Kl_2015_GCF_027584435	NYC	Kl	209.0	275.0	212.0	110.0	68.0	62.0	21.0
NYC_Kl_2015_GCF_027584455	NYC	Kl	218.0	281.0	208.0	111.0	64.0	66.0	25.0
NYC_Kl_2015_GCF_027584485	NYC	Kl	217.0	279.0	206.0	111.0	65.0	62.0	24.0
NYC_Kl_2015_GCF_027584495	NYC	Kl	218.0	281.0	210.0	111.0	67.0	62.0	24.0
NYC_Kl_2015_GCF_027584535	NYC	Kl	216.0	278.0	208.0	111.0	67.0	62.0	25.0
NYC_Kl_2015_GCF_027584585	NYC	Kl	232.0	279.0	220.0	114.0	68.0	62.0	25.0
NYC_Kl_2015_GCF_027584695	NYC	Kl	215.0	276.0	207.0	111.0	66.0	62.0	21.0
NYC_Kl_2015_GCF_027585065	NYC	Kl	210.0	279.0	205.0	112.0	65.0	66.0	25.0
NYC_Kl_2015_GCF_027585115	NYC	Kl	209.0	278.0	204.0	112.0	64.0	66.0	25.0
NYC_Kl_2015_GCF_027585155	NYC	Kl	210.0	282.0	205.0	112.0	66.0	66.0	25.0
NYC_Kl_2015_GCF_027585165	NYC	Kl	209.0	278.0	204.0	112.0	64.0	66.0	23.0
NYC_Kl_2016_GCF_002833425	NYC	Kl	214.0	282.0	208.0	113.0	69.0	62.0	23.0
NYC_Kl_2016_GCF_002833445	NYC	Kl	146.0	143.0	128.0	60.0	36.0	27.0	18.0
NYC_Kl_2016_GCF_002833465	NYC	Kl	132.0	174.0	130.0	67.0	41.0	31.0	12.0
NYC_Kl_2016_GCF_002856235	NYC	Kl	416.0	474.0	341.0	161.0	101.0	69.0	78.0
NYC_Kl_2016_GCF_002856705	NYC	Kl	427.0	519.0	388.0	176.0	114.0	89.0	82.0
NYC_Kl_2016_GCF_002856765	NYC	Kl	498.0	566.0	402.0	190.0	117.0	88.0	97.0
NYC_Kl_2016_GCF_002857345	NYC	Kl	391.0	472.0	332.0	162.0	96.0	68.0	73.0
NYC_Kl_2017_GCF_002855815	NYC	Kl	416.0	518.0	363.0	172.0	108.0	80.0	82.0
NYC_Kl_2017_GCF_002855825	NYC	Kl	397.0	461.0	330.0	162.0	97.0	69.0	71.0
NYC_Kl_2017_GCF_002855915	NYC	Kl	422.0	507.0	351.0	170.0	103.0	79.0	92.0
NYC_Kl_2017_GCF_002855955	NYC	Kl	464.0	557.0	392.0	186.0	114.0	88.0	81.0
NYC_Kl_2017_GCF_002855985	NYC	Kl	423.0	514.0	358.0	170.0	108.0	78.0	81.0
NYC_Kl_2017_GCF_002856015	NYC	Kl	451.0	544.0	383.0	171.0	109.0	94.0	81.0
NYC_Kl_2017_GCF_002856025	NYC	Kl	398.0	464.0	336.0	161.0	98.0	69.0	70.0
NYC_Kl_2017_GCF_002856075	NYC	Kl	380.0	458.0	341.0	159.0	96.0	68.0	75.0
NYC_Kl_2017_GCF_002856155	NYC	Kl	415.0	483.0	339.0	168.0	99.0	71.0	74.0
NYC_Kl_2017_GCF_002856185	NYC	Kl	442.0	546.0	386.0	194.0	113.0	92.0	82.0
NYC_Kl_2017_GCF_002856315	NYC	Kl	425.0	521.0	378.0	162.0	106.0	76.0	76.0
NYC_Kl_2017_GCF_002856325	NYC	Kl	422.0	514.0	367.0	162.0	103.0	72.0	81.0
NYC_Kl_2017_GCF_002856385	NYC	Kl	449.0	550.0	386.0	191.0	120.0	92.0	78.0
NYC_Kl_2017_GCF_002856395	NYC	Kl	437.0	560.0	383.0	185.0	112.0	78.0	98.0
NYC_Kl_2017_GCF_002856415	NYC	Kl	455.0	518.0	369.0	178.0	107.0	79.0	83.0
NYC_Kl_2017_GCF_002856455	NYC	Kl	379.0	454.0	335.0	159.0	94.0	69.0	74.0
NYC_Kl_2017_GCF_002856535	NYC	Kl	438.0	518.0	374.0	186.0	119.0	78.0	87.0
NYC_Kl_2017_GCF_002856565	NYC	Kl	457.0	534.0	358.0	176.0	116.0	84.0	78.0
NYC_Kl_2017_GCF_002856575	NYC	Kl	417.0	496.0	343.0	167.0	102.0	74.0	78.0
NYC_Kl_2017_GCF_002856615	NYC	Kl	397.0	465.0	331.0	157.0	95.0	68.0	70.0
NYC_Kl_2017_GCF_002856635	NYC	Kl	391.0	480.0	343.0	159.0	98.0	71.0	77.0
NYC_Kl_2017_GCF_002856675	NYC	Kl	413.0	489.0	337.0	166.0	101.0	76.0	76.0
NYC_Kl_2017_GCF_002856885	NYC	Kl	469.0	554.0	383.0	194.0	119.0	89.0	87.0
NYC_Kl_2017_GCF_002856905	NYC	Kl	413.0	491.0	340.0	166.0	107.0	71.0	85.0
NYC_Kl_2017_GCF_002856915	NYC	Kl	419.0	489.0	345.0	179.0	100.0	77.0	81.0
NYC_Kl_2017_GCF_002856945	NYC	Kl	399.0	467.0	340.0	162.0	98.0	68.0	72.0
NYC_Kl_2017_GCF_002856995	NYC	Kl	429.0	540.0	349.0	176.0	105.0	84.0	89.0
NYC_Kl_2017_GCF_002857005	NYC	Kl	425.0	485.0	359.0	167.0	99.0	77.0	85.0
NYC_Kl_2017_GCF_002857035	NYC	Kl	439.0	528.0	362.0	176.0	103.0	79.0	92.0
NYC_Kl_2017_GCF_002857065	NYC	Kl	403.0	472.0	338.0	161.0	98.0	70.0	70.0
NYC_Kl_2017_GCF_002857085	NYC	Kl	394.0	470.0	337.0	162.0	100.0	68.0	73.0
NYC_Kl_2017_GCF_002857115	NYC	Kl	459.0	549.0	379.0	182.0	109.0	89.0	91.0
NYC_Kl_2017_GCF_002857125	NYC	Kl	438.0	510.0	353.0	179.0	99.0	76.0	88.0
NYC_Kl_2017_GCF_002857135	NYC	Kl	451.0	536.0	377.0	187.0	104.0	81.0	85.0
NYC_Kl_2017_GCF_002857205	NYC	Kl	386.0	456.0	334.0	159.0	97.0	69.0	70.0
NYC_Kl_2017_GCF_002857235	NYC	Kl	476.0	549.0	399.0	184.0	115.0	90.0	84.0
NYC_Kl_2017_GCF_002857315	NYC	Kl	436.0	524.0	356.0	175.0	100.0	82.0	83.0
SAN_Kl_2016_GCF_019928325	SAN	Kl	372.0	437.0	322.0	155.0	91.0	74.0	68.0
SAN_Kl_2017_GCF_019927925	SAN	Kl	381.0	446.0	324.0	153.0	95.0	68.0	62.0
SAN_Kl_2018_GCF_019927725	SAN	Kl	387.0	441.0	316.0	154.0	93.0	68.0	63.0
SAN_Kl_2018_GCF_019927885	SAN	Kl	394.0	451.0	322.0	156.0	94.0	68.0	67.0
