	City	Taxon	1.1.1	1.1.3	1.1.5	1.1.98	1.10.3	1.10.5	1.11.1	1.12.2	1.12.5	1.12.7	1.12.99	1.13.11	1.13.12	1.14.11	1.14.12	1.14.13	1.14.14	1.14.99	1.15.1	1.16.1	1.16.3	1.17.1	1.17.4	1.17.7	1.17.99	1.18.1	1.2.1	1.2.4	1.2.5	1.2.7	1.2.98	1.2.99	1.20.1	1.20.4	1.3.1	1.3.3	1.3.5	1.3.7	1.3.8	1.3.99	1.4.1	1.4.3	1.4.4	1.4.7	1.5.1	1.5.3	1.5.8	1.6.1	1.6.2	1.6.5	1.6.6	1.6.99	1.7.1	1.7.2	1.7.3	1.7.5	1.7.99	1.8.1	1.8.4	1.8.5	1.8.7	1.9.6	1.97.1	2.1.1	2.1.2	2.1.3	2.10.1	2.2.1	2.3.1	2.3.2	2.3.3	2.4.1	2.4.2	2.4.99	2.5.1	2.6.1	2.6.99	2.7.1	2.7.10	2.7.11	2.7.13	2.7.2	2.7.3	2.7.4	2.7.6	2.7.7	2.7.8	2.7.9	2.8.1	2.8.2	2.8.3	2.8.4	2.9.1	3.1.1	3.1.11	3.1.13	3.1.2	3.1.21	3.1.22	3.1.26	3.1.3	3.1.4	3.1.5	3.1.6	3.1.8	3.11.1	3.2.1	3.2.2	3.3.2	3.4.11	3.4.13	3.4.15	3.4.16	3.4.17	3.4.19	3.4.21	3.4.22	3.4.23	3.4.24	3.4.25	3.4.99	3.5.1	3.5.2	3.5.3	3.5.4	3.5.99	3.6.1	3.6.4	3.6.5	3.7.1	3.8.1	4.1.1	4.1.2	4.1.3	4.1.99	4.2.1	4.2.2	4.2.3	4.2.99	4.3.1	4.3.2	4.3.3	4.3.99	4.4.1	4.6.1	4.99.1	5.1.1	5.1.2	5.1.3	5.1.99	5.2.1	5.3.1	5.3.2	5.3.3	5.3.4	5.4.2	5.4.3	5.4.4	5.4.99	5.5.1	5.6.1	5.6.2	6.1.1	6.1.2	6.2.1	6.3.1	6.3.2	6.3.3	6.3.4	6.3.5	6.4.1	6.5.1	7.1.1	7.1.2	7.2.1	7.2.2	7.2.4	7.3.2	7.4.2	7.5.2	7.6.2
BAL_Kl_2015_GCF_003345715	BAL	Kl	109.0	2.0	1.0	1.0	1.0	1.0	13.0	0.0	0.0	1.0	0.0	6.0	1.0	4.0	2.0	4.0	5.0	1.0	2.0	0.0	5.0	4.0	4.0	2.0	0.0	4.0	94.0	6.0	1.0	1.0	0.0	0.0	0.0	3.0	13.0	2.0	5.0	0.0	0.0	6.0	7.0	3.0	1.0	1.0	18.0	1.0	0.0	2.0	0.0	7.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	11.0	4.0	1.0	2.0	0.0	3.0	50.0	5.0	3.0	1.0	15.0	56.0	3.0	5.0	11.0	23.0	1.0	37.0	35.0	2.0	60.0	1.0	2.0	12.0	12.0	3.0	12.0	3.0	67.0	5.0	2.0	14.0	0.0	4.0	0.0	1.0	13.0	7.0	2.0	4.0	7.0	1.0	8.0	23.0	10.0	6.0	1.0	1.0	1.0	43.0	17.0	1.0	10.0	3.0	1.0	5.0	2.0	3.0	15.0	0.0	2.0	2.0	2.0	1.0	32.0	9.0	11.0	12.0	3.0	33.0	17.0	11.0	4.0	0.0	27.0	22.0	9.0	3.0	45.0	7.0	6.0	3.0	13.0	3.0	1.0	1.0	11.0	3.0	1.0	8.0	0.0	10.0	1.0	7.0	21.0	0.0	5.0	2.0	9.0	1.0	2.0	18.0	3.0	2.0	9.0	24.0	0.0	6.0	4.0	13.0	3.0	9.0	4.0	5.0	1.0	4.0	2.0	2.0	13.0	1.0	1.0	8.0	11.0	9.0
BAL_Kl_2015_GCF_003345765	BAL	Kl	109.0	2.0	1.0	1.0	1.0	1.0	13.0	0.0	0.0	1.0	0.0	6.0	1.0	4.0	2.0	4.0	5.0	1.0	2.0	0.0	5.0	4.0	4.0	2.0	0.0	5.0	94.0	6.0	1.0	1.0	0.0	0.0	0.0	3.0	13.0	2.0	5.0	0.0	0.0	6.0	7.0	3.0	1.0	1.0	18.0	1.0	0.0	2.0	0.0	7.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	11.0	4.0	1.0	2.0	0.0	3.0	50.0	5.0	3.0	1.0	15.0	56.0	3.0	5.0	11.0	23.0	1.0	37.0	35.0	2.0	60.0	1.0	2.0	14.0	12.0	3.0	12.0	3.0	69.0	5.0	2.0	14.0	0.0	4.0	0.0	1.0	13.0	7.0	2.0	4.0	7.0	1.0	8.0	23.0	10.0	6.0	1.0	1.0	1.0	43.0	17.0	1.0	10.0	3.0	1.0	5.0	2.0	3.0	15.0	0.0	2.0	2.0	2.0	1.0	32.0	9.0	11.0	12.0	3.0	33.0	17.0	11.0	4.0	0.0	27.0	22.0	9.0	3.0	44.0	7.0	6.0	3.0	13.0	3.0	1.0	1.0	11.0	3.0	1.0	8.0	0.0	10.0	1.0	7.0	21.0	0.0	5.0	2.0	9.0	1.0	2.0	18.0	3.0	2.0	9.0	24.0	0.0	6.0	4.0	13.0	3.0	9.0	4.0	5.0	1.0	4.0	2.0	2.0	13.0	1.0	1.0	8.0	12.0	9.0
BAL_Kl_2017_GCF_003860845	BAL	Kl	61.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	1.0	3.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	35.0	3.0	4.0	10.0	16.0	1.0	24.0	23.0	2.0	36.0	1.0	1.0	1.0	6.0	1.0	11.0	3.0	28.0	3.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	6.0	1.0	3.0	4.0	1.0	5.0	20.0	8.0	1.0	1.0	0.0	1.0	23.0	15.0	1.0	7.0	4.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	21.0	6.0	6.0	11.0	2.0	18.0	7.0	3.0	3.0	0.0	22.0	13.0	8.0	3.0	32.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	8.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	2.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	6.0	1.0	2.0	2.0	3.0	4.0
BAL_Kl_2017_GCF_003860885	BAL	Kl	67.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	35.0	3.0	4.0	9.0	16.0	1.0	24.0	23.0	2.0	38.0	1.0	1.0	1.0	6.0	1.0	11.0	3.0	29.0	3.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	6.0	1.0	4.0	4.0	1.0	5.0	19.0	9.0	1.0	1.0	1.0	1.0	24.0	15.0	1.0	7.0	3.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	20.0	8.0	6.0	9.0	2.0	18.0	5.0	3.0	3.0	0.0	22.0	14.0	8.0	3.0	31.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	9.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	3.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	6.0	1.0	1.0	1.0	3.0	4.0
BAL_Kl_2017_GCF_003860895	BAL	Kl	62.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	34.0	3.0	4.0	10.0	16.0	1.0	24.0	23.0	2.0	38.0	1.0	1.0	1.0	6.0	1.0	11.0	3.0	24.0	4.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	4.0	1.0	3.0	4.0	1.0	5.0	19.0	8.0	1.0	1.0	1.0	1.0	24.0	15.0	1.0	7.0	4.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	21.0	6.0	6.0	9.0	2.0	18.0	4.0	3.0	3.0	0.0	22.0	14.0	7.0	3.0	32.0	3.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	8.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	14.0	3.0	2.0	2.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	6.0	1.0	1.0	1.0	3.0	3.0
BAL_Kl_2017_GCF_003860985	BAL	Kl	62.0	2.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	7.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	0.0	3.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	2.0	1.0	5.0	37.0	3.0	4.0	9.0	16.0	1.0	25.0	23.0	2.0	36.0	1.0	1.0	2.0	6.0	1.0	11.0	3.0	26.0	3.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	4.0	1.0	3.0	5.0	1.0	5.0	20.0	8.0	1.0	1.0	1.0	1.0	24.0	15.0	1.0	7.0	4.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	20.0	7.0	6.0	9.0	2.0	18.0	5.0	3.0	3.0	0.0	21.0	13.0	7.0	3.0	32.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	8.0	1.0	1.0	16.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	2.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	9.0	1.0	2.0	1.0	4.0	4.0
BAL_Kl_2017_GCF_003860995	BAL	Kl	64.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	1.0	3.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	11.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	36.0	3.0	4.0	9.0	16.0	1.0	24.0	23.0	2.0	38.0	1.0	1.0	2.0	6.0	1.0	11.0	3.0	30.0	3.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	9.0	1.0	3.0	5.0	1.0	5.0	20.0	8.0	1.0	1.0	1.0	1.0	25.0	15.0	1.0	7.0	3.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	20.0	9.0	6.0	9.0	2.0	18.0	5.0	3.0	3.0	0.0	22.0	14.0	8.0	3.0	31.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	9.0	1.0	1.0	15.0	0.0	4.0	2.0	7.0	1.0	1.0	15.0	3.0	2.0	5.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	8.0	1.0	2.0	2.0	3.0	4.0
BAL_Kl_2017_GCF_003861035	BAL	Kl	65.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	36.0	3.0	4.0	9.0	16.0	1.0	25.0	23.0	2.0	38.0	0.0	1.0	1.0	6.0	1.0	11.0	3.0	29.0	4.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	6.0	1.0	3.0	5.0	1.0	5.0	18.0	8.0	1.0	1.0	1.0	1.0	24.0	15.0	1.0	7.0	3.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	20.0	7.0	6.0	10.0	2.0	18.0	5.0	3.0	3.0	0.0	22.0	14.0	8.0	3.0	31.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	9.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	4.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	2.0	1.0	7.0	1.0	1.0	2.0	3.0	4.0
BAL_Kl_2017_GCF_003861085	BAL	Kl	62.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	7.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	2.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	0.0	3.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	8.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	34.0	3.0	4.0	10.0	16.0	1.0	25.0	23.0	2.0	36.0	1.0	1.0	2.0	6.0	1.0	11.0	3.0	29.0	3.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	6.0	1.0	3.0	6.0	1.0	6.0	20.0	8.0	1.0	1.0	1.0	1.0	25.0	14.0	1.0	7.0	4.0	1.0	1.0	2.0	3.0	9.0	0.0	3.0	2.0	3.0	1.0	21.0	8.0	7.0	9.0	2.0	18.0	5.0	3.0	3.0	0.0	22.0	13.0	8.0	3.0	32.0	2.0	6.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	5.0	0.0	8.0	1.0	1.0	16.0	0.0	5.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	2.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	10.0	1.0	2.0	2.0	5.0	4.0
BAL_Kl_2017_GCF_003861135	BAL	Kl	64.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	1.0	3.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	1.0	3.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	11.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	36.0	3.0	4.0	9.0	16.0	1.0	24.0	23.0	2.0	39.0	1.0	1.0	2.0	6.0	1.0	11.0	3.0	30.0	3.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	7.0	1.0	3.0	4.0	1.0	5.0	20.0	8.0	1.0	1.0	1.0	1.0	25.0	15.0	1.0	7.0	3.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	20.0	8.0	6.0	9.0	2.0	18.0	6.0	3.0	3.0	0.0	22.0	14.0	8.0	3.0	31.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	9.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	3.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	8.0	1.0	2.0	1.0	3.0	4.0
BAL_Kl_2017_GCF_003861255	BAL	Kl	61.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	7.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	0.0	0.0	0.0	0.0	3.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	2.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	41.0	5.0	3.0	1.0	5.0	35.0	3.0	4.0	10.0	16.0	1.0	25.0	23.0	2.0	37.0	1.0	1.0	2.0	6.0	1.0	11.0	3.0	26.0	4.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	5.0	1.0	3.0	5.0	1.0	5.0	20.0	8.0	1.0	1.0	1.0	1.0	24.0	15.0	1.0	7.0	4.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	21.0	7.0	6.0	9.0	2.0	18.0	5.0	3.0	3.0	0.0	22.0	14.0	8.0	3.0	31.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	8.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	2.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	8.0	1.0	2.0	1.0	3.0	3.0
BAL_Kl_2017_GCF_003861365	BAL	Kl	65.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	2.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	34.0	3.0	4.0	9.0	16.0	1.0	24.0	22.0	2.0	35.0	1.0	1.0	1.0	6.0	1.0	11.0	3.0	24.0	3.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	4.0	1.0	3.0	4.0	1.0	5.0	19.0	8.0	1.0	1.0	1.0	1.0	23.0	15.0	1.0	7.0	3.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	20.0	6.0	6.0	9.0	2.0	18.0	5.0	3.0	3.0	0.0	22.0	13.0	7.0	3.0	32.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	9.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	14.0	3.0	2.0	2.0	21.0	0.0	6.0	4.0	11.0	2.0	8.0	4.0	4.0	1.0	3.0	1.0	1.0	6.0	1.0	1.0	1.0	3.0	4.0
BAL_Kl_2017_GCF_003861425	BAL	Kl	60.0	1.0	1.0	1.0	1.0	1.0	6.0	0.0	0.0	1.0	0.0	7.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	2.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	0.0	3.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	36.0	3.0	4.0	10.0	16.0	1.0	25.0	23.0	2.0	38.0	1.0	1.0	2.0	6.0	1.0	11.0	3.0	26.0	4.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	4.0	1.0	3.0	6.0	1.0	6.0	20.0	8.0	1.0	1.0	1.0	1.0	23.0	15.0	1.0	7.0	4.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	21.0	7.0	6.0	9.0	2.0	18.0	5.0	3.0	3.0	0.0	22.0	14.0	8.0	3.0	32.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	8.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	2.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	8.0	1.0	1.0	1.0	3.0	3.0
BAL_Kl_2017_GCF_003861435	BAL	Kl	67.0	2.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	1.0	3.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	36.0	3.0	4.0	9.0	16.0	1.0	25.0	23.0	2.0	38.0	1.0	1.0	2.0	6.0	1.0	11.0	3.0	30.0	3.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	7.0	1.0	4.0	5.0	1.0	5.0	20.0	8.0	1.0	1.0	1.0	1.0	24.0	15.0	1.0	7.0	3.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	20.0	7.0	6.0	10.0	2.0	18.0	6.0	3.0	3.0	0.0	22.0	15.0	8.0	3.0	32.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	9.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	2.0	3.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	9.0	1.0	2.0	2.0	4.0	5.0
BAL_Kl_2017_GCF_003861475	BAL	Kl	63.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0	26.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	12.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	11.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	0.0	2.0	41.0	5.0	3.0	1.0	5.0	36.0	3.0	4.0	10.0	16.0	1.0	25.0	23.0	2.0	39.0	1.0	1.0	2.0	6.0	1.0	11.0	3.0	27.0	4.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	4.0	1.0	3.0	5.0	1.0	5.0	19.0	9.0	1.0	1.0	1.0	1.0	24.0	15.0	1.0	7.0	4.0	1.0	1.0	2.0	3.0	8.0	0.0	2.0	2.0	2.0	1.0	20.0	7.0	6.0	9.0	2.0	18.0	7.0	3.0	3.0	0.0	22.0	14.0	7.0	3.0	32.0	3.0	5.0	2.0	9.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	9.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	15.0	3.0	3.0	2.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	6.0	1.0	1.0	1.0	3.0	3.0
BAL_Kl_2017_GCF_003861575	BAL	Kl	63.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	2.0	4.0	3.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0	27.0	3.0	1.0	1.0	0.0	0.0	0.0	3.0	13.0	2.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	10.0	1.0	0.0	2.0	0.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	8.0	4.0	1.0	1.0	0.0	2.0	40.0	5.0	3.0	1.0	5.0	34.0	3.0	4.0	10.0	16.0	1.0	24.0	23.0	2.0	38.0	1.0	1.0	1.0	6.0	1.0	11.0	3.0	25.0	3.0	2.0	8.0	0.0	2.0	0.0	1.0	8.0	4.0	1.0	3.0	4.0	1.0	5.0	19.0	8.0	1.0	1.0	1.0	1.0	25.0	15.0	1.0	7.0	4.0	1.0	1.0	2.0	3.0	9.0	0.0	2.0	2.0	2.0	1.0	21.0	6.0	6.0	10.0	2.0	18.0	4.0	3.0	3.0	0.0	22.0	14.0	8.0	3.0	31.0	2.0	5.0	2.0	8.0	3.0	1.0	1.0	7.0	3.0	1.0	4.0	0.0	8.0	1.0	1.0	15.0	0.0	4.0	1.0	7.0	1.0	1.0	14.0	3.0	3.0	2.0	21.0	0.0	6.0	4.0	11.0	2.0	9.0	4.0	4.0	1.0	3.0	1.0	1.0	6.0	1.0	1.0	2.0	3.0	4.0
MIN_Es_2017_GCF_013423565	MIN	Es	94.0	1.0	1.0	1.0	1.0	0.0	9.0	2.0	2.0	4.0	2.0	1.0	0.0	3.0	4.0	1.0	2.0	1.0	2.0	0.0	5.0	5.0	3.0	3.0	0.0	3.0	74.0	3.0	2.0	1.0	0.0	1.0	0.0	3.0	12.0	1.0	4.0	1.0	0.0	6.0	6.0	3.0	1.0	1.0	17.0	1.0	1.0	2.0	0.0	6.0	3.0	2.0	3.0	2.0	0.0	2.0	2.0	10.0	4.0	1.0	1.0	1.0	2.0	43.0	5.0	2.0	1.0	9.0	50.0	3.0	7.0	10.0	21.0	1.0	35.0	28.0	2.0	54.0	2.0	3.0	14.0	13.0	5.0	11.0	3.0	68.0	4.0	2.0	14.0	1.0	5.0	0.0	0.0	10.0	9.0	2.0	5.0	4.0	2.0	8.0	24.0	9.0	3.0	0.0	0.0	0.0	32.0	17.0	1.0	10.0	5.0	1.0	5.0	1.0	3.0	16.0	1.0	3.0	3.0	2.0	1.0	27.0	8.0	6.0	9.0	1.0	30.0	20.0	7.0	4.0	0.0	23.0	26.0	10.0	5.0	49.0	6.0	6.0	4.0	12.0	4.0	1.0	1.0	8.0	3.0	0.0	6.0	0.0	14.0	0.0	6.0	22.0	1.0	4.0	4.0	8.0	1.0	2.0	17.0	0.0	2.0	9.0	23.0	0.0	6.0	4.0	13.0	3.0	9.0	3.0	5.0	2.0	5.0	3.0	1.0	9.0	0.0	1.0	9.0	8.0	8.0
