"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"21",565,"NYC16_vs_SAO17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
"22",566,"DOH16_vs_SAO17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
"23",566,"DOH16_vs_TOK17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
"24",566,"NYC16_vs_SAO17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
"25",569,"AKL16_vs_LIS16","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia"
"26",833,"DOH16_vs_ILR16","AB_Class",3,"Bacteria","Fibrobacterota","Fibrobacteria",NA,NA,NA
"27",833,"ILR16_vs_DOH17","AB_Class",3,"Bacteria","Fibrobacterota","Fibrobacteria",NA,NA,NA
"28",833,"ILR16_vs_SAO17","AB_Class",3,"Bacteria","Fibrobacterota","Fibrobacteria",NA,NA,NA
"29",833,"BER16_vs_DOH17","AB_Genus",3,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"30",940,"SAC16_vs_TOK16","AB_Genus",3,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter"
"31",948,"BAL17_vs_DOH17","AB_Genus",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
"32",948,"BAL17_vs_MIN17","AB_Genus",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
"33",948,"BOG16_vs_BAL17","AB_Genus",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
"34",948,"NYC16_vs_BAL17","AB_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
"35",948,"TOK16_vs_BAL17","AB_Genus",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
"36",959,"BER16_vs_LIS16","AB_Phylum",2,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"37",959,"BOG16_vs_LIS16","AB_Phylum",3,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"38",959,"DEN16_vs_LIS16","AB_Phylum",2,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"39",959,"DOH16_vs_LIS16","AB_Phylum",2,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"40",959,"LIS16_vs_DOH17","AB_Phylum",3,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"41",959,"LIS16_vs_NYC16","AB_Phylum",2,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"42",959,"LIS16_vs_NYC17","AB_Phylum",3,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"43",959,"LIS16_vs_TOK16","AB_Phylum",2,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"44",959,"LIS16_vs_ZRH17","AB_Phylum",3,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
"45",1126,"DEN16_vs_DOH17","AB_Family",1,"Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales","Microcystaceae",NA
"46",1382,"DEN17_vs_SAN17","AB_Genus",1,"Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella"
"47",1382,"DOH16_vs_DEN17","AB_Genus",1,"Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella"
"48",1398,"DEN17_vs_SAO17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Weizmannia"
"49",1490,"BER16_vs_DEN17","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Paraclostridium"
"50",1490,"BER16_vs_VIE17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Paraclostridium"
"51",1511,"MIN17_vs_NYC17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Acetoanaerobium"
"52",1511,"NYC16_vs_NYC17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Acetoanaerobium"
"53",1603,"BER16_vs_MIN17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"54",1603,"BOG16_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"55",1603,"DOH17_vs_MIN17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"56",1603,"ILR17_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"57",1603,"MIN17_vs_NYC17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"58",1603,"MIN17_vs_ZRH17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"59",1603,"NYC16_vs_MIN17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"60",1603,"NYC16_vs_TOK16","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"61",1603,"SAC16_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"62",1603,"TOK16_vs_MIN17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"63",1754,"ILR16_vs_LIS16","AB_Order",1,"Bacteria","Bacillota","Clostridia","Thermoanaerobacterales",NA,NA
"64",2051,"DOH17_vs_NYC17","AB_Genus",2,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Mobiluncus"
"65",2057,"AKL16_vs_BOG16","AB_Phylum",1,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"66",2057,"AKL16_vs_ILR17","AB_Phylum",1,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"67",2057,"AKL16_vs_MIN17","AB_Phylum",1,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"68",2057,"AKL16_vs_SAC16","AB_Phylum",1,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"69",2057,"AKL16_vs_SAN17","AB_Phylum",1,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"70",2057,"LIS16_vs_DEN17","AB_Phylum",2,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"71",2057,"LIS16_vs_ILR17","AB_Phylum",2,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"72",2057,"LIS16_vs_MIN17","AB_Phylum",2,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"73",2057,"LIS16_vs_SAC16","AB_Phylum",2,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"74",2057,"LIS16_vs_SAN17","AB_Phylum",2,"Bacteria","Thermomicrobiota",NA,NA,NA,NA
"75",2057,"AKL16_vs_DEN17","AB_Class",3,"Bacteria","Thermomicrobiota","Thermomicrobia",NA,NA,NA
"76",2057,"AKL16_vs_VIE17","AB_Class",2,"Bacteria","Thermomicrobiota","Thermomicrobia",NA,NA,NA
"77",2098,"BOG16_vs_ILR17","AB_Order",3,"Bacteria","Mycoplasmatota","","Mycoplasmoidales",NA,NA
"78",2098,"DEN16_vs_ILR17","AB_Order",2,"Bacteria","Mycoplasmatota","","Mycoplasmoidales",NA,NA
"79",2098,"DEN16_vs_ZRH17","AB_Order",3,"Bacteria","Mycoplasmatota","","Mycoplasmoidales",NA,NA
"80",2098,"DEN17_vs_ILR17","AB_Order",2,"Bacteria","Mycoplasmatota","","Mycoplasmoidales",NA,NA
"81",2098,"DOH16_vs_ILR17","AB_Order",3,"Bacteria","Mycoplasmatota","","Mycoplasmoidales",NA,NA
"82",2098,"NYC16_vs_ILR17","AB_Order",1,"Bacteria","Mycoplasmatota","","Mycoplasmoidales",NA,NA
"83",2098,"TOK16_vs_ILR17","AB_Order",1,"Bacteria","Mycoplasmatota","","Mycoplasmoidales",NA,NA
"84",2098,"TOK16_vs_ZRH17","AB_Family",2,"Bacteria","Mycoplasmatota","","Mycoplasmoidales","Metamycoplasmataceae",NA
"85",2098,"DEN17_vs_DOH17","AB_Genus",3,"Bacteria","Mycoplasmatota","","Mycoplasmoidales","Metamycoplasmataceae","Metamycoplasma"
"86",2098,"TOK16_vs_DOH17","AB_Genus",3,"Bacteria","Mycoplasmatota","","Mycoplasmoidales","Metamycoplasmataceae","Metamycoplasma"
"87",2173,"AKL16_vs_DOH16","AB_Class",3,"Archaea","Euryarchaeota","Methanobacteria",NA,NA,NA
"88",2173,"AKL16_vs_DOH17","AB_Class",3,"Archaea","Euryarchaeota","Methanobacteria",NA,NA,NA
"89",2180,"BOG16_vs_TOK16","AB_Genus",2,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanothermaceae","Methanothermus"
"90",2371,"BER16_vs_ILR17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xylella"
"91",2718,"AKL16_vs_NYC17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales",NA,NA
"92",2756,"BER16_vs_SAN17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Bacillales","Listeriaceae","Brochothrix"
"93",2756,"BOG16_vs_SAN17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Bacillales","Listeriaceae","Brochothrix"
"94",2756,"SAN17_vs_ZRH17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Bacillales","Listeriaceae","Brochothrix"
"95",28198,"BER16_vs_ZRH17","AB_Genus",2,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Arcobacteraceae","Aliarcobacter"
"96",28198,"BOG16_vs_ZRH17","AB_Genus",3,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Arcobacteraceae","Aliarcobacter"
"97",28198,"NYC16_vs_ZRH17","AB_Genus",1,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Arcobacteraceae","Aliarcobacter"
"98",28198,"NYC17_vs_ZRH17","AB_Genus",3,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Arcobacteraceae","Aliarcobacter"
"99",28446,"BER16_vs_NYC16","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
"100",28446,"NYC16_vs_BAL17","AB_Genus",2,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
"101",28446,"NYC16_vs_DEN17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
"102",28446,"NYC16_vs_DOH17","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
"103",28446,"NYC16_vs_ILR17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
"104",28446,"NYC16_vs_NYC17","AB_Genus",2,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
"105",28446,"NYC16_vs_ZRH17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
"106",29370,"DEN16_vs_DOH16","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora"
"107",29394,"BAL17_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"108",29394,"BER16_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"109",29394,"BOG16_vs_MIN17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"110",29394,"DEN17_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"111",29394,"DOH16_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"112",29394,"DOH17_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"113",29394,"ILR17_vs_MIN17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"114",29394,"MIN17_vs_NYC17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"115",29394,"MIN17_vs_VIE17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"116",29394,"MIN17_vs_ZRH17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"117",29394,"NYC16_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"118",29394,"TOK16_vs_MIN17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"119",29552,"DEN16_vs_ZRH17","AB_Order",2,"Bacteria","Mycoplasmatota","Mollicutes","Acholeplasmatales",NA,NA
"120",33059,"LIS16_vs_SAO17","AB_Class",2,"Bacteria","Pseudomonadota","Acidithiobacillia",NA,NA,NA
"121",35786,"BOG16_vs_TOK16","AB_Phylum",3,"Bacteria","Coprothermobacterota",NA,NA,NA,NA
"122",35841,"DEN17_vs_SAO17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Caldibacillus"
"123",35841,"DOH17_vs_SAO17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Caldibacillus"
"124",35841,"NYC17_vs_SAO17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Caldibacillus"
"125",35841,"SAN17_vs_SAO17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Caldibacillus"
"126",35841,"SAO17_vs_VIE17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Caldibacillus"
"127",35841,"SAO17_vs_ZRH17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Caldibacillus"
"128",36863,"DEN16_vs_MIN17","AB_Genus",3,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Ideonella"
"129",39152,"DEN17_vs_VIE17","AB_Class",3,"Archaea","Euryarchaeota","Methanococci",NA,NA,NA
"130",39152,"DEN16_vs_VIE17","AB_Order",2,"Archaea","Euryarchaeota","Methanococci","Methanococcales",NA,NA
"131",39485,"DEN17_vs_MIN17","AB_Genus",2,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira"
"132",39488,"BAL17_vs_VIE17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum"
"133",42253,"AKL16_vs_BER16","AB_Phylum",3,"Bacteria","Nitrospirota",NA,NA,NA,NA
"134",42253,"AKL16_vs_BOG16","AB_Phylum",2,"Bacteria","Nitrospirota",NA,NA,NA,NA
"135",42253,"AKL16_vs_ILR17","AB_Phylum",2,"Bacteria","Nitrospirota",NA,NA,NA,NA
"136",42253,"AKL16_vs_MIN17","AB_Phylum",2,"Bacteria","Nitrospirota",NA,NA,NA,NA
"137",42253,"AKL16_vs_SAC16","AB_Phylum",3,"Bacteria","Nitrospirota",NA,NA,NA,NA
"138",42253,"AKL16_vs_SAN17","AB_Phylum",2,"Bacteria","Nitrospirota",NA,NA,NA,NA
"139",42253,"AKL16_vs_TOK16","AB_Phylum",3,"Bacteria","Nitrospirota",NA,NA,NA,NA
"140",45851,"DEN17_vs_SAO17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio"
"141",45851,"MIN17_vs_SAO17","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio"
"142",45851,"SAN17_vs_SAO17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio"
"143",46125,"DEN17_vs_TOK17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia"
"144",46507,"TOK16_vs_SAN17","AB_Genus",1,"Bacteria","Bacillota","Tissierellia","","","Ezakiella"
"145",47960,"ILR16_vs_BAL17","AB_Family",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Thioalkalibacteraceae",NA
"146",55206,"BER16_vs_DEN17","AB_Genus",2,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sediminispirochaeta"
"147",56636,"BER16_vs_TOK16","AB_Genus",2,"Archaea","Thermoproteota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Aeropyrum"
"148",76853,"BER16_vs_VIE17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Solibacillus"
"149",76853,"DOH16_vs_VIE17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Solibacillus"
"150",76853,"SAC16_vs_VIE17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Solibacillus"
"151",82135,"BAL17_vs_SAN17","AB_Genus",1,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Fannyhessea"
"152",82135,"SAN17_vs_VIE17","AB_Genus",3,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Fannyhessea"
"153",82135,"TOK16_vs_SAN17","AB_Genus",2,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Fannyhessea"
"154",82987,"DEN17_vs_ZRH17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella"
"155",83984,"BOG16_vs_NYC16","AB_Genus",1,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum"
"156",84032,"DEN16_vs_DEN17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoclostridium"
"157",86106,"DEN16_vs_DEN17","AB_Family",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae",NA
"158",86106,"DEN16_vs_ILR17","AB_Family",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae",NA
"159",86106,"DEN16_vs_NYC17","AB_Family",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae",NA
"160",86106,"DEN16_vs_TOK17","AB_Family",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae",NA
"161",88431,"DOH17_vs_SAO17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Dorea"
"162",89152,"BOG16_vs_ILR17","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter"
"163",89152,"BOG16_vs_NYC17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter"
"164",89152,"BOG16_vs_SAC16","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter"
"165",89152,"BOG16_vs_ZRH17","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter"
"166",89152,"ILR17_vs_SAN17","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter"
"167",89152,"NYC16_vs_SAC16","AB_Genus",2,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter"
"168",89586,"BOG16_vs_NYC16","AB_Genus",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Candidatus Neoehrlichia"
"169",92245,"DEN16_vs_DOH17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Thiomicrospira"
"170",100886,"BOG16_vs_SAO17","AB_Family",2,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae",NA
"171",100886,"ILR17_vs_SAO17","AB_Family",1,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae",NA
"172",100886,"NYC17_vs_SAO17","AB_Family",1,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae",NA
"173",100886,"SAO17_vs_TOK17","AB_Family",1,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae",NA
"174",100886,"BOG16_vs_MIN17","AB_Genus",3,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium"
"175",100886,"MIN17_vs_SAN17","AB_Genus",3,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium"
"176",100886,"NYC16_vs_MIN17","AB_Genus",3,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium"
"177",100886,"SAC16_vs_MIN17","AB_Genus",3,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium"
"178",117157,"MIN17_vs_TOK17","AB_Family",2,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Actinopolymorphaceae",NA
"179",117157,"SAC16_vs_TOK17","AB_Family",1,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Actinopolymorphaceae",NA
"180",117157,"SAN17_vs_TOK17","AB_Family",1,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Actinopolymorphaceae",NA
"181",119532,"BER16_vs_SAO17","AB_Family",1,"Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Microcoleaceae",NA
"182",119532,"BOG16_vs_SAO17","AB_Family",3,"Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Microcoleaceae",NA
"183",119532,"TOK16_vs_SAO17","AB_Family",3,"Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Microcoleaceae",NA
"184",121719,"ILR17_vs_TOK17","AB_Genus",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Pannonibacter"
"185",129985,"DOH16_vs_SAN17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Mesobacillus"
"186",129985,"DOH16_vs_ZRH17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Mesobacillus"
"187",129985,"ILR17_vs_ZRH17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Mesobacillus"
"188",137591,"SAO17_vs_ZRH17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella"
"189",138072,"BOG16_vs_BAL17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Candidatus Hamiltonella"
"190",138072,"BOG16_vs_DEN17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Candidatus Hamiltonella"
"191",138072,"BOG16_vs_DOH16","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Candidatus Hamiltonella"
"192",138072,"BOG16_vs_DOH17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Candidatus Hamiltonella"
"193",138072,"BOG16_vs_NYC17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Candidatus Hamiltonella"
