gene	species
tssj	escherichia coli
tssl	escherichia coli
tssm	escherichia coli
uhpt	enterobacter hormaechei
uhpt	escherichia coli
uhpt	klebsiella pneumoniae
vactox	escherichia coli
vase-tssk	klebsiella pneumoniae
vga(c)	enterobacter hormaechei
vga(c)	escherichia coli
vga(c)	klebsiella pneumoniae
vgrg-tssi	escherichia coli
vgrg-tssi	klebsiella pneumoniae
vipa-tssb	enterobacter hormaechei
vipa-tssb	klebsiella pneumoniae
vipb-tssc	enterobacter hormaechei
vipb-tssc	klebsiella pneumoniae
virb	enterobacter hormaechei
virb	klebsiella pneumoniae
wbbm	klebsiella pneumoniae
wbbn	klebsiella pneumoniae
wbbo	klebsiella pneumoniae
wcag	klebsiella pneumoniae
wcah	klebsiella pneumoniae
wcai	escherichia coli
wcai	klebsiella pneumoniae
wcaj	escherichia coli
wcaj	klebsiella pneumoniae
wcly	klebsiella pneumoniae
wcss	klebsiella pneumoniae
wcst	klebsiella pneumoniae
wza	escherichia coli
wza	klebsiella pneumoniae
wzb	klebsiella pneumoniae
wzc	klebsiella pneumoniae
wzi	escherichia coli
wzi	klebsiella pneumoniae
wzm	klebsiella pneumoniae
wzt	klebsiella pneumoniae
wzx	klebsiella pneumoniae
yagw-ecpd	escherichia coli
yagw-ecpd	klebsiella pneumoniae
yagx-ecpc	escherichia coli
yagx-ecpc	klebsiella pneumoniae
yagy-ecpb	escherichia coli
yagy-ecpb	klebsiella pneumoniae
yagz-ecpa	escherichia coli
yagz-ecpa	klebsiella pneumoniae
ybda	klebsiella pneumoniae
ybta	escherichia coli
ybta	klebsiella pneumoniae
ybte	escherichia coli
ybte	klebsiella pneumoniae
ybtq	escherichia coli
ybtq	klebsiella pneumoniae
ybts	escherichia coli
ybts	klebsiella pneumoniae
ybtt	escherichia coli
ybtt	klebsiella pneumoniae
ybtu	klebsiella pneumoniae
ybtx	klebsiella pneumoniae
yhei	escherichia coli
ykgk-ecpr	escherichia coli
