Sample	City	Taxon	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	CMP-legionaminate biosynthesis I
NYC_En_2016_GCF_029069745.1	NYC	En	0.0	5.857142857142857
NYC_Es_2015_GCF_027584315.1	NYC	Es	1.0	5.125
NYC_Es_2015_GCF_027584335.1	NYC	Es	0.0	5.285714285714286
NYC_Es_2016_GCF_002214205.1	NYC	Es	0.0	5.428571428571429
NYC_Es_2018_GCF_022569415.1	NYC	Es	0.0	5.142857142857143
NYC_Es_2018_GCF_022812305.1	NYC	Es	0.0	5.142857142857143
NYC_Es_2018_GCF_022812315.1	NYC	Es	0.0	5.142857142857143
NYC_Kl_2015_GCF_027584255.1	NYC	Kl	0.0	6.428571428571429
NYC_Kl_2015_GCF_027584275.1	NYC	Kl	0.0	6.571428571428571
NYC_Kl_2015_GCF_027584375.1	NYC	Kl	0.0	6.285714285714286
NYC_Kl_2015_GCF_027584385.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2015_GCF_027584415.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2015_GCF_027584435.1	NYC	Kl	0.0	6.285714285714286
NYC_Kl_2015_GCF_027584455.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2015_GCF_027584485.1	NYC	Kl	0.0	6.714285714285714
NYC_Kl_2015_GCF_027584495.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2015_GCF_027584535.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2015_GCF_027584585.1	NYC	Kl	0.0	5.857142857142857
NYC_Kl_2015_GCF_027584695.1	NYC	Kl	0.0	5.857142857142857
NYC_Kl_2015_GCF_027585065.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2015_GCF_027585115.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2015_GCF_027585155.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2015_GCF_027585165.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2016_GCF_002833425.1	NYC	Kl	0.0	6.714285714285714
NYC_Kl_2016_GCF_002833445.1	NYC	Kl	0.0	6.714285714285714
NYC_Kl_2016_GCF_002833465.1	NYC	Kl	0.0	6.714285714285714
NYC_Kl_2016_GCF_002856235.1	NYC	Kl	0.0	5.714285714285714
NYC_Kl_2016_GCF_002856705.1	NYC	Kl	0.0	6.0
NYC_Kl_2016_GCF_002856765.1	NYC	Kl	0.0	6.0
NYC_Kl_2016_GCF_002857345.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2017_GCF_002855815.1	NYC	Kl	0.0	5.571428571428571
NYC_Kl_2017_GCF_002855825.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002855915.1	NYC	Kl	0.0	5.714285714285714
NYC_Kl_2017_GCF_002855955.1	NYC	Kl	0.0	5.571428571428571
NYC_Kl_2017_GCF_002855985.1	NYC	Kl	0.0	5.428571428571429
NYC_Kl_2017_GCF_002856015.1	NYC	Kl	0.0	5.714285714285714
NYC_Kl_2017_GCF_002856025.1	NYC	Kl	0.0	5.857142857142857
NYC_Kl_2017_GCF_002856075.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002856155.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002856185.1	NYC	Kl	0.0	5.571428571428571
NYC_Kl_2017_GCF_002856315.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002856325.1	NYC	Kl	0.0	6.166666666666667
NYC_Kl_2017_GCF_002856385.1	NYC	Kl	0.0	4.857142857142857
NYC_Kl_2017_GCF_002856395.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2017_GCF_002856415.1	NYC	Kl	0.0	5.571428571428571
NYC_Kl_2017_GCF_002856455.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002856535.1	NYC	Kl	0.0	5.714285714285714
NYC_Kl_2017_GCF_002856565.1	NYC	Kl	0.0	5.714285714285714
NYC_Kl_2017_GCF_002856575.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2017_GCF_002856615.1	NYC	Kl	0.0	5.714285714285714
NYC_Kl_2017_GCF_002856635.1	NYC	Kl	0.0	6.142857142857143
NYC_Kl_2017_GCF_002856675.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002856885.1	NYC	Kl	0.0	5.571428571428571
NYC_Kl_2017_GCF_002856905.1	NYC	Kl	0.0	5.714285714285714
NYC_Kl_2017_GCF_002856915.1	NYC	Kl	0.0	5.714285714285714
NYC_Kl_2017_GCF_002856945.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002856995.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002857005.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002857035.1	NYC	Kl	0.0	5.857142857142857
NYC_Kl_2017_GCF_002857065.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002857085.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002857115.1	NYC	Kl	0.0	5.428571428571429
NYC_Kl_2017_GCF_002857125.1	NYC	Kl	0.0	5.714285714285714
NYC_Kl_2017_GCF_002857135.1	NYC	Kl	0.0	5.857142857142857
NYC_Kl_2017_GCF_002857205.1	NYC	Kl	0.0	6.0
NYC_Kl_2017_GCF_002857235.1	NYC	Kl	0.0	5.285714285714286
NYC_Kl_2017_GCF_002857315.1	NYC	Kl	0.0	6.142857142857143
SAN_Kl_2016_GCF_019928325.1	SAN	Kl	0.0	6.857142857142857
SAN_Kl_2017_GCF_019927925.1	SAN	Kl	0.0	6.285714285714286
SAN_Kl_2018_GCF_019927725.1	SAN	Kl	0.0	6.285714285714286
SAN_Kl_2018_GCF_019927885.1	SAN	Kl	0.0	6.285714285714286
