"","Observed","Chao1","se.chao1","Shannon"
"CAMDA23_MetaSUB_gCSD16_DOH_4",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_DOH_5",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_DOH_6",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_DOH_8",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_DOH_9",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_ILR_10",5,11,7.01297498796468,1.47507631105469
"CAMDA23_MetaSUB_gCSD16_ILR_11",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD16_ILR_12",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_ILR_13",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_ILR_14",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD16_ILR_15",7,28,17.1846588560844,1.94591014905531
"CAMDA23_MetaSUB_gCSD16_ILR_16",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD16_ILR_1",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD16_ILR_2",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD16_ILR_3",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_ILR_4",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_ILR_5",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD16_ILR_6",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_ILR_7",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD16_ILR_9",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_LIS_11",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_12",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_13",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_14",5,6,1.78600526729761,1.5498260458782
"CAMDA23_MetaSUB_gCSD16_LIS_15",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_16",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_1",1,1,0,0
"CAMDA23_MetaSUB_gCSD16_LIS_2",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_3",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_4",9,19.5,10.4636121624982,2.09472904752765
"CAMDA23_MetaSUB_gCSD16_LIS_5",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_6",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_8",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_LIS_9",0,0,NA,0
"CAMDA23_MetaSUB_gCSD16_NYC_10",28,41.75,11.1553287476687,3.07038469289566
"CAMDA23_MetaSUB_gCSD16_NYC_11",3,3,0,0.744129541411298
"CAMDA23_MetaSUB_gCSD16_NYC_12",11,14.3333333333333,4.09740014066468,2.17494235218351
"CAMDA23_MetaSUB_gCSD16_NYC_13",13,35.5,19.2187875729622,0.593769454186605
"CAMDA23_MetaSUB_gCSD16_NYC_14",20,72.5,38.9562088362889,2.72799238988101
"CAMDA23_MetaSUB_gCSD16_NYC_15",7,17,10.1024167172718,1.28227692910219
"CAMDA23_MetaSUB_gCSD16_NYC_16",20,29.1666666666667,7.37019834422093,2.53596519433271
"CAMDA23_MetaSUB_gCSD16_NYC_17",20,35.1666666666667,10.8444385836684,2.91704765594493
"CAMDA23_MetaSUB_gCSD16_NYC_18",13,35.5,19.2187875729622,2.331252848782
"CAMDA23_MetaSUB_gCSD16_NYC_19",11,20.3333333333333,8.81588876734196,0.905175863227266
"CAMDA23_MetaSUB_gCSD16_NYC_1",16,23.5,6.34013026467514,2.69082862151159
"CAMDA23_MetaSUB_gCSD16_NYC_20",14,69,34.8525881183984,1.926615456934
"CAMDA23_MetaSUB_gCSD16_NYC_21",16,55,30.2927759164998,2.66461919519349
"CAMDA23_MetaSUB_gCSD16_NYC_22",18,21.5,3.65422483888534,2.59411536581421
"CAMDA23_MetaSUB_gCSD16_NYC_23",15,27,10.7298476051447,2.23076613560489
"CAMDA23_MetaSUB_gCSD16_NYC_24",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD16_NYC_25",10,15,5.49983164725505,2.15006022448424
"CAMDA23_MetaSUB_gCSD16_NYC_26",18,21.5,3.43950787025337,2.80200103913507
"CAMDA23_MetaSUB_gCSD16_NYC_2",8,8.75,1.41109285155665,1.96009513512456
"CAMDA23_MetaSUB_gCSD16_NYC_3",17,24.5,6.34072474165478,2.73797555580579
"CAMDA23_MetaSUB_gCSD16_NYC_4",12,30,16.0419372271556,2.17292709150859
"CAMDA23_MetaSUB_gCSD16_NYC_5",17,20.5,3.43921797424796,2.56239233079647
"CAMDA23_MetaSUB_gCSD16_NYC_6",12,15.75,4.18923205117256,2.24021438802736
"CAMDA23_MetaSUB_gCSD16_NYC_7",18,24,5.37911664061427,2.47278494657295
"CAMDA23_MetaSUB_gCSD16_NYC_8",23,36,9.6230156684667,2.88440239423206
"CAMDA23_MetaSUB_gCSD16_NYC_9",23,50.2,18.1573365370453,1.40976404667572
"CAMDA23_MetaSUB_gCSD16_SAC_10",5,5.33333333333333,0.906083690572227,1.41427906512471
"CAMDA23_MetaSUB_gCSD16_SAC_11",6,11,5.94004132217032,1.74786809746676
"CAMDA23_MetaSUB_gCSD16_SAC_12",5,15,10.041580220928,1.6094379124341
"CAMDA23_MetaSUB_gCSD16_SAC_13",10,17.5,8.08470778692712,1.92884250770504
"CAMDA23_MetaSUB_gCSD16_SAC_14",3,3.5,1.23563170657187,1.03972077083992
"CAMDA23_MetaSUB_gCSD16_SAC_15",7,7.5,1.26984250992003,1.68906519963249
"CAMDA23_MetaSUB_gCSD16_SAC_16",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD16_SAC_1",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD16_SAC_2",13,79,39.8419345267702,1.33182623573827
"CAMDA23_MetaSUB_gCSD16_SAC_3",3,3,0.408248290463863,0.739321330224592
"CAMDA23_MetaSUB_gCSD16_SAC_4",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD16_SAC_5",6,9,4.09945795874961,1.67698777432242
"CAMDA23_MetaSUB_gCSD16_SAC_6",5,11,7.01297498796468,1.38629436111989
"CAMDA23_MetaSUB_gCSD16_SAC_7",4,7,4.34248118673448,1.242453324894
"CAMDA23_MetaSUB_gCSD16_SAC_8",6,11,5.94004132217032,1.74786809746676
"CAMDA23_MetaSUB_gCSD16_SAC_9",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD16_TOK_10",6,21,13.4562784071759,1.79175946922805
"CAMDA23_MetaSUB_gCSD16_TOK_11",13,20,6.6283010643754,1.96337737261544
"CAMDA23_MetaSUB_gCSD16_TOK_12",8,23,13.5060372973815,0.809178767332556
"CAMDA23_MetaSUB_gCSD16_TOK_13",9,9.75,1.41240639580932,1.10696507815736
"CAMDA23_MetaSUB_gCSD16_TOK_14",19,25,5.37959106252511,1.89839622768307
"CAMDA23_MetaSUB_gCSD16_TOK_15",19,58,30.3008087123214,1.99513843664167
"CAMDA23_MetaSUB_gCSD16_TOK_16",12,26,13.1295321845302,1.75404683296248
"CAMDA23_MetaSUB_gCSD16_TOK_17",14,50,25.5625702933019,1.46790053883969
"CAMDA23_MetaSUB_gCSD16_TOK_18",20,33.75,11.1494334787983,2.59330680209423
"CAMDA23_MetaSUB_gCSD16_TOK_19",12,19.5,8.09469199300001,1.79435622062892
"CAMDA23_MetaSUB_gCSD16_TOK_1",23,38.1666666666667,10.8458450808509,2.9363314510842
"CAMDA23_MetaSUB_gCSD16_TOK_20",18,30,10.7350671477484,1.8086309869998
"CAMDA23_MetaSUB_gCSD16_TOK_21",24,41.5,12.1334475258319,1.41709731833572
"CAMDA23_MetaSUB_gCSD16_TOK_22",4,4.5,1.25,1.27703425946614
"CAMDA23_MetaSUB_gCSD16_TOK_23",26,43.1428571428571,11.4576527453379,3.01543680963214
"CAMDA23_MetaSUB_gCSD16_TOK_24",21,34.2,10.2042756776394,2.87376892159105
"CAMDA23_MetaSUB_gCSD16_TOK_2",27,57,20.9145085208012,3.06428591569256
"CAMDA23_MetaSUB_gCSD16_TOK_3",24,54,20.912405497783,2.8527176196674
"CAMDA23_MetaSUB_gCSD16_TOK_4",7,28,17.1846588560844,1.94591014905531
"CAMDA23_MetaSUB_gCSD16_TOK_5",40,54.25,8.6514449798872,3.35972886848204
"CAMDA23_MetaSUB_gCSD16_TOK_6",20,24.6666666666667,4.48405769812419,2.50714048544914
"CAMDA23_MetaSUB_gCSD16_TOK_7",29,44,10.3285262972555,2.99331562121074
"CAMDA23_MetaSUB_gCSD16_TOK_8",20,80,43.6640584462782,2.72046466170626
"CAMDA23_MetaSUB_gCSD16_TOK_9",17,26,8.02433947677075,1.60756287451415
"CAMDA23_MetaSUB_gCSD17_BAL_10",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_BAL_11",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_BAL_12",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_BAL_14",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_BAL_1",2,2,0,0.529706199057654
"CAMDA23_MetaSUB_gCSD17_BAL_2",3,3,0.408248290463863,0.755982915544612
"CAMDA23_MetaSUB_gCSD17_BAL_3",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_BAL_4",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_BAL_5",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_BAL_6",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_BAL_7",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_BAL_8",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_BAL_9",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_DEN_10",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_DEN_11",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_DEN_12",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_DEN_13",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_DEN_15",3,4,2.12132034355964,0.796311640173813
"CAMDA23_MetaSUB_gCSD17_DEN_16",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_DEN_17",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DEN_18",3,4,2.12132034355964,0.950270539233235
"CAMDA23_MetaSUB_gCSD17_DEN_19",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_DEN_1",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DEN_20",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_DEN_21",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_DEN_22",2,2,0.353553390593274,0.500402423538188
"CAMDA23_MetaSUB_gCSD17_DEN_23",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_DEN_2",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_DEN_3",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_DEN_4",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DEN_5",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_DEN_6",3,3.5,1.23563170657187,1.03972077083992
"CAMDA23_MetaSUB_gCSD17_DEN_7",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DEN_8",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_DEN_9",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DOH_10",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DOH_11",3,4,2.12132034355964,0.950270539233235
"CAMDA23_MetaSUB_gCSD17_DOH_12",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_DOH_13",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_DOH_14",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_DOH_1",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DOH_2",3,3.5,1.23563170657187,1.03972077083992
"CAMDA23_MetaSUB_gCSD17_DOH_3",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DOH_4",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_DOH_5",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_DOH_6",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DOH_7",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_DOH_8",5,8,4.08885680844903,1.56071040904141
"CAMDA23_MetaSUB_gCSD17_DOH_9",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_ILR_10",3,4,2.12132034355964,0.735621939758795
"CAMDA23_MetaSUB_gCSD17_ILR_11",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_ILR_12",9,30,17.2261912989107,1.77703320138127
"CAMDA23_MetaSUB_gCSD17_ILR_13",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_ILR_14",8,18,10.1276574016129,1.80195113979326
"CAMDA23_MetaSUB_gCSD17_ILR_15",5,8,4.38391947918755,1.00105051749029
"CAMDA23_MetaSUB_gCSD17_ILR_16",7,12,5.9490020171454,1.50659508813164
"CAMDA23_MetaSUB_gCSD17_ILR_17",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_ILR_18",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_ILR_1",6,7,1.79062815971078,1.52470739303014
"CAMDA23_MetaSUB_gCSD17_ILR_2",8,18,10.1276574016129,1.70370001622104
"CAMDA23_MetaSUB_gCSD17_ILR_3",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_ILR_4",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_ILR_5",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_ILR_6",9,14,5.96305590400473,1.86079575946425
"CAMDA23_MetaSUB_gCSD17_ILR_7",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_ILR_8",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_ILR_9",5,8,4.08885680844903,1.56071040904141
"CAMDA23_MetaSUB_gCSD17_MIN_1",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_MIN_2",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_MIN_3",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_MIN_4",3,4,2.12132034355964,0.867563228481461
"CAMDA23_MetaSUB_gCSD17_MIN_5",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_MIN_6",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD17_NYC_10",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD17_NYC_11",18,57,30.2982252968776,2.61696043876519
"CAMDA23_MetaSUB_gCSD17_NYC_12",7,22,13.4823116442518,1.66633258532833
"CAMDA23_MetaSUB_gCSD17_NYC_13",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_NYC_14",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_NYC_15",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_NYC_16",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_NYC_17",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD17_NYC_18",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_NYC_19",2,2,0.353553390593274,0.325082973391448
"CAMDA23_MetaSUB_gCSD17_NYC_1",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_NYC_20",3,3,0.408248290463863,0.964962923007428
"CAMDA23_MetaSUB_gCSD17_NYC_2",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_NYC_3",10,12,2.57342184649155,1.98829816258446
"CAMDA23_MetaSUB_gCSD17_NYC_4",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_NYC_5",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_NYC_6",3,4,2.12132034355964,0.950270539233235
"CAMDA23_MetaSUB_gCSD17_NYC_7",5,6.5,2.53058217686092,1.35923670066501
"CAMDA23_MetaSUB_gCSD17_NYC_8",5,8,4.08885680844903,1.56071040904141
"CAMDA23_MetaSUB_gCSD17_NYC_9",4,5.5,2.51811617899355,1.33217904021012
"CAMDA23_MetaSUB_gCSD17_SAN_10",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAN_11",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAN_12",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAN_13",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_SAN_14",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_SAN_15",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_SAN_16",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_SAN_1",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_SAN_2",3,3,0.136082763487954,1.05492016798614
"CAMDA23_MetaSUB_gCSD17_SAN_3",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAN_4",4,5.5,2.51811617899355,1.33217904021012
"CAMDA23_MetaSUB_gCSD17_SAN_5",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_SAN_6",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_SAN_7",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_SAN_8",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_SAN_9",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD17_SAO_10",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_11",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_12",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_13",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_14",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_15",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_SAO_16",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_17",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_18",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_SAO_19",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_1",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_20",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_21",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_22",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_23",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_24",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_25",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_2",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_3",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_4",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_5",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_6",3,3.5,1.23563170657187,1.03972077083992
"CAMDA23_MetaSUB_gCSD17_SAO_7",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_SAO_8",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_SAO_9",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_TOK_10",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_TOK_11",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_TOK_12",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_TOK_13",3,3,0.136082763487954,1.05492016798614
"CAMDA23_MetaSUB_gCSD17_TOK_14",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_TOK_15",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_TOK_16",5,8,4.08885680844903,1.56071040904141
"CAMDA23_MetaSUB_gCSD17_TOK_17",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_TOK_18",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_TOK_19",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_TOK_1",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_TOK_20",3,4,2.12132034355964,0.796311640173813
