"Markers","pvalues","score","loc1","loc2","locs","adj_pvalues","sign_rank"
"ARO:3000167",0.999073408831318,4.32440400670374,"MIN","SAC","MIN_vs_SAC",0.99970901402718,5
"ARO:3000858",0.0199087921138715,14.9887676610265,"BAL","SAN","BAL_vs_SAN",0.998950189458319,1
"rnfc",0.0199087921138715,14.8075116261069,"BAL","SAN","BAL_vs_SAN",0.998950189458319,2
"ARO:3003015",0.0279571810044487,31.0521168005884,"BAL","SAN","BAL_vs_SAN",0.998950189458319,3
"ARO:3001396",0.0459608769535931,23.7521323345169,"BAL","SAN","BAL_vs_SAN",0.998950189458319,4
"ARO:3001059",0.0459608769535933,23.5745461807913,"BAL","SAN","BAL_vs_SAN",0.998950189458319,5
"flii",5.12776524606391e-05,17.3165409846925,"BAL","DEN","BAL_vs_DEN",0.0176395124464598,1
"ARO:3003048",0.746139203988958,10.8333232103765,"BAL","DEN","BAL_vs_DEN",0.999672479670641,2
"ARO:3000237",0.746139203988958,10.8333232103765,"BAL","DEN","BAL_vs_DEN",0.999672479670641,3
"ARO:3000656",0.746139203988958,10.8333232103765,"BAL","DEN","BAL_vs_DEN",0.999672479670641,4
"wcaj",0.994462731871198,37.9782921312029,"BAL","DEN","BAL_vs_DEN",0.999672479670641,5
"ARO:3001070",0.995013485422511,27.279405167987,"BAL","SAC","BAL_vs_SAC",0.999989218383748,1
"wzt",0.995013485422512,26.8267885208655,"BAL","SAC","BAL_vs_SAC",0.999989218383748,2
"glf",0.995092878200744,29.7503547015913,"BAL","SAC","BAL_vs_SAC",0.999989218383748,3
"nfsa",0.995092878200744,30.1356172490598,"BAL","SAC","BAL_vs_SAC",0.999989218383748,4
"mrkb",0.995092878200744,30.1443254540103,"BAL","SAC","BAL_vs_SAC",0.999989218383748,5
"ARO:3003048",0.881805946310066,5.95695163734483,"SAN","DEN","SAN_vs_DEN",0.999270184574906,1
"ARO:3003583",0.881805946310066,5.95695163734483,"SAN","DEN","SAN_vs_DEN",0.999270184574906,2
"ARO:3000237",0.881805946310066,5.95695163734483,"SAN","DEN","SAN_vs_DEN",0.999270184574906,3
"ARO:3000535",0.881805946310066,5.95695163734483,"SAN","DEN","SAN_vs_DEN",0.999270184574906,4
"ARO:3003548",0.881805946310066,5.95695163734483,"SAN","DEN","SAN_vs_DEN",0.999270184574906,5
"ARO:3000873",0.997971856566579,8.46359406093143,"SAN","SAC","SAN_vs_SAC",0.999702599239412,1
"ARO:3003013",0.997971856571396,8.48735671670494,"SAN","SAC","SAN_vs_SAC",0.999702599239412,2
"ARO:3000410",0.997971856571396,8.48735671670494,"SAN","SAC","SAN_vs_SAC",0.999702599239412,3
"ARO:3000027",0.997971856573089,8.4794671601229,"SAN","SAC","SAN_vs_SAC",0.999702599239412,4
"ARO:3000230",0.997971856573089,8.4794671601229,"SAN","SAC","SAN_vs_SAC",0.999702599239412,5
"ARO:3003048",0.998486510966564,5.47778941522593,"DEN","SAC","DEN_vs_SAC",0.999738796002178,1
"ARO:3003583",0.998486510966564,5.47778941522593,"DEN","SAC","DEN_vs_SAC",0.999738796002178,2
"ARO:3000237",0.998486510966564,5.47778941522593,"DEN","SAC","DEN_vs_SAC",0.999738796002178,3
"ARO:3000535",0.998486510966564,5.47778941522593,"DEN","SAC","DEN_vs_SAC",0.999738796002178,4
"flig",0.998486510966564,5.47778941522593,"DEN","SAC","DEN_vs_SAC",0.999738796002178,5
