"samples","enterobacter","klebsciella","escherichia","enterobacter.rel","escherichia.rel","klebsciella.rel","enterobacter.relTot","escherichia.relTot","klebsciella.relTot"
"CAMDA23_MetaSUB_gCSD16_BOG_15",22633,35890,6095,0.350258441920208,0.0943235630938748,0.555417994985917,0.00131151405382371,0.000353186858041598,0.0020797172001826
"CAMDA23_MetaSUB_gCSD16_BOG_16",30013,50348,14854,0.315212939137741,0.156004831171559,0.5287822296907,0.00137328854264266,0.000679666411635428,0.00230374609485799
"CAMDA23_MetaSUB_gCSD16_BOG_1",12541,18758,3792,0.3573850844946,0.108061896212704,0.534553019292696,0.000616455139628982,0.000186396450799226,0.000922052907197228
"CAMDA23_MetaSUB_gCSD16_BOG_2",10292,13097,5662,0.354273518983856,0.194898626553303,0.450827854462841,0.000625898718373247,0.000344329434845446,0.000796482269193006
"CAMDA23_MetaSUB_gCSD16_BOG_3",9878,10421,2848,0.426750766838035,0.123039702769257,0.450209530392708,0.000630127199193682,0.000181676681848917,0.000664765695768107
"CAMDA23_MetaSUB_gCSD16_BOG_4",20384,42391,4583,0.302621811811515,0.0680394310994982,0.629338757088987,0.00085363022333419,0.000191924416873067,0.00177522757051411
"CAMDA23_MetaSUB_gCSD16_BOG_5",30791,27005,5658,0.485249156869543,0.0891669555898761,0.425583887540581,0.0011927049576954,0.00021916549156054,0.00104605233290781
"CAMDA23_MetaSUB_gCSD16_BOG_6",18385,28161,5071,0.356181103124939,0.0982428269756088,0.545576069899452,0.000828303143181783,0.000228464794075324,0.00126874325891445
"CAMDA23_MetaSUB_gCSD16_BOG_8",73492,99257,5361,0.412621413733086,0.0300993767896244,0.557279209477289,0.00310721572762235,0.000226661181023559,0.00419655080112953
"CAMDA23_MetaSUB_gCSD16_BOG_9",19562,58461,6482,0.231489260990474,0.0767055203834093,0.691805218626117,0.00089116754200348,0.000295294346552835,0.00266325251370338
"CAMDA23_MetaSUB_gCSD16_DEN_10",119,199,302,0.191935483870968,0.487096774193548,0.320967741935484,0.000300865177004799,0.000763540197104615,0.000503127480873571
"CAMDA23_MetaSUB_gCSD16_DEN_11",82,104,59,0.33469387755102,0.240816326530612,0.424489795918367,0.000233545708027991,0.00016803898504453,0.000296204312620867
"CAMDA23_MetaSUB_gCSD16_DEN_12",230,477,214,0.249728555917481,0.232356134636265,0.517915309446254,0.00067738505806368,0.000630262619241859,0.00140483770737555
"CAMDA23_MetaSUB_gCSD16_DEN_13",203,194,74,0.430997876857749,0.157112526539278,0.411889596602972,0.00073032879186349,0.000266228229546297,0.000697949682864616
"CAMDA23_MetaSUB_gCSD16_DEN_14",920,316,82,0.698027314112291,0.0622154779969651,0.239757207890744,0.00132436984467445,0.00011804166006881,0.000454892250996876
"CAMDA23_MetaSUB_gCSD16_DEN_15",826,768,62,0.498792270531401,0.03743961352657,0.463768115942029,0.000470679944475722,3.53294873577418e-05,0.000437629778882996
"CAMDA23_MetaSUB_gCSD16_DEN_16",206,313,39,0.369175627240143,0.0698924731182796,0.560931899641577,0.00012719574746334,2.40807483061663e-05,0.000193263441534104
"CAMDA23_MetaSUB_gCSD16_DEN_17",147,488,157,0.185606060606061,0.198232323232323,0.616161616161616,0.000194614345857495,0.000207853417004263,0.000646066671962295
"CAMDA23_MetaSUB_gCSD16_DEN_18",127,225,103,0.279120879120879,0.226373626373626,0.494505494505495,0.000486571395731964,0.000394620895751121,0.000862035937320409
"CAMDA23_MetaSUB_gCSD16_DEN_19",137,281,119,0.25512104283054,0.221601489757914,0.523277467411546,0.000491620913625435,0.000427028384827933,0.00100836114400545
"CAMDA23_MetaSUB_gCSD16_DEN_1",187,290,41,0.361003861003861,0.0791505791505791,0.55984555984556,0.000491617526822074,0.000107787799998423,0.000762401512183965
"CAMDA23_MetaSUB_gCSD16_DEN_20",92,122,65,0.329749103942652,0.232974910394265,0.437275985663082,0.000174470425366483,0.000123267148356754,0.000231362955377292
"CAMDA23_MetaSUB_gCSD16_DEN_21",386,704,95,0.325738396624473,0.080168776371308,0.594092827004219,0.000383638703778245,9.44188519661484e-05,0.000699693387201773
"CAMDA23_MetaSUB_gCSD16_DEN_22",220,413,204,0.26284348864994,0.243727598566308,0.493428912783752,0.000621332022887612,0.000576144239404877,0.00116640966114811
"CAMDA23_MetaSUB_gCSD16_DEN_2",733,446,55,0.594003241491086,0.0445705024311183,0.361426256077796,0.000929865556409729,6.97716311085063e-05,0.000565784499534433
"CAMDA23_MetaSUB_gCSD16_DEN_3",61,152,60,0.223443223443223,0.21978021978022,0.556776556776557,0.000325919118629216,0.000320576182258245,0.000812126328387555
"CAMDA23_MetaSUB_gCSD16_DEN_4",234,379,158,0.303501945525292,0.204928664072633,0.491569390402075,0.000725930292078363,0.000490158060463168,0.00117575889187051
"CAMDA23_MetaSUB_gCSD16_DEN_5",172,229,133,0.322097378277154,0.249063670411985,0.428838951310861,0.000181621009749458,0.000140439501724872,0.000241809367631546
"CAMDA23_MetaSUB_gCSD16_DEN_6",177,473,149,0.221526908635795,0.18648310387985,0.591989987484355,0.000335367644411771,0.000282315135691265,0.000896208450885693
"CAMDA23_MetaSUB_gCSD16_DEN_7",101,190,68,0.28133704735376,0.18941504178273,0.52924791086351,8.05260824778434e-05,5.42155802821124e-05,0.000151484709611785
"CAMDA23_MetaSUB_gCSD16_DEN_8",107,116,49,0.393382352941176,0.180147058823529,0.426470588235294,0.000209138369463453,9.57736458290577e-05,0.00022672944726879
"CAMDA23_MetaSUB_gCSD16_DEN_9",78,128,45,0.310756972111554,0.179282868525896,0.50996015936255,0.000262044823102947,0.000151179705636315,0.000430022273809964
"CAMDA23_MetaSUB_gCSD16_DOH_10",1954,491,70,0.776938369781312,0.0278330019880716,0.195228628230616,0.00171496778949955,6.1436921834682e-05,0.000430936123154698
"CAMDA23_MetaSUB_gCSD16_DOH_11",2568,661,277,0.732458642327439,0.0790074158585282,0.188533941814033,0.00246532181185793,0.000265924510079691,0.000634570762320129
"CAMDA23_MetaSUB_gCSD16_DOH_12",4043,3395,1369,0.459066651527194,0.155444532758033,0.385488815714772,0.00199827307293672,0.000676635131548447,0.00167799581563694
"CAMDA23_MetaSUB_gCSD16_DOH_14",3348,1619,205,0.647331786542923,0.0396365042536736,0.313031709203403,0.00177435672943869,0.000108644901294782,0.000858029732664646
"CAMDA23_MetaSUB_gCSD16_DOH_15",3371,1134,147,0.72463456577816,0.0315993121238177,0.243766122098022,0.00156694348870137,6.83300779706618e-05,0.000527117744345105
"CAMDA23_MetaSUB_gCSD16_DOH_1",1666,1154,136,0.563599458728011,0.0460081190798376,0.390392422192152,0.000914686036488616,7.46682478766217e-05,0.000633582044482511
"CAMDA23_MetaSUB_gCSD16_DOH_2",1896,1266,949,0.461201654098759,0.230844076866942,0.307954269034298,0.000719085850734313,0.000359922190056363,0.000480149096534621
"CAMDA23_MetaSUB_gCSD16_DOH_3",4009,1176,169,0.748785954426597,0.0315651849084796,0.219648860664923,0.00586539868324799,0.000247256766642282,0.0017205559619605
"CAMDA23_MetaSUB_gCSD16_DOH_4",2420,1184,107,0.652115332794395,0.0288331985987604,0.319051468606845,0.00160469047045944,7.09511902227934e-05,0.000785104759100816
"CAMDA23_MetaSUB_gCSD16_DOH_5",4536,1515,126,0.734337056823701,0.0203982515784361,0.245264691597863,0.00504232507211659,0.000140064585336572,0.0016841098951183
"CAMDA23_MetaSUB_gCSD16_DOH_6",2056,767,90,0.705801579128047,0.0308959835221421,0.263302437349811,0.00175816056726332,7.69622816409043e-05,0.00065588966687304
"CAMDA23_MetaSUB_gCSD16_DOH_8",3406,847,179,0.768501805054152,0.0403880866425993,0.191110108303249,0.00571540760454615,0.000300369336821421,0.00142130071669131
"CAMDA23_MetaSUB_gCSD16_DOH_9",5212,1177,113,0.80159950784374,0.0173792679175638,0.181021224238696,0.00815731153041932,0.000176856523971102,0.00184212503286714
"CAMDA23_MetaSUB_gCSD16_ILR_10",7171,4541,2092,0.519487105186902,0.151550275282527,0.328962619530571,0.000293484464804415,8.5618393581207e-05,0.000185847574212362
"CAMDA23_MetaSUB_gCSD16_ILR_11",22266,13377,4643,0.552698207814129,0.115250955666981,0.33205083651889,0.00122132182389544,0.00025467516520015,0.000733747509128237
"CAMDA23_MetaSUB_gCSD16_ILR_12",7278,5268,2692,0.477621735135845,0.176663604147526,0.345714660716629,0.000233481032489184,8.63603928910255e-05,0.000168999461274117
"CAMDA23_MetaSUB_gCSD16_ILR_13",4295,3037,6657,0.307026949746229,0.475873900922153,0.217099149331618,0.000194104808733098,0.000300851155235445,0.000137251758817793
"CAMDA23_MetaSUB_gCSD16_ILR_14",2271,1045,762,0.55689063266307,0.186856302108877,0.256253065228053,0.000102282222187793,3.43192660973572e-05,4.70651352647484e-05
"CAMDA23_MetaSUB_gCSD16_ILR_15",148080,76298,22051,0.600903302776865,0.0894821632194263,0.309614534003709,0.00395281869901066,0.000588625102187224,0.00203668396202806
"CAMDA23_MetaSUB_gCSD16_ILR_16",8134977,32881,9502,0.994817031413561,0.00116198871029281,0.00402097987614585,0.311452486802953,0.000363789784482693,0.00125886885956382
"CAMDA23_MetaSUB_gCSD16_ILR_1",46386,2488198,519133,0.0151900126960029,0.170000363491443,0.814809623812554,0.00160698684873226,0.0179847346988945,0.0862006093011232
"CAMDA23_MetaSUB_gCSD16_ILR_2",5974,4565,3028,0.440333161347387,0.22318861944424,0.336478219208373,0.000212677456089973,0.000107798349019156,0.000162516335294732
"CAMDA23_MetaSUB_gCSD16_ILR_3",1811314,287915,71943,0.834256337130361,0.0331355599648485,0.132608102904791,0.0463018956892023,0.00183905014899034,0.00735985604779552
"CAMDA23_MetaSUB_gCSD16_ILR_4",9747,8012,2698,0.476462824461065,0.13188639585472,0.391650779684216,0.000265050076027522,7.33666877113218e-05,0.000217870237932954
"CAMDA23_MetaSUB_gCSD16_ILR_5",4721,3303,1114,0.516633836725761,0.121908513898008,0.361457649376231,0.0001369499610486,3.2315665453959e-05,9.58156579842248e-05
"CAMDA23_MetaSUB_gCSD16_ILR_6",3301388,1845878,407818,0.594300284208124,0.073413471335447,0.332286244456429,0.102310561687149,0.012638347460562,0.0572040653767299
"CAMDA23_MetaSUB_gCSD16_ILR_7",3935639,674696,199742,0.818207068202858,0.0415257385692578,0.140267193227884,0.0749704557688409,0.00380490913322584,0.0128523644128473
"CAMDA23_MetaSUB_gCSD16_ILR_9",4631,1545,1225,0.625726253209026,0.165518173219835,0.208755573571139,0.000147744822518621,3.90817118517189e-05,4.92908120905353e-05
"CAMDA23_MetaSUB_gCSD16_LIS_11",1761109,10970,4576,0.99124984873259,0.00257562666921828,0.00617452459819155,0.595419240824907,0.00154711516778052,0.00370888404513817
"CAMDA23_MetaSUB_gCSD16_LIS_12",2581,2744,663,0.431028724114896,0.110721442885772,0.458249832999332,0.00109205087662364,0.000280522948935092,0.00116101805713106
"CAMDA23_MetaSUB_gCSD16_LIS_13",6763,3093,1086,0.618077133979163,0.0992505940413087,0.282672271979528,0.00108592225355442,0.000174376987632722,0.000496637221683249
"CAMDA23_MetaSUB_gCSD16_LIS_14",4690,2417,427,0.622511282187417,0.0566764003185559,0.320812317494027,0.00137760871800144,0.000125424077310579,0.00070995314955426
"CAMDA23_MetaSUB_gCSD16_LIS_15",2706,2035,72,0.56222730105963,0.0149594847288593,0.42281321421151,0.000511160913304389,1.360073383515e-05,0.000384409629924032
"CAMDA23_MetaSUB_gCSD16_LIS_16",3293,2552,889,0.489010989010989,0.132016632016632,0.378972378972379,0.00107709628187541,0.000290780016576751,0.000834725086955981
"CAMDA23_MetaSUB_gCSD16_LIS_1",914390,3597,1494,0.994463180859637,0.00162482965934043,0.00391198948102245,0.422431232903798,0.000690200310543942,0.00166174733402045
"CAMDA23_MetaSUB_gCSD16_LIS_2",2498,976,131,0.692926490984743,0.0363384188626907,0.270735090152566,0.00090552194386344,4.74873397302284e-05,0.00035379880592903
"CAMDA23_MetaSUB_gCSD16_LIS_3",2591,1605,657,0.53389655882959,0.135380177209973,0.330723263960437,0.00116589345416747,0.000295635661670409,0.00072221497257383
"CAMDA23_MetaSUB_gCSD16_LIS_4",24498,5388,1689,0.775866983372922,0.0534916864608076,0.170641330166271,0.0106181020045146,0.000732058710328399,0.00233530629440463
"CAMDA23_MetaSUB_gCSD16_LIS_5",1745,723,47,0.693836978131213,0.0186878727634195,0.287475149105368,0.000952108142025071,2.56441734528243e-05,0.000394483774604084
"CAMDA23_MetaSUB_gCSD16_LIS_6",1576,639,46,0.69703670942061,0.0203449800973021,0.282618310482088,0.000678063526291741,1.97911942953173e-05,0.000274925503363212
"CAMDA23_MetaSUB_gCSD16_LIS_8",1621,1260,122,0.53979353979354,0.0406260406260406,0.41958041958042,0.00114114748328054,8.58852516719465e-05,0.0008870116156283
"CAMDA23_MetaSUB_gCSD16_LIS_9",2082,933,116,0.6649632705206,0.0370488661769403,0.297987863302459,0.000706256852251881,3.9349565255148e-05,0.000316492623991837
"CAMDA23_MetaSUB_gCSD16_NYC_10",25680,29935,3288,0.435971003174711,0.0558205863877901,0.508208410437499,0.00116234743850399,0.000148823924369202,0.00135494044281997
"CAMDA23_MetaSUB_gCSD16_NYC_11",307108,152390,30644,0.626569443140967,0.062520657278911,0.310909899580122,0.0173868627924658,0.0017349044095638,0.00862753175086243
"CAMDA23_MetaSUB_gCSD16_NYC_12",13584,12923,2843,0.46282793867121,0.0968654173764906,0.4403066439523,0.000889581833670201,0.000186180885830711,0.000846294613995878
"CAMDA23_MetaSUB_gCSD16_NYC_13",36011,31824,9416,0.466155777918732,0.121888389794307,0.411955832286961,0.00281497204609484,0.000736046674239234,0.00248767516578052
"CAMDA23_MetaSUB_gCSD16_NYC_14",5884,6098,1579,0.433891305950889,0.116436840940934,0.449671853108178,0.0010093100446419,0.000270853256371441,0.00104601846570807
"CAMDA23_MetaSUB_gCSD16_NYC_15",216121,12874,5789,0.920509915496797,0.0246567057380401,0.0548333787651629,0.0171543050859835,0.000459493858268092,0.00102185592180746
"CAMDA23_MetaSUB_gCSD16_NYC_16",15799,17279,3722,0.429320652173913,0.101141304347826,0.469538043478261,0.00131609330792502,0.000310051224260834,0.00143938073723883
"CAMDA23_MetaSUB_gCSD16_NYC_17",8481,12565,2823,0.355314424567431,0.118270560140768,0.526415015291801,0.000885127817529038,0.000294625141950769,0.00131135845150953
"CAMDA23_MetaSUB_gCSD16_NYC_18",42159,11364,3900,0.734183167023666,0.0679170367274437,0.19789979624889,0.00257020386357868,0.000237761689507741,0.000692800984504095
"CAMDA23_MetaSUB_gCSD16_NYC_19",12597,12141,1712,0.476257088846881,0.0647258979206049,0.459017013232514,0.0010994097905335,0.000149415699086557,0.00105961215105718
"CAMDA23_MetaSUB_gCSD16_NYC_1",4838,5157,1114,0.435502745521649,0.100279053020074,0.464218201458277,0.000844680416438968,0.00019449648282617,0.00090037554931289
"CAMDA23_MetaSUB_gCSD16_NYC_20",9725,48175,2018,0.162305150372175,0.0336793617944524,0.804015487833372,0.000897168361369268,0.000186168200847628,0.00444432758961074
"CAMDA23_MetaSUB_gCSD16_NYC_21",21948,12667,3904,0.5697967236948,0.101352579246606,0.328850697058594,0.00120686978788884,0.000214671936026883,0.00069652905062821
"CAMDA23_MetaSUB_gCSD16_NYC_22",21055,23556,2370,0.448159894425406,0.0504459249483834,0.501394180626211,0.00240026831021111,0.000270179809793414,0.00268538210949099
"CAMDA23_MetaSUB_gCSD16_NYC_23",10921,10564,2803,0.449645915678524,0.115406785243742,0.434947299077734,0.000543290275551793,0.000139441685044563,0.000525530489051291
"CAMDA23_MetaSUB_gCSD16_NYC_24",12047,11574,3656,0.441654140851267,0.134032334934194,0.42431352421454,0.00078333205671514,0.000237724080630078,0.000752576178668633
"CAMDA23_MetaSUB_gCSD16_NYC_25",11956,11679,2073,0.465069239147347,0.0806363777812354,0.454294383071417,0.00147005121080038,0.000254885928403244,0.00143599264728484
"CAMDA23_MetaSUB_gCSD16_NYC_26",218166,13840,3762,0.925341861490957,0.0159563638831394,0.0587017746259034,0.0222487894089048,0.00038365256619409,0.00141141720258538
"CAMDA23_MetaSUB_gCSD16_NYC_2",3895,5448,710,0.387446533373122,0.0706256838754601,0.541927782751418,0.000713734673945111,0.000130103111296798,0.000998312324429516
"CAMDA23_MetaSUB_gCSD16_NYC_3",5862,10587,1168,0.332746778679684,0.0662995969801896,0.600953624340126,0.000790742992205476,0.000157555069071306,0.00142811259953589
"CAMDA23_MetaSUB_gCSD16_NYC_4",28616,6045,1710,0.786780676912925,0.0470154793654285,0.166203843721646,0.00475417385762598,0.000284094118553971,0.001004297629625
"CAMDA23_MetaSUB_gCSD16_NYC_5",17315,20882,2830,0.422039144953323,0.068978965071782,0.508981889974895,0.000905792410375071,0.000148044615729798,0.00109239140129669
"CAMDA23_MetaSUB_gCSD16_NYC_6",8297,8134,1152,0.471876244099414,0.0655178297218905,0.462605926178695,0.00031302956022233,4.34627037936753e-05,0.000306879889459857
"CAMDA23_MetaSUB_gCSD16_NYC_7",611239,164769,27405,0.760802974310846,0.0341107251189612,0.205086300570192,0.0338748136158973,0.00151878277914804,0.00913148402617926
"CAMDA23_MetaSUB_gCSD16_NYC_8",14480,14770,2697,0.453250696466022,0.0844210724011644,0.462328231132814,0.000659820813081513,0.000122896183210003,0.000673035456437427
"CAMDA23_MetaSUB_gCSD16_NYC_9",13282,14653,3162,0.427115155802811,0.10168183426054,0.47120300993665,0.00116112268902097,0.000276424479949128,0.00128097656694958
"CAMDA23_MetaSUB_gCSD16_SAC_10",476,686,165,0.358703843255463,0.124340617935192,0.516955538809344,0.000520886908448654,0.000180559537592496,0.000750689956293649
"CAMDA23_MetaSUB_gCSD16_SAC_11",572,657,173,0.407988587731812,0.12339514978602,0.468616262482168,0.000570286289699453,0.000172481692513995,0.000655031629951994
"CAMDA23_MetaSUB_gCSD16_SAC_12",1035,1262,257,0.405246671887236,0.100626468285043,0.494126859827721,0.0012321853968768,0.00030596294395878,0.00150243282208552
"CAMDA23_MetaSUB_gCSD16_SAC_13",1729,1595,340,0.47188864628821,0.0927947598253275,0.435316593886463,0.00100280774568935,0.000197197590245447,0.000925088695416142
"CAMDA23_MetaSUB_gCSD16_SAC_14",789,1121,644,0.308927173061864,0.252153484729836,0.438919342208301,0.000629902401053829,0.000514140869808195,0.000894956389836936
"CAMDA23_MetaSUB_gCSD16_SAC_15",6488,2011,305,0.736937755565652,0.0346433439345752,0.228418900499773,0.00432360677302864,0.000203252167967592,0.00134013150748468
"CAMDA23_MetaSUB_gCSD16_SAC_16",461,528,131,0.411607142857143,0.116964285714286,0.471428571428571,0.000437295521657511,0.000124264020254087,0.000500850402245479
"CAMDA23_MetaSUB_gCSD16_SAC_1",743,833,261,0.404463799673381,0.142079477408819,0.453456722917801,0.000474883580021399,0.000166816439280734,0.000532406490118203
"CAMDA23_MetaSUB_gCSD16_SAC_2",650,753,265,0.38968824940048,0.158872901678657,0.451438848920863,0.00048927803638422,0.000199474891756644,0.000566809786765104
"CAMDA23_MetaSUB_gCSD16_SAC_3",1084,942,259,0.474398249452954,0.113347921225383,0.412253829321663,0.000511273244891866,0.000122158459803499,0.000444298336428172
"CAMDA23_MetaSUB_gCSD16_SAC_4",598,615,150,0.438738077769626,0.110051357300073,0.451210564930301,0.000549951810242715,0.000137947778488975,0.000565585891804798
"CAMDA23_MetaSUB_gCSD16_SAC_5",1045,1134,300,0.421540943929004,0.121016538926987,0.45744251714401,0.000550945596626631,0.000158166199988507,0.000597868235956555
"CAMDA23_MetaSUB_gCSD16_SAC_6",620,889,142,0.375529981829194,0.0860084797092671,0.538461538461538,0.000441409006025233,0.000101096901379973,0.000632923558639407
"CAMDA23_MetaSUB_gCSD16_SAC_7",1554,1239,236,0.513040607461208,0.0779135028062067,0.409045889732585,0.00225347374282557,0.000342226385654334,0.00179668852468525
"CAMDA23_MetaSUB_gCSD16_SAC_8",514,658,108,0.4015625,0.084375,0.5140625,0.000417191876608603,8.7658993528656e-05,0.000534070534646811
"CAMDA23_MetaSUB_gCSD16_SAC_9",1188,915,263,0.502113271344041,0.111158072696534,0.386728655959425,0.00103255054760814,0.000228586526953654,0.000795272517728493
"CAMDA23_MetaSUB_gCSD16_TOK_10",11757,21441,1988,0.33413857784346,0.0564997442164497,0.60936167794009,0.00212453493610403,0.000359239215188807,0.00387447083142013
"CAMDA23_MetaSUB_gCSD16_TOK_11",21996,29883,116873,0.130345121835593,0.692572532473689,0.177082345690718,0.000815224461359228,0.00433159340209297,0.00110753557823231
"CAMDA23_MetaSUB_gCSD16_TOK_12",5592,14094,2838,0.248268513585509,0.125998934469899,0.625732551944592,0.000254865576183523,0.000129347014522324,0.000642359697913192
"CAMDA23_MetaSUB_gCSD16_TOK_13",14346,17967,4789,0.386663791709342,0.129076599644224,0.484259608646434,0.000598858587054402,0.000199911736609754,0.000750013399805273
"CAMDA23_MetaSUB_gCSD16_TOK_14",25323,27212,66125,0.213408056632395,0.557264453059161,0.229327490308444,0.00101972137843877,0.00266276018438824,0.00109578873553985
"CAMDA23_MetaSUB_gCSD16_TOK_15",14332,11083,6167,0.453802799062757,0.195269457285796,0.350927743651447,0.000690406827955888,0.000297079186994416,0.000533894702360809
"CAMDA23_MetaSUB_gCSD16_TOK_16",7591,14808,4078,0.286701665596556,0.154020470597122,0.559277863806322,0.000433720076114417,0.000233000984112053,0.000846071253734986
"CAMDA23_MetaSUB_gCSD16_TOK_17",5829,9973,1878,0.329694570135747,0.106221719457014,0.56408371040724,0.000260524096355925,8.3936224559346e-05,0.00044573800187985
"CAMDA23_MetaSUB_gCSD16_TOK_18",8757,7264,2285,0.478367748279253,0.124822462580575,0.396809789140173,0.000469460186189722,0.000122498175795765,0.000389420896709163
