"samples","klebsciella","enterobacter","escherichia","enterobacter.rel","escherichia.rel","klebsciella.rel","enterobacter.relTot","escherichia.relTot","klebsciella.relTot"
"CAMDA23_MetaSUB_gCSD16_LIS_14",32,63,9,0.605769230769231,0.0865384615384615,0.307692307692308,0.00194216659473457,0.000277452370676367,0.000986497317960417
"CAMDA23_MetaSUB_gCSD16_LIS_15",2,1,0,0.333333333333333,0,0.666666666666667,0.000150308131669923,0,0.000300616263339847
"CAMDA23_MetaSUB_gCSD16_LIS_16",79,58,10,0.394557823129252,0.0680272108843537,0.537414965986395,0.001990937800357,0.000343265137992585,0.00271179459014143
"CAMDA23_MetaSUB_gCSD16_LIS_1",25,145,7,0.819209039548023,0.0395480225988701,0.141242937853107,0.00469696478896051,0.000226750024294645,0.00080982151533802
"CAMDA23_MetaSUB_gCSD16_LIS_2",0,12,2,0.857142857142857,0.142857142857143,0,0.00261780104712042,0.00043630017452007,0
"CAMDA23_MetaSUB_gCSD16_LIS_3",10,9,4,0.391304347826087,0.173913043478261,0.434782608695652,0.000645577792123951,0.0002869234631662,0.000717308657915501
"CAMDA23_MetaSUB_gCSD16_LIS_4",163,1878,38,0.903318903318903,0.0182780182780183,0.0784030784030784,0.0480331474755742,0.000971916722082971,0.00416901120261906
"CAMDA23_MetaSUB_gCSD16_LIS_5",2,0,0,0,0,1,0,0,0.000301841231512225
"CAMDA23_MetaSUB_gCSD16_LIS_6",2,3,1,0.5,0.166666666666667,0.333333333333333,0.000136394635144351,4.54648783814503e-05,9.09297567629007e-05
"CAMDA23_MetaSUB_gCSD16_LIS_8",1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.000118736642127761,0.000118736642127761,0.000118736642127761
"CAMDA23_MetaSUB_gCSD16_LIS_9",0,3,2,0.6,0.4,0,0.00090198436560433,0.000601322910402886,0
"CAMDA23_MetaSUB_gCSD16_NYC_10",1207,909,57,0.418315692590888,0.0262310170271514,0.55545329038196,0.00103849752599957,6.5120306910864e-05,0.00137895106037566
"CAMDA23_MetaSUB_gCSD16_NYC_11",1376,7929,218,0.832615772340649,0.0228919458153943,0.144492281843957,0.0549016077882871,0.00150946531691847,0.00952763429394414
"CAMDA23_MetaSUB_gCSD16_NYC_12",267,254,41,0.451957295373665,0.0729537366548043,0.47508896797153,0.000635909350371031,0.00010264678490241,0.000668455891925453
"CAMDA23_MetaSUB_gCSD16_NYC_13",376,653,51,0.60462962962963,0.0472222222222222,0.348148148148148,0.00358342296463771,0.000279869174879821,0.00206334921087868
"CAMDA23_MetaSUB_gCSD16_NYC_14",70,53,17,0.378571428571429,0.121428571428571,0.5,0.000459662451648714,0.000147438899585437,0.00060710135123415
"CAMDA23_MetaSUB_gCSD16_NYC_15",152,756,47,0.791623036649215,0.0492146596858639,0.159162303664921,0.00941774422602586,0.000585494680718539,0.00189351471211102
"CAMDA23_MetaSUB_gCSD16_NYC_16",349,301,60,0.423943661971831,0.0845070422535211,0.491549295774648,0.0011571448891486,0.00023066011079374,0.00134167297778359
"CAMDA23_MetaSUB_gCSD16_NYC_17",153,88,21,0.33587786259542,0.0801526717557252,0.583969465648855,0.000524158963118269,0.000125083388925951,0.000911321833603355
"CAMDA23_MetaSUB_gCSD16_NYC_18",198,3211,91,0.917428571428571,0.026,0.0565714285714286,0.0147844263955651,0.000418991841169862,0.000911652577490469
"CAMDA23_MetaSUB_gCSD16_NYC_19",198,200,15,0.484261501210654,0.036319612590799,0.479418886198547,0.000724304396165533,5.43228297124149e-05,0.000717061352203877
"CAMDA23_MetaSUB_gCSD16_NYC_1",50,43,10,0.41747572815534,0.0970873786407767,0.485436893203884,0.00041041891363068,9.54462589838791e-05,0.000477231294919396
"CAMDA23_MetaSUB_gCSD16_NYC_20",3687,181,32,0.0464102564102564,0.00820512820512821,0.945384615384615,0.000839599404394677,0.000148437463760385,0.0171027790276418
"CAMDA23_MetaSUB_gCSD16_NYC_21",355,668,54,0.620241411327762,0.0501392757660167,0.329619312906221,0.0029734217050882,0.000240366425261621,0.00158018668459029
"CAMDA23_MetaSUB_gCSD16_NYC_22",785,541,37,0.396918561995598,0.0271460014673514,0.575935436537051,0.0030615305389086,0.000209383789167501,0.00444233174314834
"CAMDA23_MetaSUB_gCSD16_NYC_23",162,206,29,0.518891687657431,0.0730478589420655,0.408060453400504,0.000599293648069169,8.43665815243005e-05,0.000471289179549541
"CAMDA23_MetaSUB_gCSD16_NYC_24",62,101,33,0.51530612244898,0.168367346938776,0.316326530612245,0.000598043627578693,0.000195400393169276,0.000367115890196821
"CAMDA23_MetaSUB_gCSD16_NYC_25",202,248,20,0.527659574468085,0.0425531914893617,0.429787234042553,0.00163099951333079,0.000131532218816999,0.00132847541005169
"CAMDA23_MetaSUB_gCSD16_NYC_26",156,578,40,0.746770025839793,0.0516795865633075,0.201550387596899,0.00265389613072964,0.000183660631884404,0.000716276464349176
"CAMDA23_MetaSUB_gCSD16_NYC_2",22,17,5,0.386363636363636,0.113636363636364,0.5,0.000241886142769739,7.11429831675702e-05,0.000313029125937309
"CAMDA23_MetaSUB_gCSD16_NYC_3",79,45,9,0.338345864661654,0.0676691729323308,0.593984962406015,0.00033756666941721,6.7513333883442e-05,0.000592617041865768
"CAMDA23_MetaSUB_gCSD16_NYC_4",140,2702,29,0.941135492859631,0.0101010101010101,0.0487634970393591,0.0291616301156968,0.000312985667414954,0.00151096529096874
"CAMDA23_MetaSUB_gCSD16_NYC_5",566,417,30,0.411648568608095,0.0296150049358342,0.558736426456071,0.0006576934359987,4.73160745322806e-05,0.000892696606175694
"CAMDA23_MetaSUB_gCSD16_NYC_6",86,102,11,0.512562814070352,0.0552763819095477,0.4321608040201,7.05684565917511e-05,7.61032375009081e-06,5.94988947734372e-05
"CAMDA23_MetaSUB_gCSD16_NYC_7",661,1427,129,0.643662607126748,0.0581867388362652,0.298150654036987,0.00783183776515463,0.000707993743311106,0.00362778189402047
"CAMDA23_MetaSUB_gCSD16_NYC_8",333,405,55,0.510718789407314,0.0693568726355612,0.419924337957125,0.000365891338403413,4.96889471905869e-05,0.000300843989353917
"CAMDA23_MetaSUB_gCSD16_NYC_9",249,227,46,0.434865900383142,0.0881226053639847,0.477011494252874,0.000989356787336233,0.000200486397433774,0.00108524158610891
"CAMDA23_MetaSUB_gCSD16_SAC_10",6,3,2,0.272727272727273,0.181818181818182,0.545454545454545,0.000171546203110704,0.000114364135407136,0.000343092406221409
"CAMDA23_MetaSUB_gCSD16_SAC_11",6,0,1,0,0.142857142857143,0.857142857142857,0,8.77731940665321e-05,0.000526639164399192
"CAMDA23_MetaSUB_gCSD16_SAC_12",7,3,2,0.25,0.166666666666667,0.583333333333333,0.000344906875143711,0.000229937916762474,0.000804782708668659
"CAMDA23_MetaSUB_gCSD16_SAC_13",12,9,2,0.391304347826087,0.0869565217391304,0.521739130434783,0.000232744575758359,5.1721016835191e-05,0.000310326101011146
"CAMDA23_MetaSUB_gCSD16_SAC_14",12,1,1,0.0714285714285714,0.0714285714285714,0.857142857142857,7.46658702307175e-05,7.46658702307175e-05,0.00089599044276861
"CAMDA23_MetaSUB_gCSD16_SAC_15",40,164,6,0.780952380952381,0.0285714285714286,0.19047619047619,0.00969209857573429,0.000354588972282962,0.00236392648188641
"CAMDA23_MetaSUB_gCSD16_SAC_16",2,3,1,0.5,0.166666666666667,0.333333333333333,0.000111785967134926,3.72619890449752e-05,7.45239780899504e-05
"CAMDA23_MetaSUB_gCSD16_SAC_1",15,4,1,0.2,0.05,0.75,8.25934338220112e-05,2.06483584555028e-05,0.000309725376832542
"CAMDA23_MetaSUB_gCSD16_SAC_2",7,1,2,0.1,0.2,0.7,6.35687496026953e-05,0.000127137499205391,0.000444981247218867
"CAMDA23_MetaSUB_gCSD16_SAC_3",12,11,4,0.407407407407407,0.148148148148148,0.444444444444444,0.000158624866610908,5.76817696766937e-05,0.000173045309030081
"CAMDA23_MetaSUB_gCSD16_SAC_4",12,4,3,0.210526315789474,0.157894736842105,0.631578947368421,9.19328889910365e-05,6.89496667432774e-05,0.00027579866697311
"CAMDA23_MetaSUB_gCSD16_SAC_5",18,15,12,0.333333333333333,0.266666666666667,0.4,0.000253519698480572,0.000202815758784458,0.000304223638176686
"CAMDA23_MetaSUB_gCSD16_SAC_6",7,6,0,0.461538461538462,0,0.538461538461538,0.000176678445229682,0,0.000206124852767962
"CAMDA23_MetaSUB_gCSD16_SAC_7",31,26,4,0.426229508196721,0.0655737704918033,0.508196721311475,0.00316532748965181,0.000486973459946433,0.00377404431458485
"CAMDA23_MetaSUB_gCSD16_SAC_8",7,5,2,0.357142857142857,0.142857142857143,0.5,0.000145053669857847,5.8021467943139e-05,0.000203075137800986
"CAMDA23_MetaSUB_gCSD16_SAC_9",13,19,2,0.558823529411765,0.0588235294117647,0.382352941176471,0.000727829917640299,7.66136755410841e-05,0.000497988891017047
"CAMDA23_MetaSUB_gCSD16_TOK_10",1198,234,21,0.161046111493462,0.0144528561596696,0.824501032346869,0.00279386305295206,0.000250731299623903,0.0143036236642589
"CAMDA23_MetaSUB_gCSD16_TOK_11",1276,754,167,0.343195266272189,0.0760127446517979,0.580791989076013,0.000605847797212939,0.000134186448454325,0.00102528088759113
"CAMDA23_MetaSUB_gCSD16_TOK_12",306,60,43,0.146699266503667,0.105134474327628,0.748166259168704,5.30770067752799e-05,3.80385215222839e-05,0.000270692734553928
"CAMDA23_MetaSUB_gCSD16_TOK_13",651,367,298,0.27887537993921,0.22644376899696,0.49468085106383,0.000319346201738044,0.000259305635198739,0.000566469693001271
"CAMDA23_MetaSUB_gCSD16_TOK_14",944,864,186,0.433299899699097,0.0932798395185557,0.473420260782347,0.000881158805417903,0.000189693909499687,0.000962747583697338
"CAMDA23_MetaSUB_gCSD16_TOK_15",190,302,126,0.488673139158576,0.203883495145631,0.307443365695793,0.000351711624418569,0.000146740611512383,0.000221275525296451
"CAMDA23_MetaSUB_gCSD16_TOK_16",480,134,244,0.156177156177156,0.284382284382284,0.559440559440559,0.00021203001332308,0.000386084501871877,0.000759510495485659
"CAMDA23_MetaSUB_gCSD16_TOK_17",124,69,31,0.308035714285714,0.138392857142857,0.553571428571429,6.25019814939785e-05,2.80806003813527e-05,0.000112322401525411
"CAMDA23_MetaSUB_gCSD16_TOK_18",86,113,28,0.497797356828194,0.123348017621145,0.378854625550661,0.000150260162839465,3.72326067212834e-05,0.000114357292072513
"CAMDA23_MetaSUB_gCSD16_TOK_19",610,125,18,0.166002656042497,0.0239043824701195,0.810092961487384,6.81894182024287e-05,9.81927622114974e-06,0.000332764360827852
"CAMDA23_MetaSUB_gCSD16_TOK_1",481,301,241,0.294232649071359,0.235581622678397,0.470185728250244,0.000528584850161122,0.00042321909929844,0.000844682102749168
"CAMDA23_MetaSUB_gCSD16_TOK_20",627,689,97,0.48761500353857,0.0686482661004954,0.443736730360934,0.000529369236194719,7.45265833249459e-05,0.000481733688090114
"CAMDA23_MetaSUB_gCSD16_TOK_21",183,151,236,0.264912280701754,0.414035087719298,0.321052631578947,0.000112302977070112,0.000175519884692361,0.000136102283469076
"CAMDA23_MetaSUB_gCSD16_TOK_22",41,28,1562,0.0171673819742489,0.957694665849172,0.0251379521765788,1.41937446139808e-05,0.000791808181679931,2.07836974704719e-05
"CAMDA23_MetaSUB_gCSD16_TOK_23",96,27,23,0.184931506849315,0.157534246575342,0.657534246575342,4.38190047892549e-05,3.7327300376032e-05,0.000155800905917351
"CAMDA23_MetaSUB_gCSD16_TOK_24",312,181,56,0.329690346083789,0.10200364298725,0.568306010928962,0.000696159201224625,0.000215386272202094,0.00120000923084024
"CAMDA23_MetaSUB_gCSD16_TOK_2",357,60,36,0.132450331125828,0.0794701986754967,0.788079470198676,7.68682836337175e-05,4.61209701802305e-05,0.000457366287620619
"CAMDA23_MetaSUB_gCSD16_TOK_3",304,95,37,0.217889908256881,0.0848623853211009,0.697247706422018,0.000144502296065431,5.62798416254835e-05,0.000462407347409378
"CAMDA23_MetaSUB_gCSD16_TOK_4",93,80,148,0.249221183800623,0.461059190031153,0.289719626168224,3.93542944143958e-05,7.28054446666322e-05,4.57493672567351e-05
"CAMDA23_MetaSUB_gCSD16_TOK_5",1668,379,396,0.155137126483831,0.162095783872288,0.68276708964388,0.000945455452583788,0.00098786374465219,0.00416100183353498
"CAMDA23_MetaSUB_gCSD16_TOK_6",137,111,28,0.402173913043478,0.101449275362319,0.496376811594203,8.1042128764991e-05,2.0443059508286e-05,0.000100024969736971
"CAMDA23_MetaSUB_gCSD16_TOK_7",3396,1880,647,0.317406719567787,0.109235184872531,0.573358095559683,0.00503300904335348,0.00173210470800516,0.0090915418676747
"CAMDA23_MetaSUB_gCSD16_TOK_8",2133,364,1778,0.0851461988304094,0.415906432748538,0.498947368421053,0.000312678512371847,0.00152731427197018,0.00183226172222294
