Sample	City	Taxon	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
NYC_Kl_2015_GCF_027584585.1	NYC	Kl	2.0	3.0	1.0	582.0	0.0	345.0	6.0	38.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027584695.1	NYC	Kl	2.0	3.0	1.0	588.0	0.0	340.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027585065.1	NYC	Kl	2.0	3.0	1.0	584.0	0.0	348.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027585115.1	NYC	Kl	2.0	3.0	1.0	586.0	0.0	348.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027585155.1	NYC	Kl	2.0	3.0	1.0	586.0	0.0	348.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2015_GCF_027585165.1	NYC	Kl	2.0	3.0	1.0	586.0	0.0	348.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2016_GCF_002833425.1	NYC	Kl	2.0	3.0	1.0	588.0	0.0	348.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2016_GCF_002833445.1	NYC	Kl	2.0	3.0	1.0	588.0	0.0	348.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2016_GCF_002833465.1	NYC	Kl	2.0	3.0	1.0	587.0	0.0	348.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2016_GCF_002856235.1	NYC	Kl	2.0	3.0	1.0	584.0	0.0	347.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2016_GCF_002856705.1	NYC	Kl	2.0	3.0	1.0	590.0	0.0	341.0	6.0	36.0	17.0	2.0	5.0	8.0	5.0
NYC_Kl_2016_GCF_002856765.1	NYC	Kl	2.0	3.0	1.0	579.0	0.0	330.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2016_GCF_002857345.1	NYC	Kl	2.0	3.0	1.0	589.0	0.0	346.0	6.0	38.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002855815.1	NYC	Kl	2.0	3.0	1.0	581.0	0.0	348.0	6.0	35.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002855825.1	NYC	Kl	2.0	3.0	1.0	591.0	0.0	347.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002855915.1	NYC	Kl	2.0	3.0	1.0	583.0	0.0	348.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002855955.1	NYC	Kl	2.0	3.0	1.0	586.0	0.0	326.0	6.0	36.0	21.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002855985.1	NYC	Kl	2.0	3.0	1.0	581.0	0.0	336.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856015.1	NYC	Kl	2.0	3.0	1.0	571.0	0.0	331.0	5.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856025.1	NYC	Kl	2.0	3.0	1.0	590.0	0.0	351.0	6.0	37.0	18.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856075.1	NYC	Kl	2.0	3.0	1.0	595.0	0.0	347.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856155.1	NYC	Kl	2.0	3.0	1.0	587.0	0.0	343.0	7.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856185.1	NYC	Kl	2.0	3.0	1.0	571.0	0.0	333.0	5.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856315.1	NYC	Kl	2.0	3.0	1.0	581.0	0.0	353.0	6.0	37.0	16.0	2.0	5.0	8.0	5.0
NYC_Kl_2017_GCF_002856325.1	NYC	Kl	2.0	3.0	1.0	574.0	0.0	340.0	7.0	36.0	16.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856385.1	NYC	Kl	2.0	3.0	1.0	581.0	0.0	345.0	7.0	36.0	17.0	2.0	5.0	10.0	4.0
NYC_Kl_2017_GCF_002856395.1	NYC	Kl	2.0	3.0	1.0	577.0	0.0	331.0	6.0	36.0	17.0	2.0	4.0	10.0	5.0
NYC_Kl_2017_GCF_002856415.1	NYC	Kl	2.0	3.0	1.0	579.0	1.0	340.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856455.1	NYC	Kl	2.0	3.0	1.0	589.0	0.0	345.0	6.0	38.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856535.1	NYC	Kl	2.0	3.0	1.0	578.0	0.0	335.0	5.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856565.1	NYC	Kl	2.0	3.0	1.0	582.0	0.0	336.0	7.0	38.0	18.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856575.1	NYC	Kl	2.0	3.0	1.0	588.0	0.0	342.0	7.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856615.1	NYC	Kl	2.0	3.0	1.0	591.0	0.0	352.0	5.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856635.1	NYC	Kl	2.0	3.0	1.0	589.0	0.0	342.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856675.1	NYC	Kl	2.0	3.0	1.0	578.0	0.0	345.0	6.0	36.0	21.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856885.1	NYC	Kl	2.0	3.0	1.0	575.0	0.0	339.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856905.1	NYC	Kl	2.0	3.0	1.0	582.0	0.0	347.0	5.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856915.1	NYC	Kl	2.0	3.0	1.0	586.0	0.0	340.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856945.1	NYC	Kl	2.0	3.0	1.0	591.0	0.0	348.0	7.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002856995.1	NYC	Kl	2.0	3.0	1.0	584.0	0.0	340.0	6.0	37.0	18.0	2.0	5.0	8.0	5.0
NYC_Kl_2017_GCF_002857005.1	NYC	Kl	2.0	3.0	1.0	584.0	0.0	340.0	5.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002857035.1	NYC	Kl	2.0	3.0	1.0	576.0	0.0	345.0	6.0	36.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002857065.1	NYC	Kl	2.0	3.0	1.0	582.0	0.0	344.0	5.0	36.0	18.0	2.0	5.0	10.0	4.0
NYC_Kl_2017_GCF_002857085.1	NYC	Kl	2.0	3.0	1.0	591.0	0.0	344.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002857115.1	NYC	Kl	2.0	3.0	1.0	585.0	1.0	340.0	6.0	39.0	18.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002857125.1	NYC	Kl	2.0	3.0	1.0	583.0	0.0	344.0	6.0	38.0	17.0	2.0	4.0	10.0	5.0
NYC_Kl_2017_GCF_002857135.1	NYC	Kl	2.0	3.0	1.0	577.0	0.0	328.0	6.0	36.0	21.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002857205.1	NYC	Kl	2.0	3.0	1.0	587.0	0.0	349.0	6.0	37.0	17.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002857235.1	NYC	Kl	2.0	3.0	1.0	571.0	0.0	331.0	6.0	37.0	16.0	2.0	5.0	10.0	5.0
NYC_Kl_2017_GCF_002857315.1	NYC	Kl	2.0	3.0	0.0	580.0	0.0	342.0	6.0	33.0	17.0	2.0	5.0	8.0	5.0
SAN_Kl_2016_GCF_019928325.1	SAN	Kl	2.0	3.0	1.0	575.0	0.0	334.0	7.0	36.0	17.0	2.0	5.0	10.0	4.0
SAN_Kl_2017_GCF_019927925.1	SAN	Kl	2.0	3.0	1.0	588.0	0.0	345.0	6.0	38.0	17.0	2.0	5.0	10.0	5.0
SAN_Kl_2018_GCF_019927725.1	SAN	Kl	2.0	3.0	1.0	587.0	0.0	343.0	7.0	37.0	17.0	2.0	5.0	10.0	5.0
SAN_Kl_2018_GCF_019927885.1	SAN	Kl	2.0	3.0	1.0	590.0	1.0	346.0	7.0	38.0	18.0	2.0	5.0	10.0	5.0
