"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"94625","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae",NA,NA
"288000","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae",NA,NA
"2795690","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Kaistiaceae",NA,NA
"1482074","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Pleomorphomonadaceae",NA,NA
"2928472","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Amorphaceae",NA,NA
"1124597","Bacteria","Pseudomonadota","Alphaproteobacteria","Magnetococcales","Magnetococcaceae",NA,NA
"297","Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"1710","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Promicromonosporaceae",NA,NA
"556288","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Dermabacteraceae",NA,NA
"262209","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Intrasporangiaceae",NA,NA
"2171623","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Beutenbergiaceae",NA,NA
"1288636","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Ornithinimicrobiaceae",NA,NA
"2675754","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Ruaniaceae",NA,NA
"2716227","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Dermatophilaceae",NA,NA
"2053","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Gordoniaceae",NA,NA
"1528099","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae",NA,NA
"2736640","Bacteria","Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae",NA,NA
"1873","Bacteria","Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae",NA,NA
"1909395","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae",NA,NA
"28049","Bacteria","Actinomycetota","Actinomycetes","Acidothermales","Acidothermaceae",NA,NA
"131568","Bacteria","Actinomycetota","Actinomycetes","Kineosporiales","Kineosporiaceae",NA,NA
"2487072","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae",NA,NA
"2596915","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae",NA,NA
"56","Bacteria","Myxococcota","Myxococcia","Polyangiales","Polyangiaceae",NA,NA
"547188","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,NA
"1473598","Bacteria","Acidobacteriota","Terriglobia","Bryobacterales","Bryobacteraceae",NA,NA
"2874846","Archaea","Euryarchaeota","Candidatus Methanoliparia","Candidatus Methanoliparales","Candidatus Methanoliparaceae",NA,NA
"2067415","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae",NA,NA
"2774137","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae",NA,NA
"1842539","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Boseaceae",NA,NA
"674703","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae",NA,NA
"1868589","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phreatobacteraceae",NA,NA
"1798205","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Cohaesibacteraceae",NA,NA
"2304600","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Breoghaniaceae",NA,NA
"59779","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae",NA,NA
"2854170","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae",NA,NA
"207340","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"192","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae",NA,NA
"2602016","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,NA
"1288970","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae",NA,NA
"94","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Stellaceae",NA,NA
"2775080","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Kiloniellaceae",NA,NA
"2843330","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Elioraeaceae",NA,NA
"2560057","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae",NA,NA
"1526572","Bacteria","Pseudomonadota","Alphaproteobacteria","Parvularculales","Parvularculaceae",NA,NA
"2029849","Bacteria","Pseudomonadota","Alphaproteobacteria","Maricaulales","Maricaulaceae",NA,NA
"2857064","Bacteria","Pseudomonadota","Alphaproteobacteria","Emcibacterales","Emcibacteraceae",NA,NA
"1873716","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomonadales","Hyphomonadaceae",NA,NA
"2697027","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Bruguierivoracaceae",NA,NA
"2161747","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae",NA,NA
"137584","Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Colwelliaceae",NA,NA
"3019969","Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae",NA,NA
"1579979","Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Wenzhouxiangellaceae",NA,NA
"437505","Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Granulosicoccaceae",NA,NA
"83771","Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae",NA,NA
"414","Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylococcaceae",NA,NA
"729","Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"446","Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae",NA,NA
"2303331","Bacteria","Pseudomonadota","Gammaproteobacteria","Nevskiales","Sinobacteraceae",NA,NA
"465721","Bacteria","Pseudomonadota","Gammaproteobacteria","Nevskiales","Steroidobacteraceae",NA,NA
"2718","Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae",NA,NA
"2183911","Bacteria","Pseudomonadota","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae",NA,NA
"1810504","Bacteria","Pseudomonadota","Gammaproteobacteria","Immundisolibacterales","Immundisolibacteraceae",NA,NA
"914150","Bacteria","Pseudomonadota","Gammaproteobacteria","Kangiellales","Kangiellaceae",NA,NA
"119219","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae",NA,NA
"217203","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA
"490","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA
"535","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Chromobacteriaceae",NA,NA
"76259","Bacteria","Pseudomonadota","Betaproteobacteria","Rhodocyclales","Azonexaceae",NA,NA
"1682490","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Gallionellaceae",NA,NA
"2732067","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Usitatibacteraceae",NA,NA
"2591109","Bacteria","Pseudomonadota","Betaproteobacteria","","Casimicrobiaceae",NA,NA
"28037","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae",NA,NA
"46124","Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae",NA,NA
"37734","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae",NA,NA
"405212","Bacteria","Bacillota","Bacilli","Bacillales","Alicyclobacillaceae",NA,NA
"37482","Bacteria","Bacillota","Bacilli","Bacillales","Thermoactinomycetaceae",NA,NA
"29370","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae",NA,NA
"853","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae",NA,NA
"1505","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae",NA,NA
"49338","Bacteria","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae",NA,NA
"2546351","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiales Family XVII. Incertae Sedis",NA,NA
"35701","Bacteria","Bacillota","Clostridia","Eubacteriales","Heliobacteriaceae",NA,NA
"338645","Bacteria","Bacillota","Clostridia","Eubacteriales","Syntrophomonadaceae",NA,NA
"2086585","Bacteria","Bacillota","Clostridia","Eubacteriales","Christensenellaceae",NA,NA
"1517","Bacteria","Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis",NA,NA
"2331","Bacteria","Bacillota","Clostridia","Halanaerobiales","Halanaerobiaceae",NA,NA
"499229","Bacteria","Bacillota","Clostridia","Thermosediminibacterales","Tepidanaerobacteraceae",NA,NA
"29466","Bacteria","Bacillota","Negativicutes","Veillonellales","Veillonellaceae",NA,NA
"1556","Bacteria","Bacillota","Tissierellia","Tissierellales","Gottschalkiaceae",NA,NA
"36805","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae",NA,NA
"1270","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae",NA,NA
"2881056","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Demequinaceae",NA,NA
"1828","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae",NA,NA
"38304","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae",NA,NA
"546871","Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae",NA,NA
"117157","Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Actinopolymorphaceae",NA,NA
"544580","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae",NA,NA
"46165","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Thermomonosporaceae",NA,NA
"163604","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Nocardiopsaceae",NA,NA
"2851567","Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae",NA,NA
"298654","Bacteria","Actinomycetota","Actinomycetes","Frankiales","Frankiaceae",NA,NA
"53461","Bacteria","Actinomycetota","Actinomycetes","Nakamurellales","Nakamurellaceae",NA,NA
"414996","Bacteria","Actinomycetota","Actinomycetes","Actinopolysporales","Actinopolysporaceae",NA,NA
"283811","Bacteria","Actinomycetota","Actinomycetes","Glycomycetales","Glycomycetaceae",NA,NA
"1382","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae",NA,NA
"74426","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA
"191495","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Conexibacteraceae",NA,NA
"2949664","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Paraconexibacteraceae",NA,NA
"2884022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Capillimicrobiaceae",NA,NA
"2722752","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Iamiaceae",NA,NA
"53635","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae",NA,NA
"467094","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae",NA,NA
"2997333","Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales","Baekduiaceae",NA,NA
"1670830","Bacteria","Actinomycetota","Nitriliruptoria","Egicoccales","Egicoccaceae",NA,NA
"1608957","Bacteria","Actinomycetota","Nitriliruptoria","Euzebyales","Euzebyaceae",NA,NA
"1670831","Bacteria","Actinomycetota","Nitriliruptoria","Egibacterales","Egibacteraceae",NA,NA
"1173263","Bacteria","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae",NA,NA
"1147","Bacteria","Cyanobacteriota","Cyanophyceae","Synechococcales","Merismopediaceae",NA,NA
"1173032","Bacteria","Cyanobacteriota","Cyanophyceae","Synechococcales","Chamaesiphonaceae",NA,NA
"119532","Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Microcoleaceae",NA,NA
"482564","Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Oscillatoriaceae",NA,NA
"379064","Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales","Geminocystaceae",NA,NA
"1752064","Bacteria","Cyanobacteriota","Cyanophyceae","Pseudanabaenales","Leptolyngbyaceae",NA,NA
"2303528","Bacteria","Cyanobacteriota","Cyanophyceae","Pseudanabaenales","Oculatellaceae",NA,NA
"102116","Bacteria","Cyanobacteriota","Cyanophyceae","Pleurocapsales","Dermocarpellaceae",NA,NA
"118163","Bacteria","Cyanobacteriota","Cyanophyceae","Pleurocapsales","Hyellaceae",NA,NA
"2080419","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae",NA,NA
"2782163","Bacteria","Mycoplasmatota","Candidatus Izimaplasma","Candidatus Izemoplasmatales","Candidatus Izemoplasmataceae",NA,NA
"3004094","Bacteria","Chloroflexota","Tepidiformia","Tepidiformales","Tepidiformaceae",NA,NA
"2509675","Bacteria","Chloroflexota","Ktedonobacteria","Ktedonobacterales","Ktedonosporobacteraceae",NA,NA
"1005039","Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",NA,NA
"165179","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"712435","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae",NA,NA
"2681766","Bacteria","Bacteroidota","Bacteroidia","Marinilabiliales","Prolixibacteraceae",NA,NA
"1085624","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Persicobacteraceae",NA,NA
"2321403","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Fulvivirgaceae",NA,NA
"2715131","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Mangrovivirgaceae",NA,NA
"1653831","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Blattabacteriaceae",NA,NA
"253245","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Schleiferiaceae",NA,NA
"2502779","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae",NA,NA
"2350","Bacteria","Bacteroidota","Saprospiria","Saprospirales","Haliscomenobacteraceae",NA,NA
"861299","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA
"2528009","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Lacipirellulaceae",NA,NA
"2528023","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae",NA,NA
"1636152","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA
"2527974","Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae",NA,NA
"2807512","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA,NA
"174633","Bacteria","Planctomycetota","Candidatus Brocadiia","Candidatus Brocadiales","Candidatus Brocadiaceae",NA,NA
"2866311","Bacteria","Verrucomicrobiota","Opitutae","Puniceicoccales","Puniceicoccaceae",NA,NA
"1307763","Bacteria","Kiritimatiellota","Kiritimatiellia","Kiritimatiellales","Kiritimatiellaceae",NA,NA
"1658616","Bacteria","Lentisphaerota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae",NA,NA
"83451","Bacteria","Myxococcota","Myxococcia","Myxococcales","Archangiaceae",NA,NA
"2918170","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae",NA,NA
"1391653","Bacteria","Myxococcota","Myxococcia","Myxococcales","Vulgatibacteraceae",NA,NA
"1391654","Bacteria","Myxococcota","Myxococcia","Polyangiales","Labilitrichaceae",NA,NA
"80816","Bacteria","Myxococcota","Myxococcia","Haliangiales","Kofleriaceae",NA,NA
"876","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"132132","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae",NA,NA
"2495594","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA
"2802975","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Desulfuromonadaceae",NA,NA
"2847045","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Geoalkalibacteraceae",NA,NA
"181663","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfosudaceae",NA,NA
"45655","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfococcaceae",NA,NA
"2569541","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"1653476","Bacteria","Thermodesulfobacteriota","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae",NA,NA
"1621989","Bacteria","Thermodesulfobacteriota","Candidatus Desulfofervidia","Candidatus Desulfofervidales","Candidatus Desulfofervidaceae",NA,NA
"2358","Bacteria","Thermodesulfobacteriota","Desulfomonilia","Desulfomonilales","Desulfomonilaceae",NA,NA
"210","Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",NA,NA
"291048","Bacteria","Campylobacterota","Epsilonproteobacteria","Nautiliales","Nautiliaceae",NA,NA
"392734","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae",NA,NA
"2818388","Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA
"851","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA
"959","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Pseudobdellovibrionaceae",NA,NA
"673862","Bacteria","","Candidatus Babeliae","Candidatus Babeliales","Candidatus Babeliaceae",NA,NA
"81412","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae",NA,NA
"97477","Bacteria","Synergistota","Synergistia","Synergistales","Acetomicrobiaceae",NA,NA
"2292766","Bacteria","","Deltaproteobacteria","Bradymonadales","Bradymonadaceae",NA,NA
"248039","Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Mucispirillaceae",NA,NA
"2715679","Bacteria","Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrionales","Dissulfurispiraceae",NA,NA
"651457","Bacteria","Thermotogota","Thermotogae","Kosmotogales","Kosmotogaceae",NA,NA
"423605","Bacteria","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae",NA,NA
"2878391","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae",NA,NA
"1333523","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Natronoarchaeaceae",NA,NA
"1644061","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae",NA,NA
"2743089","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae",NA,NA
"475088","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae",NA,NA
"2208","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae",NA,NA
"1104324","Archaea","Thermoproteota","Thermoprotei","Thermoproteales","Thermoproteaceae",NA,NA
"1577685","Archaea","Thermoproteota","Thermoprotei","Acidilobales","Acidilobaceae",NA,NA
"498374","Archaea","Nitrososphaerota","Nitrososphaeria","Candidatus Nitrosocaldales","Candidatus Nitrosocaldaceae",NA,NA
"1291540","Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Candidatus Methanomethylophilaceae",NA,NA
"2944128","Bacteria","Actinomycetota","Actinomycetes","Jatrophihabitantales","Jatrophihabitantaceae",NA,NA
"2949993","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae",NA,NA
"2743","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae",NA,NA
"614","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae",NA,NA
"2303332","Bacteria","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,NA
"2593653","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Parvibaculaceae",NA,NA
"2715678","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Sulfuricellaceae",NA,NA
"47770","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"2756","Bacteria","Bacillota","Bacilli","Bacillales","Listeriaceae",NA,NA
