Sample	City	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	CMP-legionaminate biosynthesis I	CMP-legionaminate biosynthesis II
CAMDA23_MetaSUB_gCSD16_DOH_14	DOH	0.0	0.0	6.285714285714286	0.0
CAMDA23_MetaSUB_gCSD16_DOH_15	DOH	0.0	0.0	3.0	0.0
CAMDA23_MetaSUB_gCSD16_DOH_2	DOH	0.0	0.0	9.375	0.0
CAMDA23_MetaSUB_gCSD16_DOH_4	DOH	0.0	0.0	2.571428571428572	0.0
CAMDA23_MetaSUB_gCSD16_DOH_5	DOH	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_DOH_6	DOH	0.0	0.0	2.4	0.0
CAMDA23_MetaSUB_gCSD16_ILR_1	ILR	3.5	0.0	77.3	2.6666666666666665
CAMDA23_MetaSUB_gCSD16_ILR_10	ILR	4.5	0.0	95.9	4.0
CAMDA23_MetaSUB_gCSD16_ILR_11	ILR	6.0	0.0	125.3	4.333333333333333
CAMDA23_MetaSUB_gCSD16_ILR_12	ILR	0.0	0.0	60.7	3.6666666666666665
CAMDA23_MetaSUB_gCSD16_ILR_13	ILR	4.0	0.0	99.3	2.0
CAMDA23_MetaSUB_gCSD16_ILR_14	ILR	1.0	0.0	60.6	2.0
CAMDA23_MetaSUB_gCSD16_ILR_15	ILR	5.5	0.0	106.4	3.6666666666666665
CAMDA23_MetaSUB_gCSD16_ILR_16	ILR	1.5	0.0	44.22222222222222	0.0
CAMDA23_MetaSUB_gCSD16_ILR_2	ILR	4.666666666666667	3.5	108.9	6.666666666666667
CAMDA23_MetaSUB_gCSD16_ILR_3	ILR	3.0	0.0	71.7	3.0
CAMDA23_MetaSUB_gCSD16_ILR_4	ILR	5.5	0.0	60.1	2.0
CAMDA23_MetaSUB_gCSD16_ILR_5	ILR	1.0	0.0	33.0	1.0
CAMDA23_MetaSUB_gCSD16_ILR_6	ILR	6.0	0.0	78.6	4.333333333333333
CAMDA23_MetaSUB_gCSD16_ILR_7	ILR	7.0	0.0	101.9	4.0
CAMDA23_MetaSUB_gCSD16_ILR_9	ILR	2.5	0.0	26.11111111111111	1.5
CAMDA23_MetaSUB_gCSD16_LIS_1	LIS	0.0	0.0	27.11111111111111	1.0
CAMDA23_MetaSUB_gCSD16_LIS_11	LIS	2.0	0.0	31.444444444444443	1.0
CAMDA23_MetaSUB_gCSD16_LIS_12	LIS	0.0	0.0	9.5	0.0
CAMDA23_MetaSUB_gCSD16_LIS_13	LIS	2.0	0.0	32.44444444444444	2.5
CAMDA23_MetaSUB_gCSD16_LIS_14	LIS	1.0	0.0	31.11111111111111	2.0
CAMDA23_MetaSUB_gCSD16_LIS_15	LIS	1.5	0.0	8.875	0.0
CAMDA23_MetaSUB_gCSD16_LIS_16	LIS	0.0	0.0	31.0	0.0
CAMDA23_MetaSUB_gCSD16_LIS_2	LIS	0.0	0.0	8.777777777777779	0.0
CAMDA23_MetaSUB_gCSD16_LIS_3	LIS	0.0	0.0	18.625	0.0
CAMDA23_MetaSUB_gCSD16_LIS_4	LIS	3.5	0.0	35.77777777777778	1.0
CAMDA23_MetaSUB_gCSD16_LIS_5	LIS	0.0	0.0	10.75	0.0
CAMDA23_MetaSUB_gCSD16_LIS_6	LIS	0.0	0.0	10.4	2.0
CAMDA23_MetaSUB_gCSD16_LIS_8	LIS	1.0	0.0	11.125	0.0
CAMDA23_MetaSUB_gCSD16_LIS_9	LIS	0.0	0.0	17.875	0.0
CAMDA23_MetaSUB_gCSD16_NYC_1	NYC	0.0	0.0	10.25	0.0
CAMDA23_MetaSUB_gCSD16_NYC_10	NYC	2.5	0.0	41.22222222222222	0.0
CAMDA23_MetaSUB_gCSD16_NYC_11	NYC	0.0	0.0	80.6	1.3333333333333333
CAMDA23_MetaSUB_gCSD16_NYC_12	NYC	1.0	0.0	32.333333333333336	0.0
CAMDA23_MetaSUB_gCSD16_NYC_13	NYC	1.5	0.0	52.22222222222222	0.0
CAMDA23_MetaSUB_gCSD16_NYC_14	NYC	0.0	0.0	13.75	0.0
CAMDA23_MetaSUB_gCSD16_NYC_15	NYC	2.0	0.0	48.77777777777778	1.0
CAMDA23_MetaSUB_gCSD16_NYC_16	NYC	0.0	0.0	30.875	0.0
CAMDA23_MetaSUB_gCSD16_NYC_17	NYC	0.0	0.0	12.88888888888889	0.0
CAMDA23_MetaSUB_gCSD16_NYC_18	NYC	0.0	0.0	36.3	2.0
CAMDA23_MetaSUB_gCSD16_NYC_19	NYC	0.0	0.0	16.0	0.0
CAMDA23_MetaSUB_gCSD16_NYC_2	NYC	0.0	0.0	2.0	0.0
CAMDA23_MetaSUB_gCSD16_NYC_20	NYC	0.0	0.0	40.0	2.5
CAMDA23_MetaSUB_gCSD16_NYC_21	NYC	3.5	0.0	57.2	1.6666666666666667
CAMDA23_MetaSUB_gCSD16_NYC_22	NYC	0.0	0.0	21.625	0.0
CAMDA23_MetaSUB_gCSD16_NYC_23	NYC	0.0	0.0	61.22222222222222	1.5
CAMDA23_MetaSUB_gCSD16_NYC_24	NYC	1.3333333333333333	1.5	47.9	3.0
CAMDA23_MetaSUB_gCSD16_NYC_25	NYC	0.0	0.0	14.0	0.0
CAMDA23_MetaSUB_gCSD16_NYC_26	NYC	0.0	0.0	48.625	0.0
CAMDA23_MetaSUB_gCSD16_NYC_3	NYC	0.0	0.0	8.125	0.0
CAMDA23_MetaSUB_gCSD16_NYC_4	NYC	0.0	0.0	11.375	0.0
CAMDA23_MetaSUB_gCSD16_NYC_5	NYC	2.0	0.0	24.875	0.0
CAMDA23_MetaSUB_gCSD16_NYC_6	NYC	0.0	0.0	8.375	0.0
CAMDA23_MetaSUB_gCSD16_NYC_7	NYC	10.5	0.0	165.9	9.0
CAMDA23_MetaSUB_gCSD16_NYC_8	NYC	0.0	0.0	45.375	0.0
CAMDA23_MetaSUB_gCSD16_NYC_9	NYC	0.0	0.0	33.0	0.0
CAMDA23_MetaSUB_gCSD16_SAC_1	SAC	0.0	0.0	7.75	0.0
CAMDA23_MetaSUB_gCSD16_SAC_10	SAC	0.0	0.0	2.0	0.0
CAMDA23_MetaSUB_gCSD16_SAC_13	SAC	0.0	0.0	7.125	0.0
CAMDA23_MetaSUB_gCSD16_SAC_14	SAC	0.0	0.0	1.5	0.0
CAMDA23_MetaSUB_gCSD16_SAC_15	SAC	0.0	0.0	2.6	0.0
CAMDA23_MetaSUB_gCSD16_SAC_16	SAC	0.0	0.0	4.571428571428571	0.0
CAMDA23_MetaSUB_gCSD16_SAC_2	SAC	0.0	0.0	2.5	0.0
CAMDA23_MetaSUB_gCSD16_SAC_3	SAC	0.0	0.0	22.9	1.0
CAMDA23_MetaSUB_gCSD16_SAC_4	SAC	0.0	0.0	11.88888888888889	0.0
CAMDA23_MetaSUB_gCSD16_SAC_5	SAC	0.0	0.0	10.11111111111111	0.0
CAMDA23_MetaSUB_gCSD16_SAC_6	SAC	0.0	0.0	5.75	0.0
CAMDA23_MetaSUB_gCSD16_SAC_8	SAC	0.0	0.0	6.714285714285714	0.0
CAMDA23_MetaSUB_gCSD16_SAC_9	SAC	0.0	0.0	4.375	0.0
CAMDA23_MetaSUB_gCSD16_TOK_1	TOK	2.0	0.0	46.333333333333336	0.0
CAMDA23_MetaSUB_gCSD16_TOK_10	TOK	0.0	0.0	6.625	0.0
CAMDA23_MetaSUB_gCSD16_TOK_11	TOK	1.5	0.0	53.44444444444444	0.0
CAMDA23_MetaSUB_gCSD16_TOK_12	TOK	0.0	0.0	30.77777777777778	0.0
CAMDA23_MetaSUB_gCSD16_TOK_13	TOK	1.5	0.0	29.11111111111111	0.0
CAMDA23_MetaSUB_gCSD16_TOK_14	TOK	1.0	0.0	51.8	1.3333333333333333
CAMDA23_MetaSUB_gCSD16_TOK_15	TOK	1.0	0.0	47.0	0.0
CAMDA23_MetaSUB_gCSD16_TOK_16	TOK	3.0	0.0	26.5	0.0
CAMDA23_MetaSUB_gCSD16_TOK_17	TOK	1.0	0.0	37.22222222222222	0.0
CAMDA23_MetaSUB_gCSD16_TOK_18	TOK	0.0	0.0	44.0	1.0
CAMDA23_MetaSUB_gCSD16_TOK_19	TOK	2.0	0.0	20.5	0.0
CAMDA23_MetaSUB_gCSD16_TOK_2	TOK	0.0	0.0	13.333333333333334	0.0
CAMDA23_MetaSUB_gCSD16_TOK_20	TOK	4.5	0.0	57.2	3.0
CAMDA23_MetaSUB_gCSD16_TOK_21	TOK	1.5	0.0	57.77777777777778	1.0
CAMDA23_MetaSUB_gCSD16_TOK_22	TOK	0.0	0.0	27.0	1.5
CAMDA23_MetaSUB_gCSD16_TOK_23	TOK	0.0	0.0	4.666666666666667	0.0
CAMDA23_MetaSUB_gCSD16_TOK_24	TOK	3.0	0.0	58.0	2.5
CAMDA23_MetaSUB_gCSD16_TOK_3	TOK	1.6666666666666667	1.0	58.44444444444444	2.5
CAMDA23_MetaSUB_gCSD16_TOK_4	TOK	0.0	0.0	8.625	0.0
CAMDA23_MetaSUB_gCSD16_TOK_5	TOK	0.0	0.0	13.5	0.0
CAMDA23_MetaSUB_gCSD16_TOK_6	TOK	0.0	0.0	33.25	0.0
CAMDA23_MetaSUB_gCSD16_TOK_7	TOK	3.0	0.0	48.888888888888886	0.0
CAMDA23_MetaSUB_gCSD16_TOK_8	TOK	4.5	0.0	81.8	2.0
CAMDA23_MetaSUB_gCSD16_TOK_9	TOK	0.0	0.0	33.888888888888886	0.0
CAMDA23_MetaSUB_gCSD17_BAL_1	BAL	0.0	0.0	3.75	0.0
CAMDA23_MetaSUB_gCSD17_BAL_10	BAL	0.0	0.0	2.1666666666666665	0.0
CAMDA23_MetaSUB_gCSD17_BAL_11	BAL	0.0	0.0	7.166666666666667	0.0
CAMDA23_MetaSUB_gCSD17_BAL_12	BAL	0.0	0.0	9.0	0.0
CAMDA23_MetaSUB_gCSD17_BAL_14	BAL	0.0	0.0	4.875	0.0
CAMDA23_MetaSUB_gCSD17_BAL_2	BAL	0.0	0.0	4.5	0.0
CAMDA23_MetaSUB_gCSD17_BAL_3	BAL	0.0	0.0	11.625	0.0
CAMDA23_MetaSUB_gCSD17_BAL_4	BAL	0.0	0.0	1.0	0.0
CAMDA23_MetaSUB_gCSD17_BAL_5	BAL	0.0	0.0	8.875	0.0
CAMDA23_MetaSUB_gCSD17_BAL_6	BAL	0.0	0.0	7.75	0.0
CAMDA23_MetaSUB_gCSD17_BAL_7	BAL	0.0	0.0	12.666666666666666	0.0
CAMDA23_MetaSUB_gCSD17_BAL_8	BAL	0.0	0.0	15.625	0.0
CAMDA23_MetaSUB_gCSD17_BAL_9	BAL	0.0	0.0	11.625	0.0
CAMDA23_MetaSUB_gCSD17_DEN_1	DEN	0.0	0.0	5.0	0.0
CAMDA23_MetaSUB_gCSD17_DEN_11	DEN	0.0	0.0	4.5	0.0
CAMDA23_MetaSUB_gCSD17_DEN_15	DEN	0.0	0.0	5.571428571428571	0.0
CAMDA23_MetaSUB_gCSD17_DEN_16	DEN	0.0	0.0	4.714285714285714	0.0
CAMDA23_MetaSUB_gCSD17_DEN_17	DEN	0.0	0.0	5.111111111111111	0.0
CAMDA23_MetaSUB_gCSD17_DEN_18	DEN	0.0	0.0	2.333333333333333	0.0
CAMDA23_MetaSUB_gCSD17_DEN_19	DEN	0.0	0.0	4.666666666666667	0.0
CAMDA23_MetaSUB_gCSD17_DEN_2	DEN	0.0	0.0	1.6666666666666667	0.0
CAMDA23_MetaSUB_gCSD17_DEN_21	DEN	0.0	0.0	2.2857142857142856	0.0
CAMDA23_MetaSUB_gCSD17_DEN_22	DEN	0.0	0.0	1.6	0.0
CAMDA23_MetaSUB_gCSD17_DEN_23	DEN	0.0	0.0	8.125	0.0
CAMDA23_MetaSUB_gCSD17_DEN_3	DEN	0.0	0.0	3.0	0.0
CAMDA23_MetaSUB_gCSD17_DEN_5	DEN	0.0	0.0	2.857142857142857	0.0
CAMDA23_MetaSUB_gCSD17_DEN_7	DEN	0.0	0.0	5.142857142857143	0.0
CAMDA23_MetaSUB_gCSD17_DEN_8	DEN	0.0	0.0	2.875	0.0
CAMDA23_MetaSUB_gCSD17_DEN_9	DEN	0.0	0.0	5.125	0.0
CAMDA23_MetaSUB_gCSD17_DOH_1	DOH	0.0	0.0	12.333333333333334	0.0
CAMDA23_MetaSUB_gCSD17_DOH_10	DOH	0.0	0.0	7.25	0.0
CAMDA23_MetaSUB_gCSD17_DOH_11	DOH	1.0	0.0	25.5	0.0
CAMDA23_MetaSUB_gCSD17_DOH_12	DOH	0.0	0.0	13.625	0.0
CAMDA23_MetaSUB_gCSD17_DOH_13	DOH	0.0	0.0	6.857142857142857	0.0
CAMDA23_MetaSUB_gCSD17_DOH_14	DOH	0.0	0.0	25.375	0.0
CAMDA23_MetaSUB_gCSD17_DOH_2	DOH	1.0	0.0	12.125	0.0
CAMDA23_MetaSUB_gCSD17_DOH_3	DOH	0.0	0.0	15.75	0.0
CAMDA23_MetaSUB_gCSD17_DOH_4	DOH	0.0	0.0	5.5	0.0
CAMDA23_MetaSUB_gCSD17_DOH_5	DOH	0.0	0.0	8.777777777777779	0.0
CAMDA23_MetaSUB_gCSD17_DOH_6	DOH	0.0	0.0	12.22222222222222	0.0
CAMDA23_MetaSUB_gCSD17_DOH_7	DOH	0.0	0.0	14.75	0.0
CAMDA23_MetaSUB_gCSD17_DOH_8	DOH	0.0	0.0	3.8333333333333335	0.0
CAMDA23_MetaSUB_gCSD17_DOH_9	DOH	0.0	0.0	11.375	0.0
CAMDA23_MetaSUB_gCSD17_ILR_1	ILR	0.0	0.0	16.88888888888889	0.0
CAMDA23_MetaSUB_gCSD17_ILR_10	ILR	1.0	0.0	10.714285714285714	0.0
CAMDA23_MetaSUB_gCSD17_ILR_11	ILR	0.0	0.0	5.875	0.0
CAMDA23_MetaSUB_gCSD17_ILR_12	ILR	3.0	0.0	55.1	1.6666666666666667
CAMDA23_MetaSUB_gCSD17_ILR_13	ILR	0.0	0.0	3.7142857142857135	0.0
CAMDA23_MetaSUB_gCSD17_ILR_14	ILR	0.0	0.0	14.625	0.0
CAMDA23_MetaSUB_gCSD17_ILR_15	ILR	0.0	0.0	33.333333333333336	0.0
CAMDA23_MetaSUB_gCSD17_ILR_16	ILR	0.0	0.0	40.2	1.3333333333333333
CAMDA23_MetaSUB_gCSD17_ILR_17	ILR	0.0	0.0	10.333333333333334	0.0
CAMDA23_MetaSUB_gCSD17_ILR_18	ILR	0.0	0.0	8.4	1.0
CAMDA23_MetaSUB_gCSD17_ILR_2	ILR	0.0	0.0	20.88888888888889	0.0
CAMDA23_MetaSUB_gCSD17_ILR_3	ILR	0.0	0.0	12.5	0.0
CAMDA23_MetaSUB_gCSD17_ILR_4	ILR	1.0	0.0	26.11111111111111	0.0
CAMDA23_MetaSUB_gCSD17_ILR_5	ILR	0.0	0.0	27.0	0.0
CAMDA23_MetaSUB_gCSD17_ILR_6	ILR	0.0	0.0	39.0	0.0
CAMDA23_MetaSUB_gCSD17_ILR_7	ILR	1.5	0.0	30.0	0.0
CAMDA23_MetaSUB_gCSD17_ILR_8	ILR	0.0	0.0	31.875	0.0
CAMDA23_MetaSUB_gCSD17_ILR_9	ILR	1.0	1.0	31.22222222222222	0.0
CAMDA23_MetaSUB_gCSD17_MIN_1	MIN	0.0	0.0	9.5	0.0
CAMDA23_MetaSUB_gCSD17_MIN_2	MIN	0.0	0.0	11.125	0.0
CAMDA23_MetaSUB_gCSD17_MIN_3	MIN	0.0	0.0	19.75	0.0
CAMDA23_MetaSUB_gCSD17_MIN_4	MIN	0.0	0.0	5.888888888888889	0.0
CAMDA23_MetaSUB_gCSD17_MIN_5	MIN	0.0	0.0	14.555555555555555	0.0
CAMDA23_MetaSUB_gCSD17_MIN_6	MIN	0.0	0.0	11.5	0.0
CAMDA23_MetaSUB_gCSD17_NYC_1	NYC	0.0	0.0	3.5	0.0
CAMDA23_MetaSUB_gCSD17_NYC_10	NYC	0.0	0.0	12.75	0.0
CAMDA23_MetaSUB_gCSD17_NYC_11	NYC	0.0	0.0	3.857142857142857	0.0
CAMDA23_MetaSUB_gCSD17_NYC_12	NYC	0.0	0.0	1.8333333333333333	0.0
CAMDA23_MetaSUB_gCSD17_NYC_13	NYC	0.0	0.0	11.75	0.0
CAMDA23_MetaSUB_gCSD17_NYC_14	NYC	0.0	0.0	5.0	0.0
CAMDA23_MetaSUB_gCSD17_NYC_15	NYC	0.0	0.0	9.75	0.0
CAMDA23_MetaSUB_gCSD17_NYC_16	NYC	0.0	0.0	13.77777777777778	0.0
CAMDA23_MetaSUB_gCSD17_NYC_17	NYC	0.0	0.0	35.888888888888886	0.0
CAMDA23_MetaSUB_gCSD17_NYC_18	NYC	0.0	0.0	44.333333333333336	1.5
CAMDA23_MetaSUB_gCSD17_NYC_19	NYC	0.0	0.0	2.571428571428572	0.0
CAMDA23_MetaSUB_gCSD17_NYC_2	NYC	0.0	0.0	7.125	0.0
CAMDA23_MetaSUB_gCSD17_NYC_20	NYC	0.0	0.0	17.4	1.5
CAMDA23_MetaSUB_gCSD17_NYC_3	NYC	2.5	0.0	51.5	1.6666666666666667
CAMDA23_MetaSUB_gCSD17_NYC_4	NYC	0.0	0.0	7.125	0.0
CAMDA23_MetaSUB_gCSD17_NYC_5	NYC	0.0	0.0	27.77777777777778	0.0
CAMDA23_MetaSUB_gCSD17_NYC_6	NYC	0.0	0.0	17.7	1.5
CAMDA23_MetaSUB_gCSD17_NYC_7	NYC	0.0	0.0	13.444444444444445	0.0
CAMDA23_MetaSUB_gCSD17_NYC_8	NYC	0.0	0.0	18.125	0.0
CAMDA23_MetaSUB_gCSD17_NYC_9	NYC	0.0	0.0	5.142857142857143	0.0
CAMDA23_MetaSUB_gCSD17_SAN_10	SAN	0.0	0.0	6.125	0.0
CAMDA23_MetaSUB_gCSD17_SAN_11	SAN	0.0	0.0	4.125	0.0
CAMDA23_MetaSUB_gCSD17_SAN_14	SAN	0.0	0.0	6.5	0.0
CAMDA23_MetaSUB_gCSD17_SAN_15	SAN	0.0	0.0	2.1666666666666665	0.0
CAMDA23_MetaSUB_gCSD17_SAN_16	SAN	0.0	0.0	1.1666666666666667	0.0
CAMDA23_MetaSUB_gCSD17_SAN_2	SAN	0.0	0.0	18.875	0.0
CAMDA23_MetaSUB_gCSD17_SAN_8	SAN	0.0	0.0	2.75	0.0
CAMDA23_MetaSUB_gCSD17_SAN_9	SAN	0.0	0.0	16.375	0.0
CAMDA23_MetaSUB_gCSD17_SAO_1	SAO	0.0	0.0	6.75	0.0
CAMDA23_MetaSUB_gCSD17_SAO_10	SAO	0.0	0.0	11.0	0.0
CAMDA23_MetaSUB_gCSD17_SAO_11	SAO	0.0	0.0	6.375	0.0
CAMDA23_MetaSUB_gCSD17_SAO_12	SAO	0.0	0.0	7.666666666666667	0.0
CAMDA23_MetaSUB_gCSD17_SAO_13	SAO	0.0	0.0	2.5	0.0
CAMDA23_MetaSUB_gCSD17_SAO_14	SAO	0.0	0.0	4.25	0.0
CAMDA23_MetaSUB_gCSD17_SAO_15	SAO	0.0	0.0	8.125	0.0
CAMDA23_MetaSUB_gCSD17_SAO_16	SAO	0.0	0.0	6.125	0.0
CAMDA23_MetaSUB_gCSD17_SAO_17	SAO	0.0	0.0	2.2857142857142856	0.0
CAMDA23_MetaSUB_gCSD17_SAO_18	SAO	0.0	0.0	9.375	0.0
CAMDA23_MetaSUB_gCSD17_SAO_19	SAO	0.0	0.0	3.375	0.0
CAMDA23_MetaSUB_gCSD17_SAO_2	SAO	0.0	0.0	7.5	0.0
CAMDA23_MetaSUB_gCSD17_SAO_21	SAO	0.0	0.0	2.2857142857142856	0.0
CAMDA23_MetaSUB_gCSD17_SAO_22	SAO	0.0	0.0	3.25	0.0
CAMDA23_MetaSUB_gCSD17_SAO_23	SAO	2.0	0.0	9.25	0.0
CAMDA23_MetaSUB_gCSD17_SAO_4	SAO	0.0	0.0	2.4285714285714284	0.0
CAMDA23_MetaSUB_gCSD17_SAO_5	SAO	0.0	0.0	3.125	0.0
CAMDA23_MetaSUB_gCSD17_SAO_6	SAO	0.0	0.0	7.375	0.0
CAMDA23_MetaSUB_gCSD17_SAO_7	SAO	0.0	0.0	20.125	0.0
CAMDA23_MetaSUB_gCSD17_SAO_8	SAO	0.0	0.0	10.875	0.0
CAMDA23_MetaSUB_gCSD17_TOK_1	TOK	0.0	0.0	3.571428571428572	0.0
CAMDA23_MetaSUB_gCSD17_TOK_10	TOK	0.0	0.0	3.5	0.0
CAMDA23_MetaSUB_gCSD17_TOK_11	TOK	0.0	0.0	8.125	0.0
CAMDA23_MetaSUB_gCSD17_TOK_12	TOK	0.0	0.0	6.25	0.0
CAMDA23_MetaSUB_gCSD17_TOK_13	TOK	0.0	0.0	11.125	0.0
CAMDA23_MetaSUB_gCSD17_TOK_14	TOK	0.0	0.0	8.75	0.0
CAMDA23_MetaSUB_gCSD17_TOK_15	TOK	0.0	0.0	2.0	0.0
CAMDA23_MetaSUB_gCSD17_TOK_16	TOK	0.0	0.0	6.0	0.0
CAMDA23_MetaSUB_gCSD17_TOK_17	TOK	0.0	0.0	17.875	0.0
CAMDA23_MetaSUB_gCSD17_TOK_18	TOK	0.0	0.0	3.0	0.0
CAMDA23_MetaSUB_gCSD17_TOK_19	TOK	0.0	0.0	16.25	0.0
CAMDA23_MetaSUB_gCSD17_TOK_2	TOK	0.0	0.0	5.0	0.0
CAMDA23_MetaSUB_gCSD17_TOK_20	TOK	0.0	0.0	11.625	0.0
CAMDA23_MetaSUB_gCSD17_TOK_21	TOK	0.0	0.0	6.875	0.0
CAMDA23_MetaSUB_gCSD17_TOK_22	TOK	0.0	0.0	5.875	0.0
CAMDA23_MetaSUB_gCSD17_TOK_23	TOK	0.0	0.0	6.625	0.0
CAMDA23_MetaSUB_gCSD17_TOK_24	TOK	0.0	0.0	10.25	0.0
CAMDA23_MetaSUB_gCSD17_TOK_25	TOK	0.0	0.0	2.142857142857143	0.0
CAMDA23_MetaSUB_gCSD17_TOK_3	TOK	0.0	0.0	9.75	0.0
CAMDA23_MetaSUB_gCSD17_TOK_4	TOK	1.0	0.0	8.875	0.0
CAMDA23_MetaSUB_gCSD17_TOK_5	TOK	0.0	0.0	1.6	0.0
