Sample	City	CMP-Legionaminate-Biosynthesis	CMP-N-Acetylneuraminate-Biosynthesis	CMP-pseudaminate biosynthesis	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	gibberellin biosynthesis II (early C-3 hydroxylation)	gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)	gibberellin biosynthesis V	inosine-5'-phosphate biosynthesis I	inosine-5'-phosphate biosynthesis II	inosine-5'-phosphate biosynthesis III
CAMDA23_MetaSUB_gCSD16_BER_5	BER	9.571428571428571	0.0	0.0	4.0	4.0	0.0	4.0	2.25	0.0	2.25
CAMDA23_MetaSUB_gCSD16_BER_6	BER	1.1666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0
CAMDA23_MetaSUB_gCSD16_BER_7	BER	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5
CAMDA23_MetaSUB_gCSD16_BER_8	BER	20.0	0.0	0.0	2.0	2.0	3.142857142857143	2.0	9.5	5.666666666666667	9.5
CAMDA23_MetaSUB_gCSD16_BER_9	BER	71.5	6.0	2.333333333333333	11.0	11.0	11.571428571428571	11.0	27.6	17.75	27.6
CAMDA23_MetaSUB_gCSD16_BOG_1	BOG	118.06666666666668	7.0	1.75	31.0	31.0	35.57142857142857	31.0	44.8	34.666666666666664	44.8
CAMDA23_MetaSUB_gCSD16_BOG_10	BOG	104.3	9.0	3.333333333333333	21.0	21.0	26.428571428571427	21.0	43.2	34.666666666666664	43.2
CAMDA23_MetaSUB_gCSD16_BOG_11	BOG	49.66666666666666	0.0	0.0	11.0	11.0	14.714285714285714	11.0	20.0	13.5	20.0
CAMDA23_MetaSUB_gCSD16_BOG_12	BOG	67.44444444444444	0.0	1.3333333333333333	19.0	19.0	21.0	19.0	29.0	24.33333333333333	29.0
CAMDA23_MetaSUB_gCSD16_BOG_13	BOG	76.8	0.0	1.5	15.0	15.0	21.0	15.0	28.4	22.33333333333333	28.4
CAMDA23_MetaSUB_gCSD16_BOG_14	BOG	135.4	5.5	3.333333333333333	33.0	33.0	43.0	33.0	52.4	29.5	52.4
CAMDA23_MetaSUB_gCSD16_BOG_15	BOG	81.05555555555556	0.0	2.333333333333333	11.0	11.0	19.857142857142858	11.0	28.6	20.666666666666668	28.6
CAMDA23_MetaSUB_gCSD16_BOG_16	BOG	92.11111111111111	2.5	2.0	15.0	15.0	21.571428571428573	15.0	39.4	28.33333333333333	39.4
CAMDA23_MetaSUB_gCSD16_BOG_2	BOG	84.2	4.5	2.0	26.0	26.0	32.285714285714285	26.0	32.2	17.5	32.2
CAMDA23_MetaSUB_gCSD16_BOG_3	BOG	113.23333333333333	6.0	3.333333333333333	24.0	24.0	31.428571428571427	24.0	45.4	37.333333333333336	45.4
CAMDA23_MetaSUB_gCSD16_BOG_4	BOG	59.125	0.0	1.0	13.0	13.0	12.714285714285714	13.0	22.4	20.0	22.4
CAMDA23_MetaSUB_gCSD16_BOG_5	BOG	120.53333333333333	7.0	2.6666666666666665	30.0	30.0	36.85714285714285	30.0	45.8	35.0	45.8
CAMDA23_MetaSUB_gCSD16_BOG_6	BOG	78.5	0.0	1.5	11.0	11.0	19.285714285714285	11.0	33.8	25.666666666666668	33.8
CAMDA23_MetaSUB_gCSD16_BOG_8	BOG	69.5	0.0	1.3333333333333333	12.0	12.0	10.285714285714286	12.0	40.0	0.0	40.0
CAMDA23_MetaSUB_gCSD16_BOG_9	BOG	42.77777777777778	3.0	1.0	7.0	7.0	7.571428571428571	7.0	20.2	17.333333333333332	20.2
CAMDA23_MetaSUB_gCSD16_DEN_1	DEN	2.125	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_DEN_13	DEN	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_DEN_14	DEN	2.6666666666666665	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_DEN_15	DEN	4.571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	1.25
CAMDA23_MetaSUB_gCSD16_DEN_16	DEN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
CAMDA23_MetaSUB_gCSD16_DEN_17	DEN	2.0	0.0	0.0	3.0	3.0	2.4285714285714284	3.0	1.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_DEN_21	DEN	4.25	0.0	1.0	2.0	2.0	1.7142857142857142	2.0	2.25	0.0	2.25
CAMDA23_MetaSUB_gCSD16_DEN_5	DEN	2.6666666666666665	0.0	1.0	2.0	2.0	0.0	2.0	0.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_DEN_6	DEN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_DEN_7	DEN	15.375	0.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	7.0
CAMDA23_MetaSUB_gCSD16_DEN_8	DEN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_DOH_1	DOH	2.142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5
CAMDA23_MetaSUB_gCSD16_DOH_10	DOH	1.3333333333333333	0.0	1.0	0.0	0.0	0.0	0.0	1.3333333333333333	0.0	1.3333333333333333
CAMDA23_MetaSUB_gCSD16_DOH_12	DOH	15.0	0.0	0.0	3.0	3.0	3.0	3.0	5.75	0.0	5.75
CAMDA23_MetaSUB_gCSD16_DOH_14	DOH	6.285714285714286	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0
CAMDA23_MetaSUB_gCSD16_DOH_15	DOH	3.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0
CAMDA23_MetaSUB_gCSD16_DOH_2	DOH	9.375	0.0	0.0	2.0	2.0	2.2857142857142856	2.0	3.0	0.0	3.0
CAMDA23_MetaSUB_gCSD16_DOH_3	DOH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
CAMDA23_MetaSUB_gCSD16_DOH_4	DOH	2.571428571428572	0.0	0.0	0.0	0.0	0.0	0.0	1.6666666666666667	0.0	1.6666666666666667
CAMDA23_MetaSUB_gCSD16_DOH_5	DOH	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_DOH_6	DOH	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
CAMDA23_MetaSUB_gCSD16_DOH_9	DOH	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
CAMDA23_MetaSUB_gCSD16_ILR_1	ILR	79.96666666666667	3.5	1.6666666666666667	29.0	29.0	24.714285714285715	29.0	23.5	0.0	23.5
CAMDA23_MetaSUB_gCSD16_ILR_10	ILR	99.9	4.5	7.0	26.0	26.0	21.714285714285715	26.0	23.8	22.33333333333333	23.8
CAMDA23_MetaSUB_gCSD16_ILR_11	ILR	129.63333333333333	6.0	4.25	2.0	2.0	7.142857142857143	2.0	21.8	20.0	21.8
CAMDA23_MetaSUB_gCSD16_ILR_12	ILR	64.36666666666667	0.0	4.0	15.0	15.0	11.571428571428571	15.0	18.0	0.0	18.0
CAMDA23_MetaSUB_gCSD16_ILR_13	ILR	101.3	4.0	5.0	6.0	6.0	9.714285714285714	6.0	21.0	0.0	21.0
CAMDA23_MetaSUB_gCSD16_ILR_14	ILR	62.6	1.0	3.0	3.0	3.0	4.428571428571429	3.0	10.2	9.0	10.2
CAMDA23_MetaSUB_gCSD16_ILR_15	ILR	110.06666666666668	5.5	3.0	19.0	19.0	16.714285714285715	19.0	25.0	21.0	25.0
CAMDA23_MetaSUB_gCSD16_ILR_16	ILR	44.22222222222222	1.5	3.5	2.0	2.0	3.7142857142857135	2.0	11.5	0.0	11.5
CAMDA23_MetaSUB_gCSD16_ILR_2	ILR	115.56666666666668	8.166666666666668	6.25	1.0	1.0	5.571428571428571	1.0	18.2	18.0	18.2
CAMDA23_MetaSUB_gCSD16_ILR_3	ILR	74.7	3.0	4.25	21.0	21.0	18.428571428571427	21.0	20.0	0.0	20.0
CAMDA23_MetaSUB_gCSD16_ILR_4	ILR	62.1	5.5	5.0	7.0	7.0	8.142857142857142	7.0	17.75	0.0	17.75
CAMDA23_MetaSUB_gCSD16_ILR_5	ILR	34.0	1.0	3.6666666666666665	2.0	2.0	2.571428571428572	2.0	8.4	6.666666666666667	8.4
CAMDA23_MetaSUB_gCSD16_ILR_6	ILR	82.93333333333332	6.0	0.0	6.0	6.0	8.571428571428571	6.0	14.6	13.666666666666666	14.6
CAMDA23_MetaSUB_gCSD16_ILR_7	ILR	105.9	7.0	5.0	16.0	16.0	16.285714285714285	16.0	27.5	0.0	27.5
CAMDA23_MetaSUB_gCSD16_ILR_9	ILR	27.61111111111111	2.5	1.3333333333333333	7.0	7.0	0.0	7.0	5.4	4.333333333333333	5.4
CAMDA23_MetaSUB_gCSD16_LIS_1	LIS	28.11111111111111	0.0	1.0	12.0	12.0	9.714285714285714	12.0	10.0	0.0	10.0
CAMDA23_MetaSUB_gCSD16_LIS_11	LIS	32.44444444444444	2.0	0.0	11.0	11.0	10.142857142857142	11.0	10.5	0.0	10.5
CAMDA23_MetaSUB_gCSD16_LIS_12	LIS	9.5	0.0	1.0	2.0	2.0	2.2857142857142856	2.0	3.0	0.0	3.0
CAMDA23_MetaSUB_gCSD16_LIS_13	LIS	34.94444444444444	2.0	0.0	13.0	13.0	10.714285714285714	13.0	8.75	0.0	8.75
CAMDA23_MetaSUB_gCSD16_LIS_14	LIS	33.111111111111114	1.0	0.0	7.0	7.0	6.428571428571429	7.0	8.0	6.666666666666667	8.0
CAMDA23_MetaSUB_gCSD16_LIS_15	LIS	8.875	1.5	1.0	2.0	2.0	0.0	2.0	3.75	0.0	3.75
CAMDA23_MetaSUB_gCSD16_LIS_16	LIS	31.0	0.0	0.0	9.0	9.0	7.0	9.0	8.0	7.333333333333333	8.0
CAMDA23_MetaSUB_gCSD16_LIS_2	LIS	8.777777777777779	0.0	1.0	5.0	5.0	3.857142857142857	5.0	3.0	0.0	3.0
CAMDA23_MetaSUB_gCSD16_LIS_3	LIS	18.625	0.0	1.0	5.0	5.0	4.142857142857143	5.0	5.75	0.0	5.75
CAMDA23_MetaSUB_gCSD16_LIS_4	LIS	36.77777777777778	3.5	0.0	10.0	10.0	8.571428571428571	10.0	7.4	7.0	7.4
CAMDA23_MetaSUB_gCSD16_LIS_5	LIS	10.75	0.0	0.0	2.0	2.0	2.571428571428572	2.0	3.0	0.0	3.0
CAMDA23_MetaSUB_gCSD16_LIS_6	LIS	12.4	0.0	1.0	0.0	0.0	0.0	0.0	7.2	7.0	7.2
CAMDA23_MetaSUB_gCSD16_LIS_8	LIS	11.125	1.0	1.0	3.0	3.0	3.571428571428572	3.0	3.0	0.0	3.0
CAMDA23_MetaSUB_gCSD16_LIS_9	LIS	17.875	0.0	0.0	5.0	5.0	4.428571428571429	5.0	3.0	0.0	3.0
CAMDA23_MetaSUB_gCSD16_NYC_1	NYC	10.25	0.0	0.0	3.0	3.0	3.0	3.0	3.4	2.333333333333333	3.4
CAMDA23_MetaSUB_gCSD16_NYC_10	NYC	41.22222222222222	2.5	0.0	6.0	6.0	8.0	6.0	18.0	11.5	18.0
CAMDA23_MetaSUB_gCSD16_NYC_11	NYC	81.93333333333332	0.0	2.0	43.0	43.0	35.857142857142854	43.0	32.25	0.0	32.25
CAMDA23_MetaSUB_gCSD16_NYC_12	NYC	32.333333333333336	1.0	1.6666666666666667	2.0	2.0	3.142857142857143	2.0	17.0	10.333333333333334	17.0
CAMDA23_MetaSUB_gCSD16_NYC_13	NYC	52.22222222222222	1.5	2.0	26.0	26.0	22.0	26.0	24.25	0.0	24.25
CAMDA23_MetaSUB_gCSD16_NYC_14	NYC	13.75	0.0	0.0	1.0	1.0	2.4285714285714284	1.0	4.6	4.333333333333333	4.6
CAMDA23_MetaSUB_gCSD16_NYC_15	NYC	49.77777777777778	2.0	0.0	28.0	28.0	23.142857142857142	28.0	17.0	0.0	17.0
CAMDA23_MetaSUB_gCSD16_NYC_16	NYC	30.875	0.0	0.0	7.0	7.0	7.857142857142857	7.0	12.8	11.666666666666666	12.8
CAMDA23_MetaSUB_gCSD16_NYC_17	NYC	12.88888888888889	0.0	1.0	2.0	2.0	2.571428571428572	2.0	8.4	9.0	8.4
CAMDA23_MetaSUB_gCSD16_NYC_18	NYC	38.3	0.0	1.5	16.0	16.0	13.428571428571429	16.0	16.0	0.0	16.0
CAMDA23_MetaSUB_gCSD16_NYC_19	NYC	16.0	0.0	0.0	3.0	3.0	2.4285714285714284	3.0	7.4	6.0	7.4
CAMDA23_MetaSUB_gCSD16_NYC_2	NYC	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	1.3333333333333333	1.8
CAMDA23_MetaSUB_gCSD16_NYC_20	NYC	42.5	0.0	2.0	36.0	36.0	28.0	36.0	21.0	0.0	21.0
CAMDA23_MetaSUB_gCSD16_NYC_21	NYC	58.86666666666667	3.5	2.6666666666666665	42.0	42.0	32.285714285714285	42.0	30.75	0.0	30.75
CAMDA23_MetaSUB_gCSD16_NYC_22	NYC	21.625	0.0	1.0	4.0	4.0	8.857142857142858	4.0	9.6	6.5	9.6
CAMDA23_MetaSUB_gCSD16_NYC_23	NYC	62.72222222222222	0.0	2.25	34.0	34.0	26.285714285714285	34.0	31.0	0.0	31.0
CAMDA23_MetaSUB_gCSD16_NYC_24	NYC	50.9	2.833333333333333	3.25	32.0	32.0	25.428571428571427	32.0	21.25	0.0	21.25
CAMDA23_MetaSUB_gCSD16_NYC_25	NYC	14.0	0.0	0.0	2.0	2.0	2.0	2.0	6.0	5.666666666666667	6.0
CAMDA23_MetaSUB_gCSD16_NYC_26	NYC	48.625	0.0	2.333333333333333	11.0	11.0	11.0	11.0	18.2	16.0	18.2
CAMDA23_MetaSUB_gCSD16_NYC_3	NYC	8.125	0.0	1.0	4.0	4.0	3.7142857142857135	4.0	4.6	3.5	4.6
CAMDA23_MetaSUB_gCSD16_NYC_4	NYC	11.375	0.0	0.0	3.0	3.0	2.4285714285714284	3.0	6.0	0.0	6.0
CAMDA23_MetaSUB_gCSD16_NYC_5	NYC	24.875	2.0	2.0	1.0	1.0	2.142857142857143	1.0	11.4	9.333333333333334	11.4
CAMDA23_MetaSUB_gCSD16_NYC_6	NYC	8.375	0.0	1.0	1.0	1.0	1.8571428571428568	1.0	4.0	3.25	4.0
CAMDA23_MetaSUB_gCSD16_NYC_7	NYC	174.9	10.5	6.333333333333333	22.0	22.0	22.285714285714285	22.0	38.4	34.0	38.4
CAMDA23_MetaSUB_gCSD16_NYC_8	NYC	45.375	0.0	1.0	13.0	13.0	10.428571428571429	13.0	16.0	8.5	16.0
CAMDA23_MetaSUB_gCSD16_NYC_9	NYC	33.0	0.0	0.0	9.0	9.0	9.285714285714286	9.0	13.6	10.0	13.6
CAMDA23_MetaSUB_gCSD16_SAC_1	SAC	7.75	0.0	0.0	4.0	4.0	3.4285714285714284	4.0	3.25	0.0	3.25
CAMDA23_MetaSUB_gCSD16_SAC_10	SAC	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_SAC_11	SAC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
CAMDA23_MetaSUB_gCSD16_SAC_13	SAC	7.125	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	3.75
CAMDA23_MetaSUB_gCSD16_SAC_14	SAC	1.5	0.0	0.0	0.0	0.0	0.0	0.0	1.3333333333333333	0.0	1.3333333333333333
CAMDA23_MetaSUB_gCSD16_SAC_15	SAC	2.6	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
CAMDA23_MetaSUB_gCSD16_SAC_16	SAC	4.571428571428571	0.0	0.0	1.0	1.0	0.0	1.0	1.5	0.0	1.5
CAMDA23_MetaSUB_gCSD16_SAC_2	SAC	2.5	0.0	0.0	1.0	1.0	1.5714285714285714	1.0	1.0	1.0	1.0
CAMDA23_MetaSUB_gCSD16_SAC_3	SAC	23.9	0.0	0.0	6.0	6.0	8.0	6.0	8.8	7.333333333333333	8.8
CAMDA23_MetaSUB_gCSD16_SAC_4	SAC	11.88888888888889	0.0	1.0	3.0	3.0	2.7142857142857144	3.0	3.0	2.25	3.0
CAMDA23_MetaSUB_gCSD16_SAC_5	SAC	10.11111111111111	0.0	0.0	3.0	3.0	4.142857142857143	3.0	3.75	0.0	3.75
CAMDA23_MetaSUB_gCSD16_SAC_6	SAC	5.75	0.0	1.0	1.0	1.0	1.5714285714285714	1.0	2.333333333333333	0.0	2.333333333333333
CAMDA23_MetaSUB_gCSD16_SAC_7	SAC	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
CAMDA23_MetaSUB_gCSD16_SAC_8	SAC	6.714285714285714	0.0	0.0	1.0	1.0	2.4285714285714284	1.0	2.0	0.0	2.0
CAMDA23_MetaSUB_gCSD16_SAC_9	SAC	4.375	0.0	0.0	1.0	1.0	1.0	1.0	3.0	2.6666666666666665	3.0
CAMDA23_MetaSUB_gCSD16_TOK_1	TOK	46.333333333333336	2.0	1.6666666666666667	9.0	9.0	11.0	9.0	16.4	9.5	16.4
CAMDA23_MetaSUB_gCSD16_TOK_10	TOK	6.625	0.0	0.0	3.0	3.0	2.4285714285714284	3.0	4.0	0.0	4.0
CAMDA23_MetaSUB_gCSD16_TOK_11	TOK	53.44444444444444	1.5	2.333333333333333	11.0	11.0	9.571428571428571	11.0	24.25	15.0	24.25
CAMDA23_MetaSUB_gCSD16_TOK_12	TOK	30.77777777777778	0.0	1.0	0.0	0.0	0.0	0.0	15.75	10.666666666666666	15.75
CAMDA23_MetaSUB_gCSD16_TOK_13	TOK	29.11111111111111	1.5	1.0	6.0	6.0	4.571428571428571	6.0	14.4	9.5	14.4
CAMDA23_MetaSUB_gCSD16_TOK_14	TOK	53.13333333333333	1.0	1.6666666666666667	12.0	12.0	14.285714285714286	12.0	21.8	14.5	21.8
CAMDA23_MetaSUB_gCSD16_TOK_15	TOK	47.0	1.0	3.0	6.0	6.0	13.142857142857142	6.0	21.6	18.33333333333333	21.6
CAMDA23_MetaSUB_gCSD16_TOK_16	TOK	26.5	3.0	1.0	3.0	3.0	2.7142857142857144	3.0	10.0	7.666666666666667	10.0
CAMDA23_MetaSUB_gCSD16_TOK_17	TOK	37.22222222222222	1.0	1.5	4.0	4.0	5.428571428571429	4.0	14.0	8.0	14.0
CAMDA23_MetaSUB_gCSD16_TOK_18	TOK	45.0	0.0	1.6666666666666667	8.0	8.0	9.714285714285714	8.0	19.0	17.666666666666668	19.0
CAMDA23_MetaSUB_gCSD16_TOK_19	TOK	20.5	2.0	1.0	1.0	1.0	1.0	1.0	7.75	6.333333333333333	7.75
CAMDA23_MetaSUB_gCSD16_TOK_2	TOK	13.333333333333334	0.0	2.0	3.0	3.0	8.714285714285714	3.0	8.2	6.75	8.2
CAMDA23_MetaSUB_gCSD16_TOK_20	TOK	60.2	4.5	2.333333333333333	6.0	6.0	11.714285714285714	6.0	27.6	18.0	27.6
CAMDA23_MetaSUB_gCSD16_TOK_21	TOK	58.77777777777778	1.5	2.0	10.0	10.0	12.571428571428571	10.0	24.0	21.0	24.0
CAMDA23_MetaSUB_gCSD16_TOK_22	TOK	28.5	0.0	1.0	6.0	6.0	7.142857142857143	6.0	11.2	8.0	11.2
CAMDA23_MetaSUB_gCSD16_TOK_23	TOK	4.666666666666667	0.0	1.0	1.0	1.0	8.428571428571429	1.0	4.4	4.0	4.4
CAMDA23_MetaSUB_gCSD16_TOK_24	TOK	60.5	3.0	4.0	16.0	16.0	20.857142857142858	16.0	31.5	22.0	31.5
CAMDA23_MetaSUB_gCSD16_TOK_3	TOK	60.94444444444444	2.666666666666667	2.6666666666666665	15.0	15.0	18.428571428571427	15.0	23.8	15.75	23.8
CAMDA23_MetaSUB_gCSD16_TOK_4	TOK	8.625	0.0	0.0	2.0	2.0	2.2857142857142856	2.0	4.5	4.0	4.5
CAMDA23_MetaSUB_gCSD16_TOK_5	TOK	13.5	0.0	0.0	6.0	6.0	5.142857142857143	6.0	6.5	0.0	6.5
CAMDA23_MetaSUB_gCSD16_TOK_6	TOK	33.25	0.0	2.0	5.0	5.0	6.142857142857143	5.0	15.0	9.0	15.0
CAMDA23_MetaSUB_gCSD16_TOK_7	TOK	48.888888888888886	3.0	2.0	9.0	9.0	10.142857142857142	9.0	17.2	11.25	17.2
CAMDA23_MetaSUB_gCSD16_TOK_8	TOK	83.8	4.5	2.5	21.0	21.0	23.0	21.0	41.5	31.33333333333333	41.5
CAMDA23_MetaSUB_gCSD16_TOK_9	TOK	33.888888888888886	0.0	0.0	5.0	5.0	5.857142857142857	5.0	18.0	10.5	18.0
CAMDA23_MetaSUB_gCSD17_BAL_1	BAL	3.75	0.0	1.0	0.0	0.0	0.0	0.0	2.5	0.0	2.5
CAMDA23_MetaSUB_gCSD17_BAL_10	BAL	2.1666666666666665	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	2.25
CAMDA23_MetaSUB_gCSD17_BAL_11	BAL	7.166666666666667	0.0	0.0	2.0	2.0	2.2857142857142856	2.0	1.5	0.0	1.5
CAMDA23_MetaSUB_gCSD17_BAL_12	BAL	9.0	0.0	0.0	4.0	4.0	4.285714285714286	4.0	4.25	0.0	4.25
CAMDA23_MetaSUB_gCSD17_BAL_14	BAL	4.875	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0
CAMDA23_MetaSUB_gCSD17_BAL_2	BAL	4.5	0.0	0.0	2.0	2.0	0.0	2.0	4.0	0.0	4.0
CAMDA23_MetaSUB_gCSD17_BAL_3	BAL	11.625	0.0	0.0	3.0	3.0	3.0	3.0	4.5	0.0	4.5
CAMDA23_MetaSUB_gCSD17_BAL_4	BAL	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
CAMDA23_MetaSUB_gCSD17_BAL_5	BAL	8.875	0.0	0.0	3.0	3.0	4.428571428571429	3.0	2.333333333333333	0.0	2.333333333333333
CAMDA23_MetaSUB_gCSD17_BAL_6	BAL	7.75	0.0	0.0	4.0	4.0	4.857142857142857	4.0	2.25	0.0	2.25
CAMDA23_MetaSUB_gCSD17_BAL_7	BAL	12.666666666666666	0.0	0.0	6.0	6.0	7.428571428571429	6.0	4.75	0.0	4.75
CAMDA23_MetaSUB_gCSD17_BAL_8	BAL	15.625	0.0	0.0	8.0	8.0	8.285714285714286	8.0	7.25	0.0	7.25
CAMDA23_MetaSUB_gCSD17_BAL_9	BAL	11.625	0.0	0.0	3.0	3.0	5.0	3.0	2.2	1.6666666666666667	2.2
CAMDA23_MetaSUB_gCSD17_DEN_1	DEN	5.0	0.0	0.0	3.0	3.0	2.4285714285714284	3.0	2.5	0.0	2.5
CAMDA23_MetaSUB_gCSD17_DEN_11	DEN	4.5	0.0	0.0	1.0	1.0	0.0	1.0	3.25	0.0	3.25
CAMDA23_MetaSUB_gCSD17_DEN_15	DEN	5.571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
CAMDA23_MetaSUB_gCSD17_DEN_16	DEN	4.714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	2.333333333333333	0.0	2.333333333333333
CAMDA23_MetaSUB_gCSD17_DEN_17	DEN	5.111111111111111	0.0	0.0	2.0	2.0	2.857142857142857	2.0	3.0	0.0	3.0
