	City	1	2	3	4	5	6	7
CAMDA23_MetaSUB_gCSD16_BER_7	BER	962.0	1822.0	838.0	334.0	292.0	452.0	347.0
CAMDA23_MetaSUB_gCSD16_BER_8	BER	8131.0	95603.0	19201.0	4013.0	2630.0	3442.0	2499.0
CAMDA23_MetaSUB_gCSD16_BER_9	BER	19142.0	99538.0	27368.0	8558.0	6362.0	9666.0	5523.0
CAMDA23_MetaSUB_gCSD16_BOG_1	BOG	35175.0	51084.0	28376.0	12805.0	9308.0	15661.0	7936.0
CAMDA23_MetaSUB_gCSD16_BOG_10	BOG	26578.0	44730.0	24487.0	10872.0	8298.0	12938.0	6646.0
CAMDA23_MetaSUB_gCSD16_BOG_11	BOG	19354.0	39178.0	17652.0	7173.0	5392.0	8835.0	4662.0
CAMDA23_MetaSUB_gCSD16_BOG_12	BOG	20585.0	43188.0	18368.0	7850.0	5389.0	9107.0	4978.0
CAMDA23_MetaSUB_gCSD16_BOG_13	BOG	24048.0	42104.0	21863.0	9269.0	6721.0	10598.0	6010.0
CAMDA23_MetaSUB_gCSD16_BOG_14	BOG	37445.0	48953.0	29308.0	13574.0	9511.0	16153.0	8534.0
CAMDA23_MetaSUB_gCSD16_BOG_15	BOG	24570.0	36807.0	20134.0	8983.0	6459.0	10594.0	5582.0
CAMDA23_MetaSUB_gCSD16_BOG_16	BOG	27040.0	52022.0	24469.0	10854.0	7831.0	13173.0	6813.0
CAMDA23_MetaSUB_gCSD16_BOG_2	BOG	25586.0	35118.0	19303.0	9210.0	6607.0	10767.0	5399.0
CAMDA23_MetaSUB_gCSD16_BOG_3	BOG	32755.0	43094.0	26009.0	11863.0	8823.0	14755.0	7677.0
CAMDA23_MetaSUB_gCSD16_BOG_4	BOG	14811.0	43358.0	16630.0	6101.0	4871.0	7584.0	4018.0
CAMDA23_MetaSUB_gCSD16_BOG_5	BOG	36637.0	63126.0	31825.0	13783.0	9865.0	15994.0	8576.0
CAMDA23_MetaSUB_gCSD16_BOG_6	BOG	24298.0	43381.0	21767.0	9274.0	6805.0	10911.0	6020.0
CAMDA23_MetaSUB_gCSD16_BOG_8	BOG	17249.0	47943.0	19186.0	7851.0	5849.0	8685.0	4457.0
CAMDA23_MetaSUB_gCSD16_BOG_9	BOG	14816.0	34156.0	13999.0	5867.0	4263.0	7074.0	3606.0
CAMDA23_MetaSUB_gCSD16_DEN_1	DEN	599.0	824.0	374.0	180.0	152.0	313.0	147.0
CAMDA23_MetaSUB_gCSD16_DEN_10	DEN	125.0	232.0	212.0	47.0	34.0	32.0	70.0
CAMDA23_MetaSUB_gCSD16_DEN_11	DEN	51.0	38.0	32.0	6.0	8.0	7.0	33.0
CAMDA23_MetaSUB_gCSD16_DEN_12	DEN	216.0	283.0	170.0	69.0	28.0	29.0	125.0
CAMDA23_MetaSUB_gCSD16_DEN_13	DEN	571.0	517.0	320.0	175.0	101.0	145.0	198.0
CAMDA23_MetaSUB_gCSD16_DEN_14	DEN	258.0	571.0	241.0	105.0	105.0	143.0	99.0
CAMDA23_MetaSUB_gCSD16_DEN_15	DEN	493.0	2398.0	573.0	219.0	190.0	330.0	186.0
CAMDA23_MetaSUB_gCSD16_DEN_16	DEN	221.0	2623.0	273.0	82.0	82.0	126.0	70.0
CAMDA23_MetaSUB_gCSD16_DEN_17	DEN	852.0	1029.0	486.0	248.0	165.0	341.0	133.0
CAMDA23_MetaSUB_gCSD16_DEN_18	DEN	132.0	106.0	67.0	22.0	11.0	16.0	55.0
CAMDA23_MetaSUB_gCSD16_DEN_19	DEN	109.0	100.0	60.0	19.0	10.0	16.0	56.0
CAMDA23_MetaSUB_gCSD16_DEN_2	DEN	71.0	495.0	55.0	25.0	12.0	16.0	38.0
CAMDA23_MetaSUB_gCSD16_DEN_20	DEN	110.0	160.0	110.0	52.0	23.0	24.0	35.0
CAMDA23_MetaSUB_gCSD16_DEN_21	DEN	893.0	1345.0	707.0	329.0	241.0	475.0	247.0
CAMDA23_MetaSUB_gCSD16_DEN_22	DEN	201.0	244.0	127.0	51.0	26.0	31.0	133.0
CAMDA23_MetaSUB_gCSD16_DEN_3	DEN	65.0	61.0	22.0	5.0	5.0	6.0	45.0
CAMDA23_MetaSUB_gCSD16_DEN_4	DEN	172.0	215.0	146.0	40.0	19.0	21.0	104.0
CAMDA23_MetaSUB_gCSD16_DEN_5	DEN	331.0	460.0	285.0	118.0	84.0	106.0	65.0
CAMDA23_MetaSUB_gCSD16_DEN_6	DEN	158.0	193.0	111.0	41.0	25.0	19.0	74.0
CAMDA23_MetaSUB_gCSD16_DEN_7	DEN	1621.0	2498.0	1319.0	690.0	526.0	880.0	411.0
CAMDA23_MetaSUB_gCSD16_DEN_8	DEN	67.0	99.0	101.0	28.0	29.0	17.0	7.0
CAMDA23_MetaSUB_gCSD16_DEN_9	DEN	62.0	69.0	47.0	13.0	10.0	10.0	34.0
CAMDA23_MetaSUB_gCSD16_DOH_1	DOH	929.0	3403.0	711.0	325.0	258.0	439.0	218.0
CAMDA23_MetaSUB_gCSD16_DOH_10	DOH	424.0	1898.0	353.0	175.0	153.0	260.0	104.0
CAMDA23_MetaSUB_gCSD16_DOH_11	DOH	360.0	1016.0	255.0	94.0	84.0	159.0	82.0
CAMDA23_MetaSUB_gCSD16_DOH_12	DOH	1883.0	3080.0	1520.0	769.0	513.0	695.0	344.0
CAMDA23_MetaSUB_gCSD16_DOH_14	DOH	1238.0	2669.0	1010.0	479.0	336.0	597.0	371.0
CAMDA23_MetaSUB_gCSD16_DOH_15	DOH	721.0	3357.0	737.0	331.0	231.0	410.0	215.0
CAMDA23_MetaSUB_gCSD16_DOH_2	DOH	2112.0	4016.0	1422.0	713.0	487.0	933.0	490.0
CAMDA23_MetaSUB_gCSD16_DOH_3	DOH	423.0	455.0	283.0	142.0	106.0	205.0	100.0
CAMDA23_MetaSUB_gCSD16_DOH_4	DOH	483.0	2251.0	495.0	226.0	179.0	291.0	149.0
CAMDA23_MetaSUB_gCSD16_DOH_5	DOH	457.0	926.0	409.0	177.0	139.0	291.0	143.0
CAMDA23_MetaSUB_gCSD16_DOH_6	DOH	502.0	1707.0	421.0	203.0	183.0	340.0	127.0
CAMDA23_MetaSUB_gCSD16_DOH_8	DOH	172.0	192.0	131.0	43.0	39.0	75.0	72.0
CAMDA23_MetaSUB_gCSD16_DOH_9	DOH	249.0	328.0	212.0	82.0	63.0	124.0	61.0
CAMDA23_MetaSUB_gCSD16_ILR_1	ILR	9349.0	11252.0	7312.0	3669.0	2308.0	2866.0	1757.0
CAMDA23_MetaSUB_gCSD16_ILR_10	ILR	10135.0	12830.0	8100.0	3882.0	2653.0	3766.0	2465.0
CAMDA23_MetaSUB_gCSD16_ILR_11	ILR	8635.0	11765.0	8160.0	3579.0	2546.0	3153.0	2227.0
CAMDA23_MetaSUB_gCSD16_ILR_12	ILR	11684.0	13493.0	8572.0	4391.0	2824.0	4305.0	2394.0
CAMDA23_MetaSUB_gCSD16_ILR_13	ILR	7308.0	9137.0	6618.0	2816.0	2046.0	2508.0	1808.0
CAMDA23_MetaSUB_gCSD16_ILR_14	ILR	4729.0	6331.0	4274.0	1853.0	1606.0	1633.0	1200.0
CAMDA23_MetaSUB_gCSD16_ILR_15	ILR	11810.0	14983.0	10371.0	4432.0	3184.0	4209.0	2819.0
CAMDA23_MetaSUB_gCSD16_ILR_16	ILR	4259.0	5410.0	3570.0	1678.0	1166.0	1488.0	1090.0
CAMDA23_MetaSUB_gCSD16_ILR_2	ILR	7233.0	9374.0	6259.0	2933.0	1957.0	2553.0	1790.0
CAMDA23_MetaSUB_gCSD16_ILR_3	ILR	11136.0	13126.0	8641.0	4404.0	2853.0	4149.0	2139.0
CAMDA23_MetaSUB_gCSD16_ILR_4	ILR	5082.0	6554.0	4190.0	2057.0	1402.0	1766.0	1095.0
CAMDA23_MetaSUB_gCSD16_ILR_5	ILR	3171.0	4177.0	2989.0	1219.0	901.0	1158.0	905.0
CAMDA23_MetaSUB_gCSD16_ILR_6	ILR	6736.0	8580.0	5885.0	2730.0	1830.0	2211.0	1532.0
CAMDA23_MetaSUB_gCSD16_ILR_7	ILR	9769.0	12256.0	8369.0	3757.0	2582.0	3215.0	2414.0
CAMDA23_MetaSUB_gCSD16_ILR_9	ILR	2613.0	3349.0	2294.0	1002.0	741.0	1014.0	824.0
CAMDA23_MetaSUB_gCSD16_LIS_1	LIS	4185.0	4871.0	3107.0	1546.0	1034.0	1422.0	799.0
CAMDA23_MetaSUB_gCSD16_LIS_11	LIS	4235.0	5513.0	3618.0	1770.0	1157.0	1579.0	878.0
CAMDA23_MetaSUB_gCSD16_LIS_12	LIS	1155.0	1467.0	1029.0	435.0	284.0	374.0	247.0
CAMDA23_MetaSUB_gCSD16_LIS_13	LIS	3494.0	4552.0	3260.0	1400.0	937.0	1223.0	713.0
CAMDA23_MetaSUB_gCSD16_LIS_14	LIS	4006.0	5403.0	3610.0	1641.0	1155.0	1572.0	955.0
CAMDA23_MetaSUB_gCSD16_LIS_15	LIS	928.0	1281.0	758.0	371.0	275.0	421.0	153.0
CAMDA23_MetaSUB_gCSD16_LIS_16	LIS	3696.0	4625.0	3100.0	1408.0	1008.0	1273.0	946.0
CAMDA23_MetaSUB_gCSD16_LIS_2	LIS	1134.0	1171.0	744.0	377.0	228.0	301.0	146.0
CAMDA23_MetaSUB_gCSD16_LIS_3	LIS	2185.0	2549.0	1627.0	798.0	479.0	687.0	413.0
CAMDA23_MetaSUB_gCSD16_LIS_4	LIS	4457.0	5984.0	4201.0	1778.0	1379.0	1612.0	1171.0
CAMDA23_MetaSUB_gCSD16_LIS_5	LIS	787.0	1049.0	772.0	322.0	228.0	305.0	164.0
CAMDA23_MetaSUB_gCSD16_LIS_6	LIS	1920.0	2518.0	1529.0	820.0	581.0	1000.0	399.0
CAMDA23_MetaSUB_gCSD16_LIS_8	LIS	1138.0	1371.0	988.0	405.0	279.0	426.0	306.0
CAMDA23_MetaSUB_gCSD16_LIS_9	LIS	914.0	1018.0	616.0	336.0	230.0	290.0	151.0
CAMDA23_MetaSUB_gCSD16_NYC_1	NYC	3546.0	10736.0	3783.0	1459.0	1036.0	1575.0	817.0
CAMDA23_MetaSUB_gCSD16_NYC_10	NYC	13587.0	45592.0	16573.0	5798.0	4395.0	6816.0	3737.0
CAMDA23_MetaSUB_gCSD16_NYC_11	NYC	14749.0	20046.0	11962.0	5718.0	4007.0	5811.0	2548.0
CAMDA23_MetaSUB_gCSD16_NYC_12	NYC	6901.0	24398.0	8068.0	3210.0	2476.0	3871.0	1937.0
CAMDA23_MetaSUB_gCSD16_NYC_13	NYC	14924.0	19932.0	10865.0	5405.0	3674.0	6336.0	2735.0
CAMDA23_MetaSUB_gCSD16_NYC_14	NYC	7122.0	11303.0	5340.0	2606.0	1845.0	3207.0	1920.0
CAMDA23_MetaSUB_gCSD16_NYC_15	NYC	8678.0	11010.0	6349.0	3059.0	2164.0	3339.0	1514.0
CAMDA23_MetaSUB_gCSD16_NYC_16	NYC	12041.0	21334.0	10251.0	4584.0	3436.0	5664.0	3086.0
CAMDA23_MetaSUB_gCSD16_NYC_17	NYC	6231.0	13139.0	5270.0	2437.0	1809.0	3278.0	1760.0
CAMDA23_MetaSUB_gCSD16_NYC_18	NYC	9289.0	18233.0	7823.0	3460.0	2522.0	4194.0	1975.0
CAMDA23_MetaSUB_gCSD16_NYC_19	NYC	5748.0	18450.0	6096.0	2469.0	1864.0	2934.0	1683.0
CAMDA23_MetaSUB_gCSD16_NYC_2	NYC	1227.0	7633.0	2256.0	579.0	511.0	621.0	309.0
CAMDA23_MetaSUB_gCSD16_NYC_20	NYC	15550.0	20693.0	10259.0	5254.0	3983.0	7081.0	2720.0
CAMDA23_MetaSUB_gCSD16_NYC_21	NYC	17801.0	23749.0	12532.0	6142.0	4642.0	7663.0	3206.0
CAMDA23_MetaSUB_gCSD16_NYC_22	NYC	7815.0	16556.0	8199.0	3203.0	2557.0	3989.0	2235.0
CAMDA23_MetaSUB_gCSD16_NYC_23	NYC	18865.0	28466.0	13116.0	6639.0	5238.0	9040.0	3268.0
CAMDA23_MetaSUB_gCSD16_NYC_24	NYC	13323.0	16212.0	8411.0	4572.0	3608.0	6067.0	1802.0
CAMDA23_MetaSUB_gCSD16_NYC_25	NYC	5516.0	12951.0	5141.0	2250.0	1621.0	2809.0	1544.0
CAMDA23_MetaSUB_gCSD16_NYC_26	NYC	12266.0	19836.0	9873.0	4691.0	3468.0	6059.0	2758.0
CAMDA23_MetaSUB_gCSD16_NYC_3	NYC	2763.0	11123.0	3636.0	1233.0	942.0	1317.0	696.0
CAMDA23_MetaSUB_gCSD16_NYC_4	NYC	4201.0	10150.0	3655.0	1656.0	1240.0	1997.0	1028.0
CAMDA23_MetaSUB_gCSD16_NYC_5	NYC	8508.0	33131.0	10634.0	3714.0	2874.0	4426.0	2574.0
CAMDA23_MetaSUB_gCSD16_NYC_6	NYC	5895.0	52736.0	11855.0	2697.0	1882.0	2501.0	1775.0
CAMDA23_MetaSUB_gCSD16_NYC_7	NYC	18727.0	31035.0	18141.0	8159.0	6127.0	7893.0	5545.0
CAMDA23_MetaSUB_gCSD16_NYC_8	NYC	13944.0	52240.0	16069.0	5760.0	4256.0	6533.0	3501.0
CAMDA23_MetaSUB_gCSD16_NYC_9	NYC	10960.0	19653.0	9129.0	4180.0	2998.0	5155.0	2944.0
CAMDA23_MetaSUB_gCSD16_SAC_1	SAC	4291.0	4546.0	2929.0	1437.0	1092.0	1799.0	1024.0
CAMDA23_MetaSUB_gCSD16_SAC_10	SAC	1714.0	1845.0	1114.0	533.0	393.0	686.0	558.0
CAMDA23_MetaSUB_gCSD16_SAC_11	SAC	1113.0	1223.0	806.0	375.0	277.0	504.0	400.0
CAMDA23_MetaSUB_gCSD16_SAC_12	SAC	911.0	1006.0	648.0	250.0	248.0	445.0	306.0
CAMDA23_MetaSUB_gCSD16_SAC_13	SAC	3431.0	3933.0	2279.0	1159.0	851.0	1570.0	846.0
CAMDA23_MetaSUB_gCSD16_SAC_14	SAC	1196.0	1383.0	861.0	379.0	303.0	591.0	431.0
CAMDA23_MetaSUB_gCSD16_SAC_15	SAC	928.0	2521.0	865.0	367.0	321.0	498.0	367.0
CAMDA23_MetaSUB_gCSD16_SAC_16	SAC	2170.0	2422.0	1575.0	794.0	625.0	1057.0	490.0
CAMDA23_MetaSUB_gCSD16_SAC_2	SAC	1206.0	2302.0	1068.0	380.0	322.0	529.0	375.0
CAMDA23_MetaSUB_gCSD16_SAC_3	SAC	6382.0	6892.0	4485.0	2205.0	1564.0	2595.0	1480.0
CAMDA23_MetaSUB_gCSD16_SAC_4	SAC	3300.0	3902.0	2946.0	1237.0	890.0	1435.0	923.0
CAMDA23_MetaSUB_gCSD16_SAC_5	SAC	4833.0	5336.0	3485.0	1614.0	1190.0	2101.0	1185.0
CAMDA23_MetaSUB_gCSD16_SAC_6	SAC	2727.0	3197.0	2108.0	913.0	766.0	1204.0	761.0
CAMDA23_MetaSUB_gCSD16_SAC_7	SAC	873.0	1085.0	650.0	258.0	253.0	413.0	285.0
CAMDA23_MetaSUB_gCSD16_SAC_8	SAC	2838.0	3445.0	2140.0	971.0	764.0	1295.0	755.0
CAMDA23_MetaSUB_gCSD16_SAC_9	SAC	2386.0	2748.0	1653.0	797.0	612.0	1072.0	658.0
CAMDA23_MetaSUB_gCSD16_TOK_1	TOK	11765.0	31921.0	13407.0	5055.0	3623.0	5679.0	3179.0
CAMDA23_MetaSUB_gCSD16_TOK_10	TOK	2247.0	6739.0	2272.0	933.0	723.0	1022.0	639.0
CAMDA23_MetaSUB_gCSD16_TOK_11	TOK	12114.0	53485.0	15766.0	5160.0	3729.0	5695.0	3181.0
CAMDA23_MetaSUB_gCSD16_TOK_12	TOK	7451.0	48033.0	12609.0	3521.0	2580.0	3645.0	2093.0
CAMDA23_MetaSUB_gCSD16_TOK_13	TOK	8046.0	48865.0	12894.0	3717.0	2734.0	4137.0	2277.0
CAMDA23_MetaSUB_gCSD16_TOK_14	TOK	13126.0	44487.0	15162.0	5532.0	4052.0	6183.0	3407.0
CAMDA23_MetaSUB_gCSD16_TOK_15	TOK	16169.0	46382.0	17125.0	6564.0	4665.0	7330.0	4212.0
CAMDA23_MetaSUB_gCSD16_TOK_16	TOK	6686.0	30234.0	8852.0	2939.0	2320.0	3742.0	1969.0
CAMDA23_MetaSUB_gCSD16_TOK_17	TOK	9826.0	47810.0	13458.0	4437.0	3249.0	5226.0	2712.0
CAMDA23_MetaSUB_gCSD16_TOK_18	TOK	14138.0	42446.0	15127.0	5663.0	4126.0	6768.0	3568.0
CAMDA23_MetaSUB_gCSD16_TOK_19	TOK	6459.0	72332.0	15597.0	3234.0	2337.0	3161.0	1962.0
CAMDA23_MetaSUB_gCSD16_TOK_2	TOK	6039.0	33721.0	10377.0	2671.0	2079.0	2879.0	1834.0
CAMDA23_MetaSUB_gCSD16_TOK_20	TOK	15275.0	58075.0	18712.0	6892.0	5118.0	8142.0	4115.0
CAMDA23_MetaSUB_gCSD16_TOK_21	TOK	16951.0	62763.0	20393.0	6918.0	4972.0	7733.0	4411.0
CAMDA23_MetaSUB_gCSD16_TOK_22	TOK	7272.0	85308.0	18600.0	3687.0	2842.0	3235.0	2354.0
CAMDA23_MetaSUB_gCSD16_TOK_23	TOK	3057.0	24788.0	6929.0	1422.0	1083.0	1301.0	1073.0
CAMDA23_MetaSUB_gCSD16_TOK_24	TOK	13435.0	22871.0	12273.0	5271.0	3933.0	6583.0	3403.0
CAMDA23_MetaSUB_gCSD16_TOK_3	TOK	12740.0	35131.0	13261.0	4951.0	3475.0	5872.0	3107.0
CAMDA23_MetaSUB_gCSD16_TOK_4	TOK	4885.0	86813.0	16421.0	2765.0	1820.0	1815.0	1554.0
CAMDA23_MetaSUB_gCSD16_TOK_5	TOK	4921.0	11288.0	7735.0	2061.0	1562.0	1594.0	1096.0
CAMDA23_MetaSUB_gCSD16_TOK_6	TOK	8723.0	57888.0	15109.0	4007.0	3057.0	4450.0	2410.0
CAMDA23_MetaSUB_gCSD16_TOK_7	TOK	11541.0	24122.0	11877.0	4751.0	3473.0	4840.0	3133.0
CAMDA23_MetaSUB_gCSD16_TOK_8	TOK	17732.0	55365.0	19299.0	7177.0	5155.0	7707.0	4160.0
CAMDA23_MetaSUB_gCSD16_TOK_9	TOK	10142.0	51204.0	15086.0	4889.0	3476.0	5151.0	2938.0
CAMDA23_MetaSUB_gCSD17_BAL_1	BAL	1086.0	3597.0	1063.0	466.0	363.0	620.0	322.0
CAMDA23_MetaSUB_gCSD17_BAL_10	BAL	559.0	2612.0	568.0	227.0	204.0	342.0	150.0
CAMDA23_MetaSUB_gCSD17_BAL_11	BAL	1284.0	1889.0	836.0	442.0	278.0	478.0	316.0
CAMDA23_MetaSUB_gCSD17_BAL_12	BAL	2412.0	5088.0	1994.0	949.0	623.0	1152.0	531.0
CAMDA23_MetaSUB_gCSD17_BAL_14	BAL	1551.0	2251.0	1075.0	557.0	382.0	640.0	381.0
CAMDA23_MetaSUB_gCSD17_BAL_2	BAL	1322.0	4866.0	1319.0	556.0	418.0	731.0	342.0
CAMDA23_MetaSUB_gCSD17_BAL_3	BAL	3305.0	4817.0	2516.0	1253.0	809.0	1355.0	809.0
CAMDA23_MetaSUB_gCSD17_BAL_4	BAL	150.0	1951.0	182.0	51.0	62.0	71.0	38.0
CAMDA23_MetaSUB_gCSD17_BAL_5	BAL	1875.0	2195.0	1176.0	619.0	366.0	606.0	525.0
CAMDA23_MetaSUB_gCSD17_BAL_6	BAL	1696.0	1703.0	1051.0	574.0	361.0	604.0	434.0
CAMDA23_MetaSUB_gCSD17_BAL_7	BAL	2824.0	4191.0	2080.0	1023.0	699.0	1159.0	673.0
CAMDA23_MetaSUB_gCSD17_BAL_8	BAL	3443.0	4959.0	2400.0	1360.0	842.0	1495.0	953.0
CAMDA23_MetaSUB_gCSD17_BAL_9	BAL	2299.0	2858.0	1415.0	791.0	480.0	868.0	573.0
CAMDA23_MetaSUB_gCSD17_DEN_1	DEN	1676.0	1688.0	1026.0	528.0	375.0	603.0	320.0
CAMDA23_MetaSUB_gCSD17_DEN_10	DEN	406.0	896.0	304.0	122.0	88.0	167.0	138.0
CAMDA23_MetaSUB_gCSD17_DEN_11	DEN	813.0	2540.0	906.0	409.0	331.0	532.0	299.0
CAMDA23_MetaSUB_gCSD17_DEN_12	DEN	168.0	872.0	193.0	47.0	63.0	103.0	70.0
CAMDA23_MetaSUB_gCSD17_DEN_13	DEN	71.0	3411.0	196.0	22.0	28.0	40.0	44.0
CAMDA23_MetaSUB_gCSD17_DEN_15	DEN	907.0	4878.0	1088.0	446.0	334.0	595.0	254.0
CAMDA23_MetaSUB_gCSD17_DEN_16	DEN	1500.0	2446.0	1128.0	591.0	428.0	721.0	392.0
CAMDA23_MetaSUB_gCSD17_DEN_17	DEN	1804.0	2108.0	1172.0	582.0	354.0	735.0	401.0
CAMDA23_MetaSUB_gCSD17_DEN_18	DEN	648.0	804.0	441.0	225.0	156.0	262.0	165.0
CAMDA23_MetaSUB_gCSD17_DEN_19	DEN	1051.0	2042.0	777.0	451.0	269.0	528.0	269.0
CAMDA23_MetaSUB_gCSD17_DEN_2	DEN	539.0	778.0	400.0	182.0	134.0	254.0	184.0
CAMDA23_MetaSUB_gCSD17_DEN_20	DEN	39.0	49.0	24.0	4.0	8.0	7.0	25.0
CAMDA23_MetaSUB_gCSD17_DEN_21	DEN	688.0	1054.0	479.0	253.0	175.0	289.0	188.0
CAMDA23_MetaSUB_gCSD17_DEN_22	DEN	591.0	1276.0	562.0	296.0	160.0	253.0	191.0
CAMDA23_MetaSUB_gCSD17_DEN_23	DEN	1810.0	2266.0	1111.0	659.0	393.0	739.0	411.0
CAMDA23_MetaSUB_gCSD17_DEN_3	DEN	878.0	1682.0	641.0	402.0	243.0	466.0	209.0
CAMDA23_MetaSUB_gCSD17_DEN_4	DEN	33.0	37.0	11.0	3.0	1.0	4.0	17.0
CAMDA23_MetaSUB_gCSD17_DEN_5	DEN	588.0	849.0	411.0	209.0	153.0	270.0	166.0
CAMDA23_MetaSUB_gCSD17_DEN_6	DEN	460.0	918.0	439.0	216.0	132.0	179.0	146.0
CAMDA23_MetaSUB_gCSD17_DEN_7	DEN	1465.0	1859.0	914.0	534.0	310.0	621.0	341.0
CAMDA23_MetaSUB_gCSD17_DEN_8	DEN	989.0	1566.0	662.0	375.0	245.0	434.0	244.0
CAMDA23_MetaSUB_gCSD17_DEN_9	DEN	1813.0	2727.0	1206.0	695.0	412.0	777.0	464.0
CAMDA23_MetaSUB_gCSD17_DOH_1	DOH	2659.0	4262.0	1882.0	1037.0	673.0	1228.0	593.0
CAMDA23_MetaSUB_gCSD17_DOH_10	DOH	2100.0	3897.0	1583.0	817.0	520.0	824.0	563.0
CAMDA23_MetaSUB_gCSD17_DOH_11	DOH	7174.0	7923.0	4675.0	2590.0	1681.0	3259.0	1519.0
CAMDA23_MetaSUB_gCSD17_DOH_12	DOH	2676.0	6323.0	2394.0	1150.0	804.0	1388.0	637.0
CAMDA23_MetaSUB_gCSD17_DOH_13	DOH	1307.0	1570.0	892.0	467.0	331.0	540.0	272.0
CAMDA23_MetaSUB_gCSD17_DOH_14	DOH	3649.0	3563.0	1974.0	1172.0	657.0	1183.0	865.0
CAMDA23_MetaSUB_gCSD17_DOH_2	DOH	2945.0	4671.0	2352.0	1187.0	838.0	1519.0	712.0
CAMDA23_MetaSUB_gCSD17_DOH_3	DOH	2906.0	4687.0	2172.0	1140.0	745.0	1322.0	734.0
CAMDA23_MetaSUB_gCSD17_DOH_4	DOH	2110.0	4380.0	1638.0	858.0	571.0	1016.0	512.0
CAMDA23_MetaSUB_gCSD17_DOH_5	DOH	2138.0	4601.0	1943.0	954.0	748.0	1242.0	567.0
CAMDA23_MetaSUB_gCSD17_DOH_6	DOH	3067.0	2820.0	1670.0	974.0	603.0	1070.0	661.0
CAMDA23_MetaSUB_gCSD17_DOH_7	DOH	3787.0	7748.0	3131.0	1451.0	1004.0	1849.0	899.0
CAMDA23_MetaSUB_gCSD17_DOH_8	DOH	1541.0	1910.0	950.0	509.0	350.0	695.0	327.0
CAMDA23_MetaSUB_gCSD17_DOH_9	DOH	3305.0	6121.0	2555.0	1360.0	964.0	1825.0	794.0
CAMDA23_MetaSUB_gCSD17_ILR_1	ILR	5172.0	7423.0	4033.0	2082.0	1535.0	2743.0	1191.0
CAMDA23_MetaSUB_gCSD17_ILR_10	ILR	2627.0	4014.0	2055.0	1097.0	732.0	1437.0	715.0
