ID	Species	AST-based group	WGS - AMR markers
S11	Escherichia coli	CP CRE	AAC(3)-IIa, aadA2, AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, ampC1, ampH, ampR, APH(3'')-Ib, APH(6)-Id, argR, BacA, BaeR, BaeS, BRP(MBL), cheY, CNF1, cpsACP, CpxA, CRP, csgE, csgG, CTX-M-15, cusF, cusR, cycA, DfrA12, EC-148, EmrA, EmrB, EmrD, EmrE, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, ErmB, espL1, espR1, EspX1, espX5, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fimD, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, galF, GlpT, gmd, gnd, gspA, gyrA, H-NS, hlyA, hlyB, hlyC, hlyD, inlJ, irp1, irp2, IucA, iucB, iucC, iucD, iutA, KdpE, MacA, MacB, manB, manC, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, MerR, Mph(A), Mph(B), Mrx, MsbA, MsrB, NDM-5, NfsA, OmpA, ompR, PapA, papB, PapC, papD, PapE, papF, papG, PapH, papI, papJ, papK, parC, parE, PatA, PhoQ, PmrC, PmrF, PmrL, rcsB, RmtB, rnfC, RosB, rpoS, Rpsl, sfaH, SoxR, Sul1, Sul2, TEM-1, Tet(A), TmrB, TolC, ugd, vgrG-tssI, wcaI, wcaJ, wza, wzi, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S12	Escherichia coli	CP CRE	AAC(3)-IIa, aadA5, AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampH, ampR, APH(3'')-Ib, APH(6)-Id, argR, aslA, BacA, BaeR, BaeS, BasS, cheY, chuS, chuT, chuU, chuV, chuW, chuX, chuY, CpxA, CRP, csgE, csgG, cusF, cusR, Dfr, eae, EC-145, EmrA, EmrB, EmrD, EmrE, EmrK, EmrR, EmrY, entB, entC, entE, entF, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, GlpT, gnd, gyrA, H-NS, irp1, irp2, KdpE, KPC-3, kpsC, kpsD, kpsE, kpsF, kpsU, MacA, MacB, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, Mph(A), Mrx, MsbA, MsrB, OmpA, ompR, papB, papI, parC, parE, PatA, PhoQ, PmrC, PmrE, PmrF, PmrL, PtsI, rcsB, rnfC, RosB, rpoS, Rpsl, SenB, sfaH, shuA, SoxR, srpC, Sul1, Sul2, TEM-1, Tet(A), TmrB, TolC, UhpT, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S13	Escherichia coli	CP CRE	AAC(3)-IIc, aadA2, aadA5, AcrA, AcrB, AcrD, AcrE, AcrF, allB, ampC1, ampH, ampR, argR, aslA, BacA, BaeR, BaeS, BRP(MBL), cheY, clpV-tssH, CMY-59, CpxA, CRP, csgE, csgG, cusF, cusR, cycA, Dfr, DfrA12, eae, EC-148, EmrA, EmrB, EmrD, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, espL1, espL4, EspX1, espX5, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fha, fimD, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, galF, GlpT, gnd, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gyrA, H-NS, hcp1-tssD1, hcp2-tssD2, inlJ, irp1, irp2, KdpE, MacA, MacB, manB, manC, MarA, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, Mph(A), Mph(B), Mrx, MsbA, MsrB, NDM-4, OmpA, ompR, papB, PapC, papD, papF, papG, PapH, papI, papJ, papK, parC, parE, PatA, PhoQ, PmrC, PmrF, PmrL, rcsB, rhs-PAAR, RmtB, rnfC, RosB, rpoS, Rpsl, sfaH, SoxR, srpC, sugE, Sul1, TEM-1, Tet(A), TmrB, TolC, tssA, tssB, tssC, tssF, tssJ, tssL, tssM, ugd, Vga(C), vgrG-tssI, wza, wzi, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S14	Escherichia coli	CP CRE	AAC(6')-Ib-cr, aadA2, aadA5, AcrA, AcrB, AcrD, AcrE, AcrF, allB, ampC1, ampH, APH(3'')-Ib, APH(3')-Ia, APH(6)-Id, argR, aslA, BacA, BaeR, BaeS, BasS, BRP(MBL), CatB3, CatI, cheY, clpV-tssH, CpxA, CRP, csgE, csgG, CTX-M-15, cusF, cusR, cycA, Dfr, DfrA12, EC-148, EmrA, EmrB, EmrD, EmrE, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, ErmB, espL1, espL4, EspX1, espX5, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fha, fimD, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, galF, GlpT, gnd, gyrA, H-NS, hcp1-tssD1, hcp2-tssD2, inlJ, irp1, irp2, KdpE, MacA, MacB, MarA, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, Mph(A), Mph(B), Mrx, MsbA, MsrB, NDM-5, OmpA, ompR, OXA-1, parC, parE, PatA, PhoQ, PmrC, PmrF, PmrL, rcsB, rhs-PAAR, RmtB, rnfC, RosB, rpoS, Rpsl, sfaH, SoxR, Sul1, Sul2, TEM-1, Tet(A), TolC, tssA, tssB, tssC, tssF, tssJ, tssL, tssM, ugd, wza, wzi, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S15	Escherichia coli	CP CRE	aadA2, AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampC1, ampH, ampR, argR, aslA, BacA, BaeR, BaeS, BRP(MBL), CatI, cheY, chuS, chuU, chuW, chuX, chuY, CpxA, CRP, csgE, csgG, CTX-M-15, cusF, cusR, CyaA, cycA, DfrA12, eae, EC-145, EmrA, EmrB, EmrD, EmrE, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, ErmB, espL1, espL4, EspX1, espX4, espX5, espY4, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fha, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, galE, GlpT, gnd, gspA, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gyrA, H-NS, hcp1-tssD1, hcp2-tssD2, inlJ, irp1, irp2, KdpE, kpsS, MacA, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtN, MdtO, MdtP, Mph(A), Mph(B), Mrx, MsbA, MsrB, NDM-5, OmpA, ompR, papB, PapC, papD, papF, papG, PapH, papI, papJ, papK, parC, parE, PatA, PhoQ, PmrC, PmrE, PmrF, PmrL, rcsB, rhs-PAAR, RmtB, rnfC, RosB, rpoS, Rpsl, sfaH, shuA, shuT, SoxR, Sul1, TEM-1, Tet(B), Tet(D), tetC, TolC, tssA, tssB, tssC, tssF, tssJ, tssL, tssM, Vga(C), vgrG-tssI, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S16	Escherichia coli	CP CRE	aadA2, AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampC1, ampH, APH(3'')-Ib, APH(6)-Id, argR, aslA, BacA, BaeR, BaeS, BRP(MBL), cheY, chuS, chuU, chuV, chuW, chuX, chuY, CMY-59, CpxA, CRP, csgG, CTX-M-15, cusF, cusR, CyaA, cycA, DfrA12, eae, EC-145, EmrA, EmrB, EmrD, EmrE, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, ErmB, espL1, espL4, EspX1, espX4, espX5, espY4, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fha, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, galE, GlpT, gnd, gspA, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gyrA, H-NS, hcp1-tssD1, hcp2-tssD2, inlJ, irp1, irp2, IucA, iucB, iucC, iutA, KdpE, kpsS, MacA, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtN, MdtO, MdtP, Mph(A), Mph(B), Mrx, MsbA, MsrB, NDM-5, OmpA, ompR, parC, parE, PatA, PhoQ, PmrC, PmrE, PmrF, PmrL, rcsB, rhs-PAAR, RmtB, rnfC, RosB, rpoS, Rpsl, sfaH, shuA, shuT, SoxR, sugE, Sul1, Sul2, TEM-1, Tet(B), Tet(D), tetC, TolC, tssA, tssB, tssC, tssF, tssJ, tssL, tssM, vgrG-tssI, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S17	Escherichia coli	CP CRE	aadA5, AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampH, ampR, APH(3'')-Ib, APH(6)-Id, argR, aslA, BacA, BaeR, BaeS, cheY, chuS, chuT, chuU, chuW, chuX, chuY, CpxA, CRP, csgE, csgG, cusF, cusR, cycA, Dfr, eae, EC-145, EmrA, EmrB, EmrD, EmrE, EmrK, EmrR, EmrY, entB, entC, entE, entF, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, GlpT, gnd, gyrA, H-NS, irp1, irp2, IucA, iucB, iucC, iucD, iutA, KdpE, KPC-3, MacA, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, Mph(A), Mrx, MsbA, MsrB, OmpA, ompR, papB, papI, parC, parE, PatA, PhoQ, PmrC, PmrE, PmrF, PmrL, PtsI, rcsB, rnfC, RosB, rpoS, Rpsl, SenB, sfaH, shuA, SoxR, srpC, Sul1, Sul2, TEM-1, Tet(A), TolC, UhpT, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S18	Escherichia coli	CP CRE	AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampC1, ampH, ANT(2'')-Ia, ANT(3'')-IIa, argR, aslA, BacA, BaeR, BaeS, CatI, cheY, chuS, chuU, chuV, chuW, clpV-tssH, CmlA5, CpxA, CRP, csgE, csgG, cusF, cusR, cycA, DfrA24, eae, EC-148, EmrA, EmrB, EmrD, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, espL1, espL4, espR1, EspX1, espX2, espX4, espX5, espX6, espY1, espY2, espY3, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fha, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, GlpT, gnd, gspA, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gyrA, H-NS, hcp2-tssD2, irp1, irp2, KdpE, KPC-2, LpfA1, MacA, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, MerR, Mph(B), MsbA, MsrB, OmpA, ompR, parC, PatA, PhoQ, PmrC, PmrF, PmrL, rcsB, rnfC, RosB, rpoS, Rpsl, sfaH, shuA, shuT, shuX, shuY, SoxR, Sul1, Sul2, Tet(B), TolC, tssA, tssB, tssC, tssF, tssJ, tssL, tssM, ugd, vgrG-tssI, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S19	Escherichia coli	CP CRE	AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampC1, ampH, APH(3'')-Ib, APH(6)-Id, argR, aslA, BacA, BaeR, BaeS, cheY, chuS, chuU, chuW, chuX, chuY, clpV-tssH, CpxA, CRP, csgE, csgG, CTX-M-15, cusF, cusR, CyaA, cycA, draA, draD, draE2, draP, eae, EC-145, EmrA, EmrB, EmrD, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, espL1, espL4, espR1, EspX1, espX4, espX5, espY4, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fha, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, GlpT, gnd, gspA, gspL, gspM, gyrA, H-NS, hcp1-tssD1, hcp2-tssD2, irp1, irp2, IucA, iucB, iucC, iutA, KdpE, kpsC, kpsD, kpsE, kpsF, kpsM, kpsS, kpsU, MacA, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, MerR, Mph(B), MsbA, MsrB, NfaE, OmpA, ompR, OXA-181, papB, PapE, papF, papI, parC, PatA, PhoQ, PmrC, PmrE, PmrF, PmrL, QnrS7, rcsB, rhs-PAAR, rnfC, RosB, rpoS, Rpsl, sfaH, shuA, shuT, SoxR, Sul2, TEM-1, Tet(A), TolC, tssA, tssB, tssC, tssF, tssJ, tssL, tssM, vgrG-tssI, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S20	Escherichia coli	CP CRE	AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampH, ampR, argR, aslA, astA, BacA, BaeR, BaeS, cheY, chuS, chuT, chuU, chuV, chuW, chuX, chuY, ClbA, ClbB, ClbC, clbD, clbE, clbF, clbG, clbH, clbI, clbJ, clbK, clbL, clbM, clbN, clbO, clbP, clbQ, clbS, CNF1, CpxA, CRP, csgE, csgG, cusF, cusR, eae, EC-145, EmrA, EmrB, EmrD, EmrE, EmrK, EmrR, EmrY, entB, entC, entE, entF, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, focC, fyuA, GadW, GadX, GlpT, gnd, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gyrA, H-NS, hlyA, hlyB, hlyC, hlyD, IbeA, iroB, iroC, iroD, IroE, IroN, irp1, irp2, KdpE, KPC-2, kpsC, kpsD, kpsE, kpsF, kpsM, kpsS, kpsU, MacA, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtN, MdtO, MdtP, Mph(A), Mrx, MsbA, MsrB, OmpA, ompR, papB, PapC, papD, papF, PapG-III, PapH, papI, papJ, papK, parC, PatA, PhoQ, PmrC, PmrE, PmrF, PmrL, rcsB, rnfC, RosB, rpoS, Rpsl, sfaB, sfaC, sfaD, SfaF, sfaG, sfaH, sfaX, sfaY, shuA, SoxR, tcpC_group-2, TEM-1, tesA, TolC, vactox, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S21	Escherichia coli	CP CRE	AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampH, argR, aslA, BacA, BaeR, BaeS, cheY, chuS, chuU, chuV, chuW, chuX, chuY, clpV-tssH, CpxA, CRP, csgE, csgG, CTX-M-14, CTX-M-15, cusF, cusR, cycA, Dfr, EC-145, EmrA, EmrB, EmrD, EmrE, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, espL1, espL4, espR1, EspX1, espX2, espX5, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fha, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, GadW, GadX, GlpT, gnd, gspA, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gyrA, H-NS, hcp1-tssD1, hcp2-tssD2, iroD, IroE, KdpE, kpsC, kpsD, kpsE, kpsF, kpsM, kpsS, kpsU, MacA, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, Mph(B), MsbA, MsrB, OmpA, ompR, OXA-48, parC, PatA, PhoQ, PmrC, PmrE, PmrF, PmrL, rcsB, rnfC, RosB, rpoS, Rpsl, sfaH, shuA, shuT, SoxR, Sul1, TEM-1, TolC, tssA, tssB, tssC, tssF, tssJ, tssL, tssM, UhpT, vgrG-tssI, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, yheI, ykgK-ecpR, YojI
